mapreduce_task_io_sort_factor,mapreduce_reduce_shuffle_merge_percent,mapreduce_output_fileoutputformat_compress,mapreduce_reduce_merge_inmem_threshold,mapreduce_job_reduces,mapreduce_map_sort_spill_percent,mapreduce_reduce_shuffle_input_buffer_percent,mapreduce_task_io_sort_mb,mapreduce_map_output_compress,PERF
100,0.9,false,1000,1000,0.9,0.6801003736937767,120,false,107802
100,0.9,true,1000,1000,0.9,0.6893721509954237,115,false,107805
100,0.9,false,1000,1000,0.9,0.6844203702601461,131,false,108504
80,0.9,false,1000,1000,0.9,0.6486930027457356,101,false,116899
82,0.9,true,1000,1000,0.9,0.6781945383249386,108,false,109814
100,0.21,false,1000,1000,0.5497928404957105,0.8,100,false,112198
100,0.2137171346341289,false,1000,1000,0.5,0.8,100,false,104825
100,0.21,false,732,1000,0.5,0.8,100,false,116422
100,0.44047569051645263,true,1000,1000,0.5,0.8,104,false,112178
100,0.21,false,798,1000,0.5,0.8,100,false,111638
100,0.9,true,1000,1000,0.9,0.8,141,false,108225
100,0.9,true,1000,1000,0.9,0.8,127,false,104660
100,0.9,true,1000,1000,0.9,0.8,140,false,112241
100,0.9,true,1000,1000,0.9,0.8,152,false,108272
100,0.9,true,1000,1000,0.9,0.8,149,false,108258
100,0.9,true,1000,1000,0.6560675623615925,0.45112727634719174,213,false,111720
100,0.9,true,1000,1000,0.5702938722735855,0.39815475672196504,211,false,108327
100,0.9,true,1000,1000,0.5,0.3351281895456001,210,false,112296
100,0.9,true,1000,1000,0.8560127457571635,0.5633978177310188,216,false,108511
100,0.9,true,1000,1000,0.5,0.2771676024915444,206,false,111424
100,0.9,false,1000,1000,0.9,0.5731645472943644,125,false,108155
100,0.9,false,1000,1000,0.9,0.5566485140516999,126,false,105460
100,0.9,false,1000,1000,0.9,0.5221115729485966,130,false,111215
100,0.9,false,1000,1000,0.9,0.5999370416853486,132,false,109521
100,0.9,false,1000,1000,0.9,0.5162861995011776,124,false,111880
100,0.474679184398982,true,1000,1000,0.5910745506182972,0.4659306938450104,100,false,115694
96,0.24231098640933557,true,1000,1000,0.5,0.39397243586087827,100,false,112182
100,0.5839665320219841,true,1000,1000,0.5834207425267731,0.40091047547797076,119,false,112213
100,0.37349625231431355,true,1000,1000,0.5610488946902583,0.48312689259952385,100,false,111346
100,0.26487991725909654,true,1000,1000,0.5571951107230206,0.34361597878172623,104,false,108305
100,0.9,true,1000,1000,0.9,0.3963497962953222,151,false,115929
100,0.9,true,1000,1000,0.9,0.41542052917123246,151,false,111962
100,0.9,true,1000,1000,0.9,0.42739031458678267,152,false,104653
100,0.9,true,1000,1000,0.9,0.4285966550249729,150,false,113822
100,0.9,true,1000,1000,0.9,0.47150161673745655,150,false,107693
100,0.7393379370787629,true,1000,1000,0.9,0.39229345109822117,173,false,109905
100,0.851883544661401,true,1000,1000,0.8481768044600558,0.3177220048566485,189,false,107202
100,0.5598232050915601,true,1000,1000,0.9,0.5067038620970032,149,false,107780
100,0.6789380462249397,true,1000,1000,0.9,0.4277343199121365,164,false,108324
100,0.762792730400619,true,1000,1000,0.9,0.36459371542313446,177,false,111634
100,0.21,false,959,1000,0.8356373605365014,0.786172350053681,260,false,113434
100,0.4096661417268608,false,1000,1000,0.8915877449618663,0.8,195,false,111888
100,0.9,true,1000,1000,0.9,0.8,100,false,116160
100,0.6756943569115514,false,1000,1000,0.9,0.8,122,false,115402
100,0.2338293422719439,false,1000,1000,0.8481731530938983,0.7861402648936903,252,false,108386
100,0.9,true,1000,1000,0.9,0.8,100,false,107657
100,0.9,true,1000,1000,0.9,0.8,100,false,112990
93,0.21,false,869,1000,0.8327372234352425,0.7796027944971141,260,false,104489
100,0.9,true,1000,1000,0.9,0.8,100,false,111611
100,0.2718598557518342,false,1000,1000,0.8553298847415066,0.7854532605387272,242,false,111989
