mapreduce_task_io_sort_factor,mapreduce_reduce_shuffle_merge_percent,mapreduce_output_fileoutputformat_compress,mapreduce_reduce_merge_inmem_threshold,mapreduce_job_reduces,mapreduce_map_sort_spill_percent,mapreduce_reduce_shuffle_input_buffer_percent,mapreduce_task_io_sort_mb,mapreduce_map_output_compress,PERF
27,0.21364585678715564,False,258,56,0.5,0.8,102,False,118330
21,0.21,True,172,43,0.5,0.8,141,True,118072
10,0.2784040397115713,True,10,80,0.6636464102493631,0.8,100,True,117924
10,0.2808870741066581,True,59,52,0.6648825736957921,0.633672095865548,114,True,117807
27,0.9,False,255,40,0.6531014511356661,0.5602835379249027,100,False,116720
33,0.9,False,201,125,0.5186036176739915,0.8,100,False,116656
10,0.21,True,41,49,0.6707576636932161,0.6851408006665605,100,True,116605
26,0.6289982968853443,False,272,37,0.5,0.8,100,False,116562
16,0.5969365541625455,False,37,46,0.6820205383416859,0.6547752658174084,150,False,116558
13,0.7937427529514655,False,132,41,0.6917680922542788,0.6065483357937556,105,False,116545
