mapreduce_task_io_sort_factor,mapreduce_reduce_shuffle_merge_percent,mapreduce_output_fileoutputformat_compress,mapreduce_reduce_merge_inmem_threshold,mapreduce_job_reduces,mapreduce_map_sort_spill_percent,mapreduce_reduce_shuffle_input_buffer_percent,mapreduce_task_io_sort_mb,mapreduce_map_output_compress,PERF
100,0.5225977984426659,true,10,79,0.8044777878580607,0.5430921844880552,100,true,1336
76,0.677380587953983,true,10,72,0.6841108110603248,0.5587913568095516,109,true,1342
100,0.4742446365512297,true,10,81,0.8420796681049474,0.5381878626108005,100,true,1332
56,0.7133812575073498,true,28,70,0.6561148576955212,0.5624428009836225,131,true,1338
41,0.7393168040104278,true,66,69,0.6359460564093529,0.565073368730137,147,true,1252
100,0.28380251679186214,true,10,89,0.9,0.5188718671773758,100,true,1292
59,0.7072426131006355,true,20,71,0.6608885800919542,0.5618201759704304,128,true,1336
10,0.9,false,1000,32,0.5,0.6515256838641141,260,false,1297
84,0.6619413151645956,true,10,73,0.6961171755630025,0.5572253958599884,100,true,1340
67,0.6925318428173344,true,10,71,0.6723284239593336,0.560328104930823,119,true,1340
100,0.9,false,112,216,0.6180337122266997,0.37858210816789006,123,true,1343
55,0.5937172068735697,false,120,554,0.6470021109633896,0.531256532828908,177,true,1338
92,0.8987405733021581,false,114,344,0.636053961494443,0.4364857808842788,145,true,1340
100,0.9,false,112,177,0.6135156255103763,0.3622737520935533,118,true,1336
82,0.8164543460028673,false,117,420,0.6303685554895341,0.4698988463184559,154,true,1340
82,0.819344407107172,false,116,409,0.6357455400995958,0.46496519091607585,153,true,1344
79,0.7928822385787668,false,117,430,0.6348612324070593,0.4744180779746663,156,true,1338
72,0.7345647917708797,false,118,458,0.6385417506932146,0.4887562471558037,162,true,1341
77,0.7735820714410256,false,118,435,0.6343458184575218,0.4784079403249722,158,true,1341
100,0.9,false,115,298,0.6215683866868505,0.4165614604987885,137,true,1341
100,0.9,false,10,85,0.5,0.25369163583823506,100,true,1343
100,0.8669817244799768,false,10,73,0.6706651992997491,0.551880227693505,140,true,1336
78,0.6461745748275848,false,10,72,0.6922047521715805,0.5880080015002642,161,true,1340
100,0.9,false,10,93,0.5,0.1,100,true,1341
100,0.9,false,10,74,0.6653611748984263,0.5429839151759353,135,true,1296
100,0.9,false,10,415,0.5,0.1,100,true,1341
100,0.9,false,10,76,0.628259730120416,0.48075455448215587,101,true,1343
100,0.9,false,10,75,0.654163492551376,0.5242023119828985,125,true,1247
