mapreduce_task_io_sort_factor,mapreduce_reduce_shuffle_merge_percent,mapreduce_output_fileoutputformat_compress,mapreduce_reduce_merge_inmem_threshold,mapreduce_job_reduces,mapreduce_map_sort_spill_percent,mapreduce_reduce_shuffle_input_buffer_percent,mapreduce_task_io_sort_mb,mapreduce_map_output_compress,PERF
10,0.9,False,10,58,0.5436836674106339,0.45512522302950004,137,False,1368
72,0.6232804962333344,False,34,36,0.9,0.5853608089357843,220,True,1359
72,0.6765883677905986,False,47,37,0.8761656901132268,0.5588805370007394,181,True,1347
62,0.9,False,10,31,0.5,0.1,106,True,1346
24,0.21,True,360,18,0.5911468110906264,0.8,239,True,1346
53,0.7971100364975364,True,120,268,0.5736695198864632,0.6022258231945394,148,False,1345
43,0.7911640150663319,False,268,224,0.6480588762332488,0.5720787028204606,157,True,1345
23,0.21,True,227,50,0.9,0.8,260,False,1345
47,0.7910666957184366,False,224,241,0.6246017346181258,0.5817097739270823,154,True,1344
44,0.7907688274206158,False,270,222,0.6490245907043893,0.5708705361339678,157,True,1344
