mapreduce_task_io_sort_factor,mapreduce_reduce_shuffle_merge_percent,mapreduce_output_fileoutputformat_compress,mapreduce_reduce_merge_inmem_threshold,mapreduce_job_reduces,mapreduce_map_sort_spill_percent,mapreduce_reduce_shuffle_input_buffer_percent,mapreduce_task_io_sort_mb,mapreduce_map_output_compress,PERF
16.0,0.665727321822499,True,81.0,91.0,0.8327334915758922,0.7252016146231945,107.0,False,-1.0
16.0,0.6853295016560714,True,81.0,84.0,0.8424481873299071,0.7242992746435866,105.0,False,-1.0
15.0,0.6113913242845646,True,115.0,66.0,0.8050081349642583,0.7263706176437897,108.0,True,-1.0
15.0,0.6341808755630175,True,71.0,118.0,0.8133748831957918,0.7194581817246194,110.0,False,-1.0
15.0,0.647326058753815,True,106.0,62.0,0.8269893508598741,0.7277574938674314,106.0,False,-1.0
15.0,0.6091005970480767,True,58.0,146.0,0.7975296093995108,0.7102464221865712,113.0,True,-1.0
15.0,0.6053613187698619,True,100.0,89.0,0.7994723791359301,0.7248694389949237,110.0,True,-1.0
14.0,0.5500416081079051,True,102.0,108.0,0.7710066080589404,0.7224144813222018,114.0,True,-1.0
15.0,0.6229637077345073,True,77.0,114.0,0.8088800224352923,0.7191622383508011,111.0,False,-1.0
15.0,0.628218483743268,True,82.0,104.0,0.8126434874617083,0.7235763413374814,110.0,False,-1.0
13.0,0.5005307945238847,True,104.0,578.0,0.8440259816180065,0.45637182613237,125.0,True,-1.0
13.0,0.5294474470559832,True,132.0,426.0,0.8464010981098868,0.5215498341898661,115.0,False,-1.0
12.0,0.5862004063001129,True,116.0,471.0,0.8317138353041186,0.5397921160114931,111.0,False,-1.0
12.0,0.54803409241638,True,92.0,309.0,0.8097785680951052,0.5841816601868071,114.0,False,-1.0
12.0,0.560872168719251,True,130.0,251.0,0.8290642271680829,0.5987371280772364,107.0,False,-1.0
13.0,0.4955840903548983,True,160.0,327.0,0.8625433890267008,0.5274281316290176,112.0,False,-1.0
12.0,0.40155085902995113,True,157.0,335.0,0.8719651815700589,0.4772381387915189,124.0,False,-1.0
11.0,0.5577982878822526,True,72.0,212.0,0.7870292687680844,0.6289066629906014,112.0,False,-1.0
12.0,0.5629961754860623,True,94.0,273.0,0.8076869969466319,0.6040198465356361,111.0,False,-1.0
13.0,0.6061768367187772,True,106.0,389.0,0.8184076157406257,0.5839319947475685,108.0,False,-1.0
15.0,0.6882223128635407,True,258.0,209.0,0.8183597530162781,0.6916163210549373,106.0,True,-1.0
15.0,0.6066044395409563,True,168.0,158.0,0.8068382727612583,0.5403507399491376,104.0,False,-1.0
15.0,0.645082258242374,True,227.0,172.0,0.8576245765561135,0.5222983746839633,112.0,True,-1.0
15.0,0.6384059780700972,True,213.0,190.0,0.8157179124844741,0.6149320456871359,105.0,False,-1.0
15.0,0.6230314549032614,True,197.0,155.0,0.8162586636763625,0.5681691068488071,106.0,False,-1.0
14.0,0.6598073844199221,True,206.0,131.0,0.8328944239578795,0.5185912084089248,110.0,True,-1.0
14.0,0.6871342445474472,True,214.0,167.0,0.8272634895745111,0.5491391707645499,108.0,True,-1.0
15.0,0.6098116903055625,True,189.0,158.0,0.8320839948176172,0.5144344045399232,108.0,True,-1.0
15.0,0.6670957519845739,True,214.0,179.0,0.82950787182387,0.5646614731016268,108.0,True,-1.0
14.0,0.6553809906309781,True,154.0,158.0,0.7965078543256865,0.5188538151435287,103.0,False,-1.0
14.0,0.8974611754819594,False,248.0,1.0,0.8230105748093501,0.5604001868672668,117.0,True,-1.0
15.0,0.8470434478608759,True,176.0,64.0,0.9,0.6854544258287794,117.0,False,-1.0
13.0,0.7966866466804775,True,225.0,81.0,0.8926416579759825,0.6196186380325495,119.0,False,-1.0
12.0,0.798622232250847,False,276.0,42.0,0.8069747830654831,0.518629115182978,120.0,True,-1.0
13.0,0.793156048105267,True,247.0,72.0,0.864561032677019,0.5797139540157848,120.0,False,-1.0
14.0,0.8396243528497391,True,216.0,47.0,0.8832850193234089,0.6176202655463122,118.0,False,-1.0
13.0,0.7880959533196708,True,249.0,75.0,0.8628200102990563,0.5751712411840032,120.0,False,-1.0
13.0,0.7874115772192699,True,220.0,103.0,0.9,0.6346482163457694,120.0,False,-1.0
13.0,0.8160810288483592,True,237.0,60.0,0.8649950197039251,0.5914685504705971,119.0,False,-1.0
12.0,0.7874321921723653,True,266.0,67.0,0.847438483896644,0.5542902237409167,120.0,False,-1.0
19.0,0.9,True,209.0,28.0,0.7654190665715531,0.6533546361725896,124.0,False,-1.0
22.0,0.9,False,159.0,1.0,0.7697346179653934,0.574346841288733,122.0,True,-1.0
20.0,0.9,True,202.0,25.0,0.7645939052748832,0.6443033766226799,123.0,False,-1.0
22.0,0.9,True,165.0,1.0,0.7666149813835281,0.5798089536998894,121.0,True,-1.0
28.0,0.8989972677500496,False,73.0,1.0,0.7835149119629445,0.4551779188381444,118.0,True,-1.0
17.0,0.9,True,245.0,58.0,0.7644910642641024,0.724558205942903,125.0,False,-1.0
23.0,0.9,False,155.0,1.0,0.7717811666434766,0.5742526336524996,121.0,True,-1.0
21.0,0.9,True,189.0,14.0,0.7692457131024367,0.6289832426325317,123.0,False,-1.0
21.0,0.9,True,189.0,13.0,0.7654036422266018,0.6205588884255243,123.0,False,-1.0
22.0,0.9,True,163.0,1.0,0.7671028960586064,0.5841975504496434,121.0,True,-1.0
15.0,0.48918496851118143,True,147.0,84.0,0.7786289764298499,0.5056037297136289,122.0,False,-1.0
17.0,0.49403761430904775,True,112.0,122.0,0.6454808080203364,0.45929290351413227,119.0,False,-1.0
17.0,0.5618838366685928,True,123.0,88.0,0.744522955746183,0.49897559172888445,116.0,False,-1.0
15.0,0.5645005243560787,True,136.0,73.0,0.8065312611296015,0.5077552340263901,116.0,False,-1.0
18.0,0.5639618708332893,True,111.0,101.0,0.6936874446205155,0.48732051618004346,115.0,False,-1.0
16.0,0.566360694200677,True,130.0,74.0,0.7691749686705518,0.5286082997504894,118.0,False,-1.0
17.0,0.5268845703799845,True,114.0,112.0,0.6949289001537479,0.45545235476064133,117.0,False,-1.0
16.0,0.537001549085723,True,131.0,91.0,0.7690705207703104,0.47855005555841545,117.0,False,-1.0
17.0,0.6473402082853101,True,122.0,53.0,0.8052851368325966,0.5536418687968528,113.0,False,-1.0
16.0,0.5453877166075947,True,137.0,70.0,0.7784873976145652,0.5341867485091161,120.0,False,-1.0
15.0,0.7415923214553289,True,260.0,94.0,0.8909976310036315,0.7043119449909899,113.0,False,-1.0
14.0,0.6298674160621771,True,239.0,75.0,0.8577492603681013,0.6413490468900487,108.0,False,-1.0
15.0,0.787117702480754,True,263.0,102.0,0.9,0.729337514828549,115.0,False,-1.0
15.0,0.5216282347072327,True,225.0,6.0,0.7544946770776135,0.5589501337107131,108.0,False,-1.0
14.0,0.5960372000222447,True,238.0,46.0,0.8145112752877767,0.6130667529120887,109.0,False,-1.0
14.0,0.5484085031928181,True,231.0,35.0,0.795528538866622,0.5867668129877393,107.0,False,-1.0
15.0,0.6789837470990132,True,249.0,63.0,0.8443628431448801,0.6621384916752486,112.0,False,-1.0
14.0,0.6457666257282104,True,244.0,69.0,0.850479548303856,0.6483784586660648,110.0,False,-1.0
15.0,0.7209168400392195,True,255.0,87.0,0.8841364171490655,0.6888370482223295,113.0,False,-1.0
14.0,0.636049470708045,True,245.0,66.0,0.8442407913854812,0.6418069657145207,110.0,False,-1.0
10.0,0.6725833185121051,True,119.0,64.0,0.8424450784794284,0.5147606580231974,103.0,False,-1.0
10.0,0.883790536920095,True,75.0,37.0,0.7892965333219427,0.4385838534401042,107.0,False,-1.0
10.0,0.6524908371789726,True,114.0,69.0,0.8033818247225968,0.4826556590970903,106.0,False,-1.0
10.0,0.6206897471643135,True,121.0,72.0,0.809920574101894,0.48633285631835216,106.0,False,-1.0
10.0,0.6634434669664782,True,113.0,68.0,0.8058939132225778,0.48993917335291154,106.0,False,-1.0
10.0,0.6762413819904137,True,113.0,57.0,0.811159510603293,0.44847165613873446,107.0,False,-1.0
10.0,0.6062616762634124,True,123.0,77.0,0.8159228937237936,0.5128128110427259,104.0,False,-1.0
10.0,0.6674764597059641,True,121.0,61.0,0.8477977202258957,0.5006045035588305,103.0,False,-1.0
10.0,0.6871581712949754,True,119.0,62.0,0.8550059782991336,0.5253706451427681,102.0,False,-1.0
10.0,0.7773791980475754,True,93.0,47.0,0.7880308024865718,0.430051633660951,108.0,False,-1.0
13.0,0.7684918280648293,True,77.0,88.0,0.7603469602865014,0.7128125118279123,121.0,False,-1.0
13.0,0.8659616409553156,True,67.0,124.0,0.7696298271427131,0.7195402795518319,122.0,False,-1.0
13.0,0.7096086807576053,True,73.0,67.0,0.7663442616548093,0.6956453891413605,121.0,False,-1.0
14.0,0.727415741071977,True,64.0,75.0,0.7780835374353794,0.6928269406623446,122.0,False,-1.0
14.0,0.7416777146809344,True,67.0,79.0,0.7740281511356466,0.6941816782762634,122.0,False,-1.0
14.0,0.827648374592401,True,62.0,109.0,0.7773161257401139,0.7004242051595246,123.0,False,-1.0
13.0,0.7292546096464815,True,103.0,69.0,0.7276104855003478,0.7119499698429652,119.0,False,-1.0
13.0,0.8369327163640554,True,84.0,108.0,0.7469258394271459,0.7156383650628545,121.0,False,-1.0
13.0,0.7836466917136347,True,83.0,91.0,0.7516435800375156,0.7119249888832859,121.0,False,-1.0
