mapreduce_task_io_sort_factor,mapreduce_reduce_shuffle_merge_percent,mapreduce_output_fileoutputformat_compress,mapreduce_reduce_merge_inmem_threshold,mapreduce_job_reduces,mapreduce_map_sort_spill_percent,mapreduce_reduce_shuffle_input_buffer_percent,mapreduce_task_io_sort_mb,mapreduce_map_output_compress,PERF
10.0,0.3811534435306671,True,91.0,82.0,0.7886866087520708,0.3549633881254916,101.0,False,-1.0
12.0,0.4275288394635594,True,57.0,92.0,0.8179990443136149,0.3872684339341217,105.0,False,-1.0
14.0,0.5777706892712107,True,163.0,64.0,0.8062306494469497,0.3394352601827928,100.0,False,-1.0
15.0,0.4610472498658456,True,15.0,103.0,0.8425954073293175,0.41835945600920715,107.0,False,-1.0
11.0,0.40200981467845043,True,37.0,99.0,0.8190429364398832,0.39981900062155956,107.0,False,-1.0
10.0,0.4703713934188852,True,125.0,74.0,0.7943506335438335,0.3499499627407247,100.0,False,-1.0
12.0,0.407000363913598,True,34.0,101.0,0.8209070030329636,0.40460490727082704,107.0,False,-1.0
15.0,0.41064902174338574,True,17.0,115.0,0.8710471814325674,0.3339357830931717,100.0,False,-1.0
20.0,0.3570416859392488,True,10.0,108.0,0.8079552952453573,0.40476576429820266,100.0,False,-1.0
13.0,0.37490571184355664,True,51.0,117.0,0.8690220383131677,0.33590060088493356,100.0,False,-1.0
11.0,0.40646161059626074,True,56.0,118.0,0.8708640574924885,0.32624776576175935,100.0,False,-1.0
11.0,0.4430777523540242,True,34.0,118.0,0.894471244493948,0.3031875447798639,100.0,False,-1.0
12.0,0.3777470233898293,True,50.0,117.0,0.8576158715731871,0.3445602947606324,100.0,False,-1.0
12.0,0.3581229126671057,True,59.0,117.0,0.8410035926630383,0.3601689764868441,100.0,False,-1.0
33.0,0.227874999229138,True,136.0,97.0,0.6626502837559062,0.41489440201259875,100.0,False,-1.0
33.0,0.22298669223698717,True,134.0,96.0,0.6551645655641943,0.4182532704222903,100.0,False,-1.0
13.0,0.22966511344698073,True,187.0,150.0,0.6773398964399387,0.34238961147572805,100.0,False,-1.0
36.0,0.23191493328350138,True,117.0,84.0,0.6549091089898479,0.4302846837523938,100.0,False,-1.0
36.0,0.22714978996993662,True,124.0,87.0,0.6587038782927137,0.4274557967637899,100.0,False,-1.0
26.0,0.22962308101667986,True,152.0,113.0,0.6698869356825536,0.39088472092472804,100.0,False,-1.0
30.0,0.22323684631831023,True,147.0,106.0,0.662378625584846,0.40571216928452797,100.0,False,-1.0
14.0,0.5501928564498577,True,53.0,88.0,0.7993664191573484,0.40893907495682585,104.0,False,-1.0
15.0,0.5491711178714085,True,49.0,89.0,0.7979233999599293,0.41735485689899915,103.0,False,-1.0
14.0,0.5632920270292012,True,67.0,84.0,0.7964453247504298,0.4050384030141765,105.0,False,-1.0
13.0,0.5823318603673309,True,103.0,75.0,0.7873929098956988,0.3849199454651814,110.0,False,-1.0
14.0,0.5603968390817936,True,68.0,84.0,0.7943033521043035,0.4041348056497178,106.0,False,-1.0
15.0,0.5352101577171996,True,34.0,93.0,0.8015060734718071,0.4189881479407475,101.0,False,-1.0
16.0,0.5189195169863955,True,10.0,99.0,0.8065912411018427,0.4289365071747646,100.0,True,-1.0
14.0,0.27299166718349727,True,134.0,107.0,0.7807648176289737,0.3843046195841517,100.0,False,-1.0
15.0,0.30327754775438726,True,150.0,108.0,0.8122394498974009,0.3437367918665531,100.0,False,-1.0
17.0,0.32879407210578865,True,162.0,109.0,0.8337990626233335,0.3106722208257081,100.0,False,-1.0
15.0,0.2869410960588771,True,144.0,107.0,0.7790965617466409,0.3788000904880874,100.0,False,-1.0
15.0,0.31280970046984935,True,166.0,108.0,0.8022488322172115,0.33568977075053125,100.0,False,-1.0
16.0,0.2911172619958243,True,130.0,106.0,0.8179900681504793,0.36118720172585617,100.0,False,-1.0
16.0,0.30025461563584005,True,147.0,107.0,0.8064495797831648,0.3514843899325861,100.0,False,-1.0
14.0,0.3836360447605936,True,42.0,125.0,0.8443356405430531,0.3640290418193656,113.0,False,-1.0
15.0,0.4132900627354542,True,10.0,127.0,0.8100418585155112,0.362196491502452,109.0,False,-1.0
14.0,0.412971698479197,True,10.0,126.0,0.8189557681269071,0.36450049737689605,113.0,False,-1.0
15.0,0.409010784361716,True,10.0,134.0,0.8362981804772475,0.33297360740607973,110.0,False,-1.0
13.0,0.387180635436264,True,10.0,134.0,0.8669666631930344,0.3279178708735975,115.0,False,-1.0
16.0,0.4218056387153401,True,10.0,133.0,0.8286318616238547,0.33189126425126786,108.0,False,-1.0
15.0,0.4263409059440559,True,10.0,128.0,0.8270382098222243,0.3543995073837886,114.0,False,-1.0
11.0,0.328692182328452,True,136.0,139.0,0.7958142483889988,0.22652882961389467,103.0,False,-1.0
13.0,0.3232903844164864,True,137.0,139.0,0.7993878928357702,0.23777170587115656,104.0,False,-1.0
14.0,0.31849389854677995,True,144.0,138.0,0.8008332697831281,0.2479726758529615,108.0,False,-1.0
14.0,0.30640164337397446,True,138.0,139.0,0.8042754623126166,0.27281805885718363,100.0,False,-1.0
17.0,0.28760873315124763,True,122.0,134.0,0.8087716479516454,0.339646718834455,100.0,False,-1.0
15.0,0.36033414651076673,True,157.0,132.0,0.7986409146287471,0.16290775980718608,123.0,False,-1.0
15.0,0.3019458413805753,True,138.0,137.0,0.8110594736633231,0.2870146138992017,100.0,False,-1.0
20.0,0.3861047398815449,True,89.0,90.0,0.8628982343026138,0.2560032883620559,100.0,False,-1.0
22.0,0.31909963911155537,True,100.0,87.0,0.836512205201083,0.24732567977612926,100.0,False,-1.0
19.0,0.4094401454968543,True,82.0,88.0,0.8755760877314108,0.26864686003892607,100.0,False,-1.0
18.0,0.5202995366020223,True,67.0,97.0,0.9,0.26573492911715585,100.0,False,-1.0
