mapreduce_task_io_sort_factor,mapreduce_reduce_shuffle_merge_percent,mapreduce_output_fileoutputformat_compress,mapreduce_reduce_merge_inmem_threshold,mapreduce_job_reduces,mapreduce_map_sort_spill_percent,mapreduce_reduce_shuffle_input_buffer_percent,mapreduce_task_io_sort_mb,mapreduce_map_output_compress,PERF
19.0,0.5851320584880866,True,107.0,165.0,0.6660625061851257,0.3096638865924692,114.0,True,-1.0
12.0,0.6397438008709759,True,104.0,120.0,0.7111570450438839,0.36069068553561184,115.0,True,-1.0
16.0,0.6114161524014503,True,111.0,151.0,0.7085215009456587,0.32376738688907636,113.0,True,-1.0
18.0,0.6083762740022454,True,106.0,155.0,0.6603204314296388,0.3197507545448913,116.0,True,-1.0
13.0,0.6331145756758481,True,104.0,126.0,0.6948604770373787,0.35636177445526673,116.0,True,-1.0
10.0,0.6112268397950935,True,188.0,78.0,0.9,0.2582666919522118,110.0,True,-1.0
10.0,0.6499087772207137,True,183.0,76.0,0.8504551166037722,0.30309518329854906,106.0,True,-1.0
10.0,0.6241552744668247,True,187.0,84.0,0.8969298892747827,0.2698982971217023,110.0,True,-1.0
10.0,0.6648228024800293,True,185.0,119.0,0.8736527762447981,0.2891115481962564,114.0,True,-1.0
10.0,0.6675040151169287,True,184.0,101.0,0.8576625807626604,0.29308673797994556,110.0,True,-1.0
12.0,0.5023281976320876,True,134.0,29.0,0.7407487539954407,0.3838248092745159,100.0,False,-1.0
10.0,0.5019045818843925,True,141.0,20.0,0.7729606850763727,0.4370773165570487,100.0,False,-1.0
12.0,0.48002626624667494,True,140.0,42.0,0.7215172398855506,0.4614770532938022,100.0,False,-1.0
10.0,0.5310980811420127,True,147.0,40.0,0.7525187846843197,0.4238545922796884,100.0,False,-1.0
11.0,0.4988918220947524,True,140.0,38.0,0.7403491310659519,0.4382361362682331,100.0,False,-1.0
27.0,0.4430796753673443,True,23.0,81.0,0.6799088793438284,0.25889252203148005,118.0,False,-1.0
49.0,0.3843171635655575,True,60.0,40.0,0.7400910894870322,0.5435143630723863,112.0,False,-1.0
36.0,0.4867562928815966,True,37.0,102.0,0.72753527556549,0.5191098206737578,118.0,False,-1.0
39.0,0.40314434395904514,True,40.0,57.0,0.7063997741580398,0.39169018499207187,115.0,False,-1.0
25.0,0.4779780912853146,True,20.0,99.0,0.6844697287822632,0.2926574311389202,119.0,False,-1.0
16.0,0.5869623854683431,True,100.0,34.0,0.9,0.28593590579451134,109.0,True,-1.0
20.0,0.601610601327799,True,89.0,58.0,0.9,0.29201227730328794,104.0,True,-1.0
10.0,0.5388208257219568,True,117.0,5.0,0.8734953409522258,0.27165213542040456,111.0,False,-1.0
27.0,0.597042662784825,True,76.0,82.0,0.9,0.2649728015389109,102.0,True,-1.0
31.0,0.5854701782558438,True,77.0,78.0,0.9,0.25224971230084364,106.0,True,-1.0
24.0,0.327777820832066,True,106.0,1.0,0.7516904403882135,0.7427614834235546,116.0,False,-1.0
23.0,0.31208946128481896,True,111.0,1.0,0.7517995828722687,0.7791038596516675,117.0,False,-1.0
23.0,0.2933124807325576,True,110.0,1.0,0.7516775057715814,0.7944437377030704,118.0,False,-1.0
23.0,0.3126661160911793,True,112.0,1.0,0.7538421276620066,0.7768345018043163,117.0,False,-1.0
24.0,0.31677812458165716,True,107.0,1.0,0.7540474512858354,0.7645971749677485,118.0,False,-1.0
14.0,0.5373761844459249,True,10.0,134.0,0.8284312403205615,0.16886456376402037,100.0,True,-1.0
11.0,0.4790767346235386,True,10.0,132.0,0.8019254781374696,0.1346189371411547,105.0,False,-1.0
10.0,0.21,True,10.0,124.0,0.6777655523423988,0.1,127.0,False,-1.0
10.0,0.4434280893989039,True,10.0,132.0,0.7885403069949415,0.10993029961300556,107.0,False,-1.0
10.0,0.34794075942269315,True,10.0,135.0,0.7537717593829805,0.1,114.0,False,-1.0
10.0,0.3681925115709304,True,110.0,107.0,0.6585185732788497,0.6318749048814141,120.0,False,-1.0
11.0,0.39215021181018656,True,115.0,112.0,0.6629905476542235,0.4934586263825556,121.0,False,-1.0
12.0,0.3611966727616959,True,117.0,112.0,0.644873349665607,0.47229471114463245,121.0,False,-1.0
14.0,0.361786082583633,True,121.0,112.0,0.6395582374605234,0.35821028047793435,122.0,False,-1.0
12.0,0.376734639958497,True,115.0,111.0,0.6580713385123721,0.47817941448174517,121.0,False,-1.0
33.0,0.49987192730007113,True,630.0,574.0,0.802622266006054,0.4732885779231764,149.0,True,116584.4140625
26.0,0.4738225446874157,True,635.0,647.0,0.8066762001447837,0.4990651038149811,135.0,False,116221.4375
38.0,0.49565695399504694,True,603.0,584.0,0.7851806229032783,0.49693473307339037,154.0,True,116675.390625
30.0,0.4681278544080494,True,615.0,660.0,0.8035274995582107,0.5247536137858203,139.0,False,116849.90625
39.0,0.48168501382624274,True,603.0,618.0,0.8115905510697461,0.5211843520472632,150.0,False,118328.375
23.0,0.465317874940433,True,658.0,628.0,0.8273416696825997,0.4653908394825113,131.0,False,116175.328125
38.0,0.5246377202354158,True,639.0,570.0,0.8212416169604625,0.4553903248299443,148.0,True,116548.3828125
36.0,0.5089663889899759,True,632.0,598.0,0.8143343829424073,0.4759573505023288,147.0,True,116546.875
38.0,0.49370096317328904,True,610.0,625.0,0.8125630658703432,0.5130206405893383,148.0,True,116572.640625
32.0,0.4718374825743611,True,598.0,629.0,0.7755050207543834,0.5262957790445671,150.0,False,117339.8046875
