mapreduce_task_io_sort_factor,mapreduce_reduce_shuffle_merge_percent,mapreduce_output_fileoutputformat_compress,mapreduce_reduce_merge_inmem_threshold,mapreduce_job_reduces,mapreduce_map_sort_spill_percent,mapreduce_reduce_shuffle_input_buffer_percent,mapreduce_task_io_sort_mb,mapreduce_map_output_compress,PERF
90.0,0.4650079381241515,True,258.0,626.0,0.7308842256280657,0.32023210489343035,107.0,True,1220.2247314453125
74.0,0.26588325771078525,False,798.0,739.0,0.5599088998917892,0.1891165914842824,238.0,False,1367.8609619140625
18.0,0.4537892769671125,False,885.0,24.0,0.5127622965208829,0.5813508340168664,165.0,False,1212.16015625
88.0,0.5781430022268238,True,511.0,531.0,0.8640457849845806,0.13923049255375847,178.0,False,1205.7696533203125
11.0,0.7086006939828311,True,708.0,399.0,0.6154804851396485,0.487297642191959,224.0,False,1215.3233642578125
90.0,0.4650079381241515,True,258.0,626.0,0.7308842256280657,0.32023210489343035,107.0,True,1220.2247314453125
74.0,0.26588325771078525,False,798.0,739.0,0.5599088998917892,0.1891165914842824,238.0,False,1367.8609619140625
18.0,0.4537892769671125,False,885.0,24.0,0.5127622965208829,0.5813508340168664,165.0,False,1212.16015625
88.0,0.5781430022268238,True,511.0,531.0,0.8640457849845806,0.13923049255375847,178.0,False,1205.7696533203125
11.0,0.7086006939828311,True,708.0,399.0,0.6154804851396485,0.487297642191959,224.0,False,1215.3233642578125
91.0,0.21,True,259.0,625.0,0.7001033429362997,0.8,100.0,True,1234.9749755859375
74.0,0.8880247304502509,True,797.0,739.0,0.5,0.8,238.0,False,1227.26806640625
17.0,0.36485639451812174,False,884.0,24.0,0.5,0.6819768884203491,166.0,False,1214.0731201171875
88.0,0.9,True,512.0,531.0,0.5,0.1,178.0,False,1204.4925537109375
10.0,0.4983745463454846,False,708.0,400.0,0.9,0.729441100160547,224.0,False,1216.28466796875
91.0,0.21,True,259.0,625.0,0.5,0.3935445024676012,100.0,True,1222.8505859375
74.0,0.7860278820277641,True,797.0,739.0,0.8505970022166762,0.5330411667313819,238.0,False,1206.6053466796875
17.0,0.586512517849511,False,884.0,24.0,0.6813288973703471,0.8,166.0,False,1224.3262939453125
88.0,0.9,True,512.0,531.0,0.824923687373832,0.1,178.0,False,1204.4925537109375
10.0,0.2573007313742074,False,708.0,400.0,0.9,0.48646136834460696,224.0,False,1177.96142578125
91.0,0.39070753869085,True,259.0,625.0,0.6596892121374665,0.5208259417989929,100.0,True,1226.56494140625
74.0,0.5645415168046294,True,797.0,739.0,0.9,0.8,238.0,False,1223.534423828125
17.0,0.7994281925009376,False,884.0,24.0,0.8694796235502402,0.7168816062391178,166.0,False,1227.1842041015625
88.0,0.9,True,512.0,531.0,0.6874128298405748,0.1,178.0,False,1204.4925537109375
10.0,0.3197445024499449,False,708.0,400.0,0.9,0.49881424890653514,224.0,False,1179.48095703125
91.0,0.49072176728024547,True,259.0,625.0,0.7036100091717499,0.30055863213283274,100.0,True,1219.721435546875
74.0,0.7736454859048428,True,797.0,739.0,0.9,0.6007382204532428,238.0,False,1213.1839599609375
17.0,0.9,False,884.0,24.0,0.7163573662166088,0.7623733733236835,166.0,False,1229.7218017578125
88.0,0.9,True,512.0,531.0,0.6149416956099384,0.1,178.0,False,1204.4925537109375
10.0,0.23595862043050259,False,708.0,400.0,0.7445006802302834,0.6636838478136986,224.0,False,1226.4830322265625
91.0,0.6293708578191834,True,259.0,625.0,0.7074700526210631,0.21692619824773424,100.0,True,1211.482177734375
74.0,0.7817861108155278,True,797.0,739.0,0.7967849411764893,0.7628093907893211,238.0,False,1222.4993896484375
17.0,0.7250264086346958,False,884.0,24.0,0.8556129745998039,0.8,166.0,False,1226.2216796875
88.0,0.7348568299662627,True,512.0,531.0,0.5651714304872959,0.279853344141059,178.0,False,1201.837158203125
10.0,0.3995046185400988,False,708.0,400.0,0.5963468461222379,0.6331149910137811,224.0,False,1226.1754150390625
91.0,0.7359177427315817,True,259.0,625.0,0.7390345202043228,0.38299950775102787,100.0,True,1222.5166015625
74.0,0.8212219821485698,True,797.0,739.0,0.8627758676020949,0.8,238.0,False,1223.54248046875
17.0,0.6648997080264494,False,884.0,24.0,0.858275704693131,0.6380952063303813,166.0,False,1223.3619384765625
88.0,0.8047057698980105,True,512.0,531.0,0.5339376109019913,0.20032421967530606,178.0,False,1201.838623046875
10.0,0.4907729800692782,False,708.0,400.0,0.615964278619006,0.5648705003402916,224.0,False,1204.972900390625
91.0,0.7729730049465624,True,259.0,625.0,0.6650026193755751,0.4233070903020189,100.0,True,1223.7237548828125
74.0,0.7102040694451507,True,797.0,739.0,0.7475650681977725,0.8,238.0,False,1223.5390625
17.0,0.6180163672901752,False,884.0,24.0,0.8874898827962693,0.5995145963732669,166.0,False,1221.990966796875
88.0,0.6741760346848862,True,512.0,531.0,0.6489015244492131,0.1539776202331829,178.0,False,1201.83935546875
10.0,0.37581095828051925,False,708.0,400.0,0.5153329109655544,0.6231177242010478,224.0,False,1237.156494140625
91.0,0.6818473332680326,True,259.0,625.0,0.6925948244123166,0.420584397982373,100.0,True,1223.642578125
74.0,0.6921189681416071,True,797.0,739.0,0.8131121696107383,0.7188725992571954,238.0,False,1221.2685546875
17.0,0.6999660773515224,False,884.0,24.0,0.8562631383180042,0.5033112618760506,166.0,False,1223.8289794921875
88.0,0.6742559671602746,True,512.0,531.0,0.6084349501660009,0.12217260792157913,178.0,False,1206.372802734375
10.0,0.425364933824828,False,708.0,400.0,0.5,0.5061732734095918,224.0,False,1231.0281982421875
91.0,0.7201615152717691,True,259.0,989.0,0.6807769207822885,0.36926135368785296,100.0,True,1221.1339111328125
74.0,0.6403116991910635,True,797.0,739.0,0.8658573543695605,0.7546430519951131,238.0,False,1222.2686767578125
17.0,0.6493683856154353,False,884.0,24.0,0.8857413741249176,0.4584058466822827,166.0,False,1223.3638916015625
88.0,0.7717652700540698,True,512.0,531.0,0.7092704628264221,0.1,178.0,False,1207.8568115234375
10.0,0.37306891030558614,False,708.0,400.0,0.5579641463645817,0.40482132447047636,224.0,False,1228.2122802734375
91.0,0.7941548035056143,True,259.0,989.0,0.6840711562400391,0.35036824425623325,100.0,True,1220.46728515625
74.0,0.7189816281464346,True,797.0,739.0,0.7711687069689275,0.6676124422461137,238.0,False,1219.5557861328125
17.0,0.6042697772146348,False,884.0,24.0,0.8762714372009007,0.4009171848940799,166.0,False,1223.2781982421875
88.0,0.676878041633704,True,468.0,531.0,0.6728979437451909,0.1,209.0,False,1209.7088623046875
10.0,0.45853182459822095,False,708.0,400.0,0.600274596820916,0.3067628151838983,224.0,False,1212.9046630859375
91.0,0.805582295549646,True,259.0,989.0,0.6930784759949347,0.3015807545083709,100.0,True,1216.1624755859375
74.0,0.771045722125258,True,797.0,739.0,0.8284216145008569,0.6059275497258642,238.0,False,1213.7015380859375
17.0,0.6426953858733281,False,884.0,24.0,0.9,0.41698137418794623,166.0,False,1223.971435546875
88.0,0.7652352035827614,True,468.0,531.0,0.6631171297596218,0.1,209.0,False,1207.39111328125
10.0,0.4317920808258347,False,708.0,400.0,0.6650246019719788,0.23399711626655909,224.0,False,1214.0145263671875
91.0,0.8240092556822417,True,259.0,989.0,0.6804842416799598,0.3369657555764169,100.0,True,1219.9949951171875
74.0,0.8101286874786366,True,797.0,739.0,0.8877138608502881,0.5774042502441106,238.0,False,1210.867431640625
17.0,0.6950065737758879,False,884.0,24.0,0.9,0.3516653204191498,166.0,False,1226.6309814453125
88.0,0.8123855192380919,True,468.0,531.0,0.7110326469650027,0.1,209.0,False,1206.1552734375
10.0,0.3826804003818254,False,708.0,400.0,0.7397609575824138,0.18870003746914651,224.0,False,1221.363525390625
91.0,0.8458717674390759,True,259.0,989.0,0.6880389336045416,0.3934794262060215,100.0,True,1221.9967041015625
74.0,0.7595220036723496,True,797.0,739.0,0.8180496611680159,0.6294868984595996,238.0,False,1216.051513671875
17.0,0.7185674557636188,False,884.0,24.0,0.9,0.3734318525506508,166.0,False,1226.8426513671875
88.0,0.8683476841352966,True,468.0,531.0,0.7567643062655937,0.16277713059517052,209.0,False,1201.85986328125
10.0,0.3886660758596524,False,708.0,400.0,0.7038220247712476,0.11427236697271968,224.0,False,1235.098388671875
91.0,0.8678814067135958,True,259.0,989.0,0.6552390833586296,0.4257898888176109,100.0,True,1223.1544189453125
74.0,0.7595428937763823,True,797.0,739.0,0.7947971436764844,0.6984551401255601,238.0,False,1220.594482421875
17.0,0.6523003900372688,False,884.0,24.0,0.8665557012377084,0.3897673669188871,166.0,False,1224.7325439453125
88.0,0.801327287417493,True,468.0,531.0,0.7123481461340294,0.2032331761165711,209.0,False,1201.859130859375
10.0,0.3854209510028647,False,708.0,400.0,0.752935585898597,0.15945832887300881,224.0,False,1224.4227294921875
91.0,0.8311834603580607,True,259.0,989.0,0.6262376152052073,0.41043920306505666,100.0,True,1222.6031494140625
74.0,0.739584258401406,True,797.0,739.0,0.780272115863577,0.7110578603628844,238.0,False,1221.01123046875
17.0,0.5907396752173639,False,884.0,24.0,0.8617340465571958,0.36568302476822157,166.0,False,1223.5914306640625
88.0,0.7441762940129188,True,468.0,531.0,0.7076598666554347,0.21232332795652636,209.0,False,1201.85888671875
10.0,0.39826218815453107,False,708.0,400.0,0.722750385269183,0.11017603857202689,224.0,False,1233.1103515625
91.0,0.8049690654349824,True,259.0,989.0,0.6206978167482573,0.393345704080999,100.0,True,1221.9903564453125
