mapreduce_task_io_sort_factor,mapreduce_reduce_shuffle_merge_percent,mapreduce_output_fileoutputformat_compress,mapreduce_reduce_merge_inmem_threshold,mapreduce_job_reduces,mapreduce_map_sort_spill_percent,mapreduce_reduce_shuffle_input_buffer_percent,mapreduce_task_io_sort_mb,mapreduce_map_output_compress,PERF
72.0,0.5407241338618372,True,393.0,879.0,0.6014923122919255,0.5275936179487577,170.0,True,117653.96875
81.0,0.5186165904427793,False,562.0,691.0,0.7000665234076101,0.5836750074099902,144.0,True,111800.7421875
88.0,0.5828734622955393,True,543.0,473.0,0.8070028074425676,0.5350191063147081,223.0,True,115889.421875
91.0,0.6307780016714918,False,42.0,891.0,0.6994254577646961,0.3068858572802521,205.0,True,111572.3671875
58.0,0.4189026345437524,False,172.0,48.0,0.8091980089601176,0.17431366602333925,213.0,True,109956.1015625
20.0,0.7982141107746326,False,280.0,838.0,0.6167779140151196,0.5535544637155294,254.0,True,115409.2421875
35.0,0.501124968372745,True,943.0,675.0,0.7731332646282594,0.5609775588039448,100.0,False,114980.265625
51.0,0.233865505490232,False,190.0,987.0,0.5668198240575077,0.783976438769882,106.0,False,113226.40625
34.0,0.7381197621841488,False,352.0,161.0,0.6145186847675227,0.34955209307473195,150.0,False,117754.5234375
100.0,0.4105791065728463,True,594.0,546.0,0.5695575476957673,0.7263704316112569,234.0,False,115560.921875
72.0,0.5407241338618372,True,393.0,879.0,0.6014923122919255,0.5275936179487577,170.0,True,117653.96875
81.0,0.5186165904427793,False,562.0,691.0,0.7000665234076101,0.5836750074099902,144.0,True,111800.7421875
88.0,0.5828734622955393,True,543.0,473.0,0.8070028074425676,0.5350191063147081,223.0,True,115889.421875
91.0,0.6307780016714918,False,42.0,891.0,0.6994254577646961,0.3068858572802521,205.0,True,111572.3671875
58.0,0.4189026345437524,False,172.0,48.0,0.8091980089601176,0.17431366602333925,213.0,True,109956.1015625
20.0,0.7982141107746326,False,280.0,838.0,0.6167779140151196,0.5535544637155294,254.0,True,115409.2421875
35.0,0.501124968372745,True,943.0,675.0,0.7731332646282594,0.5609775588039448,100.0,False,114980.265625
51.0,0.233865505490232,False,190.0,987.0,0.5668198240575077,0.783976438769882,106.0,False,113226.40625
34.0,0.7381197621841488,False,352.0,161.0,0.6145186847675227,0.34955209307473195,150.0,False,117754.5234375
100.0,0.4105791065728463,True,594.0,546.0,0.5695575476957673,0.7263704316112569,234.0,False,115560.921875
71.0,0.21,True,393.0,878.0,0.9,0.8,170.0,True,109744.2421875
82.0,0.9,False,563.0,691.0,0.9,0.5546102408618666,144.0,True,116004.6875
88.0,0.9,True,543.0,473.0,0.5,0.5286527970406378,224.0,True,112559.6484375
91.0,0.9,False,41.0,890.0,0.9,0.1,206.0,True,118231.5546875
69.0,0.21,True,171.0,48.0,0.9,0.324583314109613,214.0,True,117148.4140625
21.0,0.21,False,10.0,839.0,0.9,0.8,253.0,True,113493.53125
35.0,0.4945337189766521,True,943.0,676.0,0.9,0.8,100.0,False,114884.0078125
50.0,0.31427221118518606,True,190.0,987.0,0.5,0.8,171.0,False,113151.5234375
33.0,0.5117728589076863,False,352.0,160.0,0.5,0.5958773542603444,149.0,False,117281.25
100.0,0.3400535870721271,True,594.0,546.0,0.5,0.6403944253922269,234.0,True,108494.5625
71.0,0.21,True,393.0,878.0,0.5,0.5876244556671589,170.0,True,108502.6484375
82.0,0.5258521956229213,False,563.0,691.0,0.9,0.42145815990137514,144.0,True,115477.3125
88.0,0.8530561385089217,True,543.0,473.0,0.7298676094916454,0.5670318408026133,224.0,True,115871.984375
91.0,0.9,False,41.0,890.0,0.9,0.1,206.0,True,118231.5546875
69.0,0.2674499248040608,True,171.0,48.0,0.7608569244380053,0.1,214.0,True,115804.796875
21.0,0.6374514337184952,False,10.0,839.0,0.9,0.5092416894989344,253.0,True,109113.0703125
35.0,0.43349212146771043,True,943.0,676.0,0.7911438476464626,0.7471272116175973,100.0,False,115000.3984375
50.0,0.3420177206498654,True,190.0,987.0,0.9,0.4601488298835691,171.0,False,113092.6328125
33.0,0.21,False,352.0,160.0,0.6792856272080425,0.38345566978712264,149.0,False,115743.515625
100.0,0.21,True,594.0,546.0,0.5,0.2150207281626456,234.0,True,109665.0859375
71.0,0.3885500216613138,True,393.0,878.0,0.5563981304399381,0.8,170.0,True,108472.640625
82.0,0.33094767268260267,False,563.0,691.0,0.8184501219875135,0.4025734799476935,144.0,True,115115.265625
88.0,0.684006271458437,True,543.0,473.0,0.5,0.6120305859276972,224.0,True,111398.9140625
91.0,0.9,False,41.0,890.0,0.9,0.1,206.0,True,118231.5546875
69.0,0.5896805325227235,True,171.0,48.0,0.9,0.1,214.0,True,116478.34375
21.0,0.5856908140035728,False,10.0,839.0,0.850394378971713,0.2757038267929133,253.0,True,110022.6640625
35.0,0.3112973894489037,True,943.0,676.0,0.5253562563138318,0.8,100.0,False,115626.3203125
50.0,0.6528575903208125,True,190.0,987.0,0.9,0.563632977205462,171.0,False,116313.671875
33.0,0.21,False,352.0,160.0,0.5827368966092822,0.12998881658757522,149.0,False,112614.671875
100.0,0.34395602393329144,True,594.0,546.0,0.5,0.1,234.0,True,109347.7890625
71.0,0.22970595864695875,True,393.0,878.0,0.5954852966159275,0.6406748119090071,170.0,True,108476.0
82.0,0.42535582057220617,False,563.0,691.0,0.9,0.45294234788268084,144.0,True,115555.234375
100.0,0.567102022501774,True,543.0,473.0,0.7089721944621148,0.7130669734669994,224.0,True,116667.390625
91.0,0.8850100763537805,False,41.0,890.0,0.9,0.1,206.0,True,118203.359375
69.0,0.38217394100267277,True,171.0,48.0,0.9,0.1,214.0,True,116706.421875
