mapreduce_task_io_sort_factor,mapreduce_reduce_shuffle_merge_percent,mapreduce_output_fileoutputformat_compress,mapreduce_reduce_merge_inmem_threshold,mapreduce_job_reduces,mapreduce_map_sort_spill_percent,mapreduce_reduce_shuffle_input_buffer_percent,mapreduce_task_io_sort_mb,mapreduce_map_output_compress,PERF
57.0,0.6711629834534273,True,745.0,877.0,0.6441025762734274,0.5620757681611261,132.0,True,1252.330810546875
25.0,0.8329763886954564,False,527.0,727.0,0.5929265179512577,0.3603795904072867,155.0,True,1282.0557861328125
40.0,0.6222755344094933,False,706.0,403.0,0.8378589703802211,0.5957243937716472,190.0,True,1218.599609375
19.0,0.7027892053730999,True,568.0,927.0,0.8083578102693347,0.10668454501601526,140.0,False,1297.551025390625
57.0,0.7085450836190842,True,572.0,598.0,0.5483448415130399,0.6803153719434751,244.0,False,1310.3017578125
57.0,0.6711629834534273,True,745.0,877.0,0.6441025762734274,0.5620757681611261,132.0,True,1252.330810546875
25.0,0.8329763886954564,False,527.0,727.0,0.5929265179512577,0.3603795904072867,155.0,True,1282.0557861328125
40.0,0.6222755344094933,False,706.0,403.0,0.8378589703802211,0.5957243937716472,190.0,True,1218.599609375
19.0,0.7027892053730999,True,568.0,927.0,0.8083578102693347,0.10668454501601526,140.0,False,1297.551025390625
57.0,0.7085450836190842,True,572.0,598.0,0.5483448415130399,0.6803153719434751,244.0,False,1310.3017578125
57.0,0.9,True,746.0,877.0,0.5,0.8,131.0,True,1232.316650390625
24.0,0.5677345020100784,False,528.0,728.0,0.7802372109209696,0.3112827647540671,154.0,True,1291.929443359375
40.0,0.9,False,706.0,403.0,0.9,0.8,190.0,True,1183.92138671875
18.0,0.21,False,569.0,927.0,0.9,0.8,141.0,False,1350.705810546875
56.0,0.5466463664387685,True,573.0,597.0,0.5987194154377906,0.1,244.0,False,1316.0482177734375
57.0,0.6470441324400669,True,746.0,877.0,0.5,0.6062412370283122,131.0,True,1266.563232421875
24.0,0.44529806517178594,False,528.0,728.0,0.5,0.20046890677720125,154.0,True,1305.805908203125
40.0,0.7789947482834676,False,885.0,403.0,0.6043735343946697,0.8,190.0,True,1183.9119873046875
18.0,0.6464365423907357,False,569.0,927.0,0.7531478800420152,0.8,141.0,False,1304.7039794921875
56.0,0.25703944406552337,True,573.0,597.0,0.8069212265220079,0.1,244.0,False,1358.72216796875
57.0,0.886114479432005,True,746.0,1000.0,0.5,0.29395938489778495,131.0,True,1223.7921142578125
24.0,0.3630819168491672,False,528.0,728.0,0.5,0.1,154.0,True,1309.0426025390625
40.0,0.9,False,885.0,403.0,0.5,0.8,185.0,True,1183.9388427734375
18.0,0.7852438927149479,False,569.0,927.0,0.8153000097451805,0.4939311596055367,141.0,False,1283.0599365234375
56.0,0.252869995038648,True,573.0,597.0,0.7475694055349054,0.4237562816851753,244.0,False,1356.505859375
57.0,0.7887476713487929,True,746.0,1000.0,0.640639523746028,0.13786092898145236,131.0,True,1230.227294921875
24.0,0.23699359599399175,False,528.0,728.0,0.5,0.27772005856904514,154.0,True,1324.47119140625
40.0,0.6756634484339408,False,837.0,368.0,0.5690605375379344,0.8,185.0,True,1183.9310302734375
18.0,0.9,False,569.0,927.0,0.9,0.7165043747401887,141.0,False,1267.8507080078125
56.0,0.21,True,573.0,597.0,0.9,0.27715937791592665,244.0,False,1369.9351806640625
52.0,0.6395819577325866,True,746.0,1000.0,0.7267417167563806,0.1,131.0,True,1256.7861328125
24.0,0.24089142004014671,False,528.0,728.0,0.6265022272810873,0.23545345132897832,154.0,True,1319.556396484375
40.0,0.6642858807253612,False,382.0,368.0,0.5782877039805224,0.8,260.0,True,1285.1640625
10.0,0.8462456017274358,False,569.0,918.0,0.9,0.763227100774336,141.0,False,1283.2548828125
56.0,0.2137824665334149,True,573.0,597.0,0.7466556828409239,0.215149643974827,244.0,False,1360.134765625
52.0,0.5699267308752416,True,746.0,1000.0,0.7238419210069872,0.24765419175235254,131.0,True,1271.335205078125
24.0,0.33561487551992797,False,528.0,728.0,0.5,0.1,154.0,True,1311.1834716796875
40.0,0.749540340365268,False,189.0,368.0,0.5408653825071571,0.8,260.0,True,1326.34814453125
10.0,0.8298145993328866,False,569.0,918.0,0.8812437847910428,0.7196535423405216,141.0,False,1283.3052978515625
56.0,0.23002308097695187,True,573.0,597.0,0.8165906153368437,0.18282834883554916,244.0,False,1362.0556640625
30.0,0.5500187707428561,True,746.0,1000.0,0.7888240716656513,0.335806571830548,131.0,True,1282.992431640625
24.0,0.21,False,528.0,728.0,0.5,0.1,154.0,True,1321.2705078125
40.0,0.8334372153247167,False,189.0,368.0,0.5309465508563609,0.5105249998115908,260.0,True,1307.781005859375
10.0,0.6883102610119434,False,569.0,918.0,0.8574959590151751,0.6600439761801553,141.0,False,1297.3734130859375
56.0,0.21,True,573.0,597.0,0.8183739069963019,0.12923602471765913,244.0,False,1365.72998046875
30.0,0.6157630550385275,True,746.0,1000.0,0.8414978953892795,0.29202006179687245,131.0,True,1272.4144287109375
24.0,0.25460282096451153,False,528.0,728.0,0.593564472785405,0.1,154.0,True,1315.4434814453125
40.0,0.9,False,189.0,368.0,0.5952530718589047,0.5681530760205443,260.0,True,1311.91845703125
10.0,0.7203409594177466,False,569.0,684.0,0.8525188531164719,0.5569979462338019,141.0,False,1259.3671875
56.0,0.313940984498987,True,573.0,597.0,0.8346682278602879,0.23930087175858206,244.0,False,1350.98779296875
30.0,0.5058245458391525,True,746.0,1000.0,0.8696553632756555,0.18257101623228572,131.0,True,1292.6669921875
24.0,0.3637892230965553,False,528.0,728.0,0.564570852123687,0.15079054940783965,154.0,True,1308.5716552734375
40.0,0.9,False,189.0,368.0,0.5595553986611762,0.6196385688392209,260.0,True,1314.2393798828125
10.0,0.7382864246813726,False,569.0,684.0,0.8130309740254804,0.5514829236581051,141.0,False,1259.1260986328125
56.0,0.3764641512764586,True,573.0,597.0,0.7661266427661316,0.26735159293066674,244.0,False,1339.01953125
30.0,0.4199977934104776,True,746.0,1000.0,0.9,0.19466805138199667,131.0,True,1315.2247314453125
24.0,0.2639519048390019,False,528.0,728.0,0.6503505499531629,0.1,154.0,True,1314.2735595703125
40.0,0.8815578078089719,False,189.0,368.0,0.619767141953849,0.5823470007451613,260.0,True,1313.54345703125
10.0,0.7157743510038863,False,569.0,684.0,0.8875074047802017,0.6379607058748086,141.0,False,1262.38232421875
56.0,0.2780681137721581,True,573.0,597.0,0.7294320231635771,0.23888916457364484,244.0,False,1350.033935546875
30.0,0.3338597190683295,True,746.0,1000.0,0.82552128422482,0.19959601457907303,131.0,True,1328.6446533203125
24.0,0.33206335974873524,False,528.0,728.0,0.6050791914419844,0.15938319716001442,154.0,True,1309.914794921875
40.0,0.8632519169167582,False,189.0,368.0,0.7012983320679061,0.634817158553939,260.0,True,1318.468505859375
10.0,0.7683411333143034,False,569.0,684.0,0.9,0.6904574541671837,141.0,False,1265.0955810546875
56.0,0.2799199114088091,True,573.0,597.0,0.7272493220940456,0.17290402205563143,244.0,False,1350.3404541015625
30.0,0.25209040263857696,True,746.0,1000.0,0.8746443382550921,0.15672278062014233,131.0,True,1351.459228515625
24.0,0.2521718013342766,False,528.0,728.0,0.543585271443556,0.1,154.0,True,1316.2198486328125
40.0,0.9,False,189.0,368.0,0.624843025484448,0.697780190857046,260.0,True,1320.334716796875
10.0,0.6992999779358796,False,103.0,684.0,0.9,0.6642702874858468,141.0,False,1362.7491455078125
56.0,0.3502881406276782,True,573.0,597.0,0.7054840779159102,0.10230628563950465,244.0,False,1340.4091796875
30.0,0.21,True,746.0,1000.0,0.8518121964254578,0.22334256622189913,131.0,True,1357.555908203125
24.0,0.3006383836157101,False,528.0,728.0,0.5983663022816488,0.1681555387185732,154.0,True,1312.593994140625
40.0,0.8835885383542482,False,189.0,368.0,0.6401490983167154,0.7423892701039633,260.0,True,1323.4403076171875
10.0,0.7450313258610971,False,103.0,684.0,0.9,0.6861787772044059,141.0,False,1365.355712890625
56.0,0.31940535440412243,True,573.0,597.0,0.699286502886796,0.13218714161462003,244.0,False,1343.8536376953125
30.0,0.21,True,746.0,1000.0,0.8697979125316471,0.22677418258225804,131.0,True,1358.7791748046875
24.0,0.3344728410197179,False,528.0,728.0,0.633378245610816,0.43090014462393134,154.0,True,1317.452880859375
40.0,0.8899454177788497,False,189.0,368.0,0.6823411631671015,0.7831084112590649,260.0,True,1326.928955078125
10.0,0.6952183238865203,False,103.0,684.0,0.8436169884896614,0.7171972059555987,141.0,False,1369.0533447265625
56.0,0.32045775442158986,True,573.0,597.0,0.673060443388171,0.19249027687994147,244.0,False,1341.564697265625
30.0,0.21,True,746.0,1000.0,0.8144900030812735,0.16845288798372934,131.0,True,1355.9898681640625
24.0,0.32953898264359305,False,528.0,728.0,0.6031420217875284,0.42838493681978473,154.0,True,1318.589599609375
40.0,0.9,False,189.0,368.0,0.6485108795052481,0.7448200134035075,260.0,True,1323.6475830078125
10.0,0.7209763117877406,False,103.0,684.0,0.8642536042105,0.7418815724179892,141.0,False,1370.958251953125
56.0,0.30013796551637834,True,573.0,597.0,0.6818049592843602,0.15569659521036966,244.0,False,1345.2255859375
30.0,0.21,True,746.0,1000.0,0.7810500329761586,0.11703603935667281,131.0,True,1354.57763671875
24.0,0.3816345362388657,False,528.0,728.0,0.5717379792452469,0.39376982303459673,154.0,True,1313.891357421875
40.0,0.8640408312861068,False,189.0,368.0,0.6930971991662032,0.8,260.0,True,1328.3170166015625
10.0,0.730466701782463,False,103.0,684.0,0.8613748736637067,0.7962729783769338,141.0,False,1375.7789306640625
56.0,0.33581313424280856,True,573.0,597.0,0.6292421288874654,0.2109747811974389,244.0,False,1338.0845947265625
30.0,0.2477857686785403,True,746.0,1000.0,0.7707533131011148,0.1,131.0,True,1345.8057861328125
24.0,0.4103370988870926,False,528.0,728.0,0.57989714899107,0.35132008168058393,154.0,True,1310.1053466796875
40.0,0.9,False,189.0,368.0,0.7715231684969694,0.7784918915938556,260.0,True,1328.2281494140625
10.0,0.742118702902519,False,103.0,684.0,0.9,0.763266127417868,141.0,False,1372.81982421875
56.0,0.32185928617492304,True,573.0,597.0,0.6426870045307252,0.24159129620893077,244.0,False,1340.229248046875
30.0,0.29991258113526076,True,746.0,1000.0,0.8047108806097857,0.12730032702717037,131.0,True,1336.307373046875
24.0,0.4095843454317699,False,528.0,752.0,0.5277518201871453,0.36190238860944296,142.0,True,1313.3671875
40.0,0.8486562630427973,False,189.0,368.0,0.7658317243650115,0.8,260.0,True,1329.8802490234375
10.0,0.7946300491922043,False,103.0,684.0,0.9,0.7402122852833665,141.0,False,1370.4544677734375
44.0,0.3295063573100009,True,573.0,597.0,0.6427654001076941,0.2954782651111325,244.0,False,1340.1851806640625
