mapreduce_task_io_sort_factor,mapreduce_reduce_shuffle_merge_percent,mapreduce_output_fileoutputformat_compress,mapreduce_reduce_merge_inmem_threshold,mapreduce_job_reduces,mapreduce_map_sort_spill_percent,mapreduce_reduce_shuffle_input_buffer_percent,mapreduce_task_io_sort_mb,mapreduce_map_output_compress,PERF
68,0.5653443389709933,false,131,75,0.5632602172982067,0.4886547881044522,144,false,1324
68,0.21,false,268,63,0.5,0.6386064791119641,100,false,1318
67,0.337119279570646,false,223,68,0.5,0.5891324948804832,113,false,1311
64,0.21,false,385,59,0.5,0.7629300386559101,100,false,1319
68,0.21,false,309,61,0.5,0.6795297104968465,100,false,1370
68,0.6313449833312795,false,102,77,0.6101709214702182,0.4580441909018235,152,false,1318
69,0.3336900922966918,false,215,67,0.5,0.5810706688450468,110,false,1320
68,0.5657943064674572,false,128,75,0.564528988259089,0.48378261083727186,144,false,1321
68,0.5385349751697208,false,138,74,0.5438365336525078,0.4973877553480146,139,false,1366
69,0.5860377301976978,false,118,75,0.5776520004318411,0.47558686100898084,145,false,1313
51,0.7491970355440576,true,10,73,0.6392580265520813,0.32821653657439515,170,false,1318
42,0.7728401740942716,true,10,73,0.6907074560090978,0.3071196464652818,163,false,1368
53,0.8181001548050025,false,10,75,0.651215092896203,0.3013408954129785,171,false,1368
59,0.7880754767202458,false,10,75,0.6124577630928999,0.31308142832455615,176,false,1321
49,0.9,false,10,76,0.6889440906841813,0.26134005868976856,169,false,1366
49,0.7881289990566318,true,10,74,0.6612730854805411,0.3107979039936952,168,false,1372
54,0.781118156910202,false,10,74,0.6353083391419884,0.32135988182880776,171,false,1276
44,0.8642486257750653,true,10,75,0.7067005203969163,0.26385495249502244,166,false,1365
58,0.9,false,10,82,0.7015074644828903,0.17768223448388745,176,true,1354
49,0.74369948795269,true,10,73,0.6493535908590278,0.3223230380570268,169,false,1319
10,0.9,true,10,151,0.9,0.1,100,false,1370
51,0.6691269227398413,true,48,69,0.805415122909755,0.3737622832627091,145,false,1374
34,0.7352481839820024,true,10,77,0.9,0.3203297400295362,136,false,1372
42,0.7054225022775099,true,14,73,0.9,0.33988661323064717,140,false,1361
10,0.8139969582467428,true,10,88,0.9,0.13665736485447078,114,false,1367
44,0.6765415976737782,true,31,72,0.8981787131548153,0.3373804148176898,140,false,1320
50,0.6627660313652886,true,49,70,0.7987500538655138,0.3779828157745374,145,false,1369
54,0.6669358179817505,false,53,69,0.7670067980174591,0.4062860704909461,149,false,1328
52,0.664163341962025,true,51,69,0.787481130343076,0.38391344708894837,146,false,1370
50,0.6578041248471169,true,51,69,0.7977708003608996,0.3723215837748197,145,false,1368
57,0.21,true,928,63,0.5,0.8,260,false,1367
57,0.4284833709292929,true,494,69,0.5720403395492242,0.6710005777758669,211,false,1324
64,0.3974588468304099,true,579,69,0.5434708685530337,0.7293582125584157,231,false,1325
60,0.21036681108885308,true,157,63,0.5,0.7895288003006893,202,false,1368
81,0.21,false,844,59,0.5,0.8,260,false,1367
60,0.21,true,1000,48,0.5,0.8,260,false,1319
10,0.33046427628355,true,551,456,0.9,0.1,260,true,1369
46,0.5035394075195049,true,124,203,0.6895255651788571,0.5142498646949948,194,false,1365
23,0.4322095887996805,true,281,310,0.7700618901416836,0.2974090384407259,221,true,1322
24,0.4343075002727623,true,294,287,0.7829865281384154,0.2689909454892788,218,true,1319
32,0.45418103980239233,true,228,261,0.7399378080759181,0.3720079736821448,209,false,1374
10,0.33439694748504123,true,451,422,0.836720291884506,0.1,248,true,1371
21,0.43316549573521046,true,304,306,0.7925009723618986,0.25198180338292253,222,true,1361
10,0.21,true,1000,1000,0.9,0.1,260,true,1368
32,0.4473843564789585,true,235,259,0.7392696405830009,0.3659435532043349,209,false,1322
27,0.44011116864409605,true,256,292,0.7534969396742143,0.33580118864007275,217,true,1367
100,0.612299463371001,true,10,1000,0.7562909685949686,0.1,204,true,1321
99,0.6116440063045638,true,10,1000,0.7535645029133021,0.1,206,true,1319
80,0.5789034963811275,true,43,778,0.7453572190535814,0.1,198,true,1372
100,0.6824858326415596,true,10,1000,0.7564495266660408,0.1,234,true,1318
100,0.9,true,10,1000,0.8107045278230297,0.1,260,true,1354
10,0.21,true,425,1,0.6834895535057047,0.8,100,false,1318
62,0.5446583264126328,true,78,528,0.7380264456121539,0.17813289755203401,189,false,1317
100,0.8551676393222419,true,10,1000,0.7748265867860971,0.1,260,true,1371
74,0.5700613855013558,true,53,706,0.7416019835617541,0.1,197,false,1363
85,0.5816522457403054,true,39,825,0.7531834732152608,0.1,193,true,1370
45,0.6109419843246218,true,298,273,0.8027100294668184,0.38673447630399554,176,false,1319
100,0.9,true,878,1000,0.9,0.7831704752156403,260,true,1367
48,0.6510944031930204,true,312,305,0.8246717618755847,0.3968053870096741,180,false,1318
100,0.9,true,1000,1000,0.9,0.8,260,true,1318
49,0.6606665332525496,true,317,312,0.8295973287503711,0.3993755247769928,181,false,1310
66,0.8727967178793955,true,393,479,0.9,0.4524197895986972,201,true,1319
77,0.9,true,447,589,0.9,0.4882788018129224,215,true,1314
75,0.9,true,439,571,0.9,0.4823976836562518,212,true,1366
46,0.6189604973296483,true,300,280,0.8073864590399544,0.3885869472443627,176,false,1364
50,0.6754284671414047,true,320,325,0.8384478677389813,0.4026541091328811,182,false,1315
41,0.44487468585211715,false,674,527,0.7212231912757124,0.1,114,true,1322
70,0.5376426038085906,true,292,243,0.8419509348926449,0.2969845452988044,187,false,1367
40,0.4361904990021432,false,702,429,0.6984810412419898,0.1,138,true,1319
100,0.9,true,10,1,0.9,0.8,260,false,1369
50,0.472587600838498,false,557,390,0.7525165891245247,0.1,149,true,1367
50,0.4710601852805598,false,562,383,0.74945213108182,0.1,151,true,1369
63,0.5150238880132857,true,386,320,0.8132509310839625,0.20537448482639553,168,false,1370
26,0.39186394823779874,false,884,564,0.6407550486767788,0.1,103,true,1317
10,0.21,false,1000,1000,0.5,0.1,100,true,1368
85,0.3447155854391415,false,10,213,0.6599347097889744,0.20532705787371358,102,false,1322
58,0.4017330641937513,false,10,189,0.6953751070346854,0.5073457336545535,142,false,1371
74,0.330053432645975,false,10,244,0.6616902184593187,0.40219922521098606,100,false,1321
68,0.2862200460431913,false,10,281,0.6705192154147308,0.48888273594293213,100,false,1319
50,0.30296889669264604,false,38,280,0.6897075334244179,0.7150537061244568,106,false,1315
100,0.21,false,121,1000,0.5,0.20972340332813744,100,false,1318
76,0.21,false,38,448,0.6185964389021057,0.6204850407982756,100,false,1374
66,0.3893155538604419,false,10,187,0.6908626446662017,0.40195321099544096,134,false,1320
61,0.36602945921579827,false,10,214,0.6878099489940395,0.49300373450280743,125,false,1371
54,0.39449105722304306,false,13,196,0.7008784669734007,0.5614015225240967,142,false,1366
53,0.5673138169119069,true,720,738,0.9,0.601243364145471,206,false,1371
41,0.5486575295116708,true,883,906,0.9,0.5707147319797757,201,false,1365
54,0.5689568031903496,true,705,723,0.9,0.6039319014022047,207,false,1366
51,0.564073607977828,true,748,767,0.9,0.5959411759573089,205,false,1322
51,0.56486084628202,true,741,760,0.9,0.597229390922046,206,false,1316
80,0.6103769026511854,true,343,349,0.9,0.6717106053629063,219,false,1320
50,0.5621672806050675,true,765,784,0.9,0.5928217146249504,205,false,1322
68,0.5907611219502892,true,514,526,0.9,0.639611884925472,213,false,1323
58,0.5756044862951197,true,647,663,0.9,0.6148099859806543,209,false,1318
66,0.588309059383664,true,536,548,0.9,0.6355993976316268,212,false,1371
60,0.5998420313728887,true,10,513,0.7689704531268193,0.2438571225361354,163,true,1366
100,0.9,false,10,633,0.8124810266160604,0.1,151,false,1372
74,0.7149995369195176,true,426,581,0.7416279338918218,0.3803480459690951,179,false,1317
100,0.8009733328921276,true,237,610,0.7781932558975138,0.21953717524019944,170,false,1321
100,0.8240403198997877,false,227,595,0.765749072877118,0.2088067012269651,168,false,1364
97,0.7713993129389465,true,306,596,0.7651638505808228,0.27837383986482556,173,false,1312
100,0.8785853603648457,false,32,655,0.8278589251122255,0.1,160,false,1319
100,0.8354090421449054,false,205,602,0.7642831071686864,0.188512714601831,167,false,1367
100,0.9,false,10,923,0.9,0.1,100,false,1369
98,0.7742579787420296,true,299,598,0.7662341370086576,0.27220189676100287,173,false,1319
100,0.7781106056267363,true,275,604,0.7806232573559003,0.2540829777424281,172,false,1320
35,0.9,true,1000,130,0.6195525007006757,0.4588961056809299,100,false,1320
10,0.9,true,1000,231,0.5,0.2856675646309136,100,false,1320
68,0.6202616257420509,true,696,77,0.7140669391810199,0.4712421769617802,129,true,1370
41,0.8693766079772602,true,1000,112,0.6181181642552287,0.4441699706380492,100,false,1319
69,0.6524823248766841,true,771,80,0.7231459069367054,0.4867586738430726,123,true,1313
69,0.9,true,1000,97,0.766074360794228,0.5763852068765648,100,false,1274
64,0.6539474673434996,true,795,83,0.6960412819680345,0.46354324337151215,119,false,1317
70,0.9,true,1000,114,0.8129131496652879,0.6439059539259328,100,false,1322
50,0.7815585852760388,true,1000,100,0.6508767355583578,0.4483726293156952,100,false,1321
44,0.6528644271872026,true,949,95,0.6005579148259635,0.368174417062289,109,false,1319
84,0.47645985545256886,true,367,75,0.729366371447979,0.398940288257936,170,true,1372
87,0.5403304407760173,true,44,56,0.7090343355401447,0.42933272863165983,151,true,1366
48,0.8036571202883298,false,10,1,0.5098620196475991,0.1,100,false,1312
48,0.7350763994261234,false,10,1,0.5647051295791286,0.1,100,false,1369
51,0.6444979104327176,false,10,37,0.612237603519752,0.1,100,false,1324
10,0.9,false,10,1,0.5,0.1,100,false,1369
60,0.6527672089324653,false,10,1,0.6795676339979065,0.1,125,false,1369
55,0.6133028933930134,false,10,48,0.6070558988171517,0.1,106,false,1321
57,0.6031041580270368,false,15,51,0.6231110026515235,0.11504003716044159,112,false,1317
10,0.9,false,10,1,0.5,0.1,100,false,1317
10,0.9,false,10,1,0.5,0.1,100,false,1319
10,0.8767517141286372,false,10,1,0.5046714608660284,0.1,100,false,1369
65,0.9,true,10,1,0.5,0.8,100,false,1372
100,0.21,false,10,156,0.8534950507487549,0.1,235,true,1370
53,0.21,false,110,101,0.9,0.1,260,true,1370
86,0.21764822920908572,false,27,68,0.7733030322171592,0.1879408579169234,228,true,1322
50,0.21,false,79,70,0.8891133117608231,0.1,260,true,1361
10,0.9,true,10,1,0.5,0.8,100,false,1363
83,0.21,false,46,82,0.839329752398299,0.1,260,true,1314
98,0.21,false,45,101,0.8710785008322569,0.1,260,true,1323
90,0.21,false,396,414,0.9,0.1,260,true,1319
20,0.6286770745195014,true,10,1,0.5,0.7885649200883955,116,false,1319
62,0.5931160547415464,true,19,40,0.6765006591381023,0.5154031965962237,147,true,1320
72,0.5324589112061722,true,23,53,0.7276459232053049,0.4903533868499811,153,true,1373
59,0.6077223427041295,true,19,37,0.666160252701468,0.5191751910835172,145,true,1312
58,0.609326899300038,true,19,37,0.6658062395517912,0.5189578098576931,145,true,1359
71,0.5424296683101997,true,22,51,0.717817320566823,0.49421444418816024,152,true,1323
65,0.5768580546199104,true,20,44,0.6898296596915741,0.5083793082572292,148,true,1324
70,0.5479638853423745,true,22,50,0.711996726675595,0.49663477333877803,152,true,1313
68,0.558644851479312,true,21,48,0.704257476166716,0.5019236561412395,150,true,1319
66,0.5658826569608219,true,21,46,0.7003105435581136,0.5027949887774643,149,true,1326
75,0.5176495271241627,true,24,56,0.7386775111901732,0.4854617140089241,154,true,1317
27,0.6157259691656869,true,15,80,0.9,0.6536224880003321,163,false,1368
100,0.21,true,10,1,0.5,0.1,212,true,1320
10,0.7514455749446254,false,30,122,0.9,0.7874990681870209,160,false,1271
10,0.9,false,74,248,0.9,0.8,151,false,1317
16,0.6947782455789207,true,20,96,0.9,0.7803471655525988,160,false,1320
10,0.9,false,246,703,0.9,0.8,156,false,1318
10,0.9,false,79,265,0.9,0.8,149,false,1318
10,0.6151491680081171,false,19,88,0.9,0.5979467991283642,166,false,1318
78,0.6481237978644302,false,1,485,1,0.6481798759918428,0.8,false,-1
84,0.6868801051622552,false,1,580,1,0.7282216259758779,0.8,false,-1
96,0.7775616250708226,false,1,807,1,0.9,0.8,false,-1
100,0.9,false,1,1000,1,0.9,0.8,false,-1
49,0.4378814496536939,false,0,10,1,0.5,0.8,false,-1
