mapreduce_task_io_sort_factor,mapreduce_reduce_shuffle_merge_percent,mapreduce_output_fileoutputformat_compress,mapreduce_reduce_merge_inmem_threshold,mapreduce_job_reduces,mapreduce_map_sort_spill_percent,mapreduce_reduce_shuffle_input_buffer_percent,mapreduce_task_io_sort_mb,mapreduce_map_output_compress,PERF
80,0.7535207242674924,true,125,78,0.840177869654644,0.40803927766936887,245,false,1300
70,0.4367970708831478,true,229,96,0.9,0.6114898957811064,260,false,1276
64,0.7355067278222296,true,140,87,0.8176759570903962,0.45108781320194324,253,false,1272
100,0.5792908197332762,true,311,113,0.9,0.6376913788181333,260,false,1347
79,0.6737427733304386,true,157,84,0.8991936769482829,0.467218566731556,260,false,1257
75,0.6643328690624004,true,83,67,0.6275141974408089,0.38816837787636926,172,false,1343
100,0.9,false,10,70,0.5,0.6600171746785418,260,false,1289
85,0.6479517792060544,false,20,70,0.5,0.5217169298339825,258,false,1268
93,0.9,false,58,67,0.5,0.31904184259640467,260,false,1303
78,0.9,false,10,64,0.5,0.49883744710134165,260,false,1257
10,0.4056228144253808,false,136,85,0.7048588371897954,0.741176279588958,100,true,1303
24,0.3958115577402446,false,118,83,0.6768344729308072,0.6393427811683333,100,true,1318
10,0.5475904711355584,false,341,108,0.9,0.8,100,true,1345
49,0.45253264119469216,false,104,81,0.6133228519931514,0.5253087557814948,140,true,1348
10,0.6394645806379821,false,353,117,0.9,0.8,100,true,1305
100,0.45331258188846996,true,10,30,0.5,0.3509390143237804,260,true,1254
99,0.5413550330754154,true,10,2,0.5,0.40666863832141065,260,true,1344
76,0.481457258659685,true,10,45,0.5,0.45332489453049796,260,true,1260
80,0.5942786898553756,true,10,41,0.5,0.39084298640223875,260,true,1296
64,0.5039615076684505,true,10,19,0.5,0.5885421026509464,260,true,1298
68,0.7739600066458294,true,108,46,0.6057861411911508,0.22964161658209636,129,true,1274
91,0.6521978233601673,true,55,79,0.5699246890729157,0.24579078749690753,127,true,1252
91,0.6521978233601673,true,55,79,0.5699246890729157,0.24612036129606735,126,true,1320
91,0.6521978233601673,true,55,80,0.5699246890729157,0.24643258910579768,125,true,1345
76,0.8202873449107648,true,100,76,0.6379483895200728,0.2638503526376388,110,true,1254
76,0.8255820393787605,true,102,76,0.6385352625493196,0.26494813718513754,110,true,1320
76,0.8255820393787605,true,104,77,0.639089531521386,0.26599602243502274,110,true,1291
76,0.8255820393787605,true,106,77,0.639614628442291,0.2669983474566521,110,true,1342
75,0.8255820393787605,true,108,78,0.6401134705171507,0.2679589089357135,110,true,1368
86,0.8811627640238555,true,10,39,0.5388144942037151,0.223528900891529,138,true,1299
100,0.9,false,10,1,0.5,0.5135430585086449,260,false,1256
100,0.9,false,10,1,0.5,0.8,260,false,1315
100,0.9,false,10,1,0.5,0.2364239415215008,166,false,1295
95,0.8983587522364795,true,10,22,0.5224774899692328,0.2246297644537376,140,true,1339
100,0.9,true,110,1,0.9,0.2613685708899203,222,true,1253
100,0.9,true,97,7,0.8597272922582353,0.2560235649636303,196,true,1296
100,0.9,true,112,1,0.9,0.2622391747668253,226,true,1294
10,0.34488944533749377,false,10,145,0.5,0.20153046837798072,100,true,1347
100,0.9,true,229,1,0.9,0.3108409070116595,260,true,1249
100,0.23507909338409294,true,272,190,0.9,0.25752613771812605,260,true,1269
71,0.3491416807068224,false,1,602,1,0.5,0.8,false,-1
69,0.4670723258075762,false,1,473,1,0.5,0.8,false,-1
68,0.5023359918270346,false,1,434,1,0.5,0.8,false,-1
68,0.5190113073690573,false,1,413,1,0.5,0.8,false,-1
70,0.38815161475595866,false,1,558,1,0.5,0.8,false,-1
78,0.21,false,1,993,1,0.5212841221345171,0.8,false,-1
79,0.21,false,1,1000,1,0.5546243032874119,0.8,false,-1
77,0.21,false,1,915,1,0.5,0.8,false,-1
70,0.39094805386021086,false,1,549,1,0.5,0.8,false,-1
71,0.39803290809221337,false,1,557,1,0.5,0.8,false,-1
78,0.48768504082359665,true,134,67,0.5342294677379671,0.5064389262044307,111,false,1285
81,0.5067284843143967,true,63,75,0.5440406586195121,0.5125033487615781,100,false,1282
79,0.3881919140985311,true,75,162,0.6103321392603528,0.544860619762665,112,false,1237
81,0.22245525415297007,true,35,278,0.7147497879155877,0.5731200953910499,100,false,1243
81,0.21,true,29,294,0.7296426285586917,0.5771506771232705,100,false,1240
81,0.21889571128416507,true,34,280,0.7169923762286997,0.5737270269835065,100,false,1279
82,0.21,true,12,343,0.7734837119465638,0.5890157788898525,100,false,1331
31,0.3842213891412301,false,15,42,0.9,0.388577079574568,188,true,1277
77,0.2863368723917455,true,102,80,0.9,0.3630950063517707,120,false,1281
78,0.3507627676939745,true,78,73,0.8559641341029053,0.4323144608261522,112,false,1194
78,0.3194000754018712,true,90,76,0.8937960270425738,0.39861825154379277,116,false,1242
78,0.3562241571093392,true,76,72,0.8493762207394873,0.43818220071909897,111,false,1285
74,0.21,true,157,96,0.9,0.19931008103598347,140,false,1286
34,0.3417267184884077,false,117,88,0.9,0.2741906128996309,206,true,1241
42,0.37895311767764495,false,99,83,0.8543204793787996,0.3406838863986102,185,true,1245
