mapreduce_task_io_sort_factor,mapreduce_reduce_shuffle_merge_percent,mapreduce_output_fileoutputformat_compress,mapreduce_reduce_merge_inmem_threshold,mapreduce_job_reduces,mapreduce_map_sort_spill_percent,mapreduce_reduce_shuffle_input_buffer_percent,mapreduce_task_io_sort_mb,mapreduce_map_output_compress,PERF
23.0,0.5965356273081378,True,601.0,688.0,0.8192778333578614,0.5685253712927092,111.0,False,1419.496337890625
25.0,0.6054526143035934,True,601.0,665.0,0.8256616107820248,0.5658472046230426,112.0,False,1408.6461181640625
25.0,0.6076161427898427,True,602.0,653.0,0.8287970779547004,0.5638164575409866,112.0,False,1401.02880859375
40.0,0.6851511172356298,True,587.0,549.0,0.8531403413887284,0.5499785707239301,111.0,False,1393.107177734375
38.0,0.6833090519491121,True,592.0,525.0,0.8603172854618362,0.5434941241315263,111.0,False,1391.89599609375
36.0,0.6683798660916251,True,592.0,570.0,0.8486092777835287,0.5416508225274678,109.0,False,1390.7950439453125
29.0,0.641506562478567,True,597.0,561.0,0.8496892934110197,0.5367828216573457,110.0,False,1389.70947265625
27.0,0.6347177500402355,True,600.0,528.0,0.8583318838427488,0.5174771052364899,109.0,False,1386.4063720703125
28.0,0.6372068361145278,True,594.0,536.0,0.8542897392948005,0.5056661764821438,107.0,False,1384.48095703125
25.0,0.6221523788699135,True,599.0,538.0,0.8546644537303401,0.5051741162798797,108.0,False,1384.105224609375
