mapreduce_task_io_sort_factor,mapreduce_reduce_shuffle_merge_percent,mapreduce_output_fileoutputformat_compress,mapreduce_reduce_merge_inmem_threshold,mapreduce_job_reduces,mapreduce_map_sort_spill_percent,mapreduce_reduce_shuffle_input_buffer_percent,mapreduce_task_io_sort_mb,mapreduce_map_output_compress,PERF
27,0.21,True,59,627,0.7623542422152668,0.8,100,False,121839
25,0.5660358831138793,True,64,1,0.656615545798282,0.7590773445531949,132,True,117282
12,0.4854102957951816,True,71,1,0.9,0.8,100,False,116893
29,0.21,True,68,461,0.6420069699530748,0.8,100,False,113331
18,0.6924236488902124,True,70,1,0.8382134979333955,0.7587309019805966,100,False,111786
18,0.3694169248913046,True,74,17,0.8798789556168791,0.8,101,True,111362
64,0.4830476189623769,True,410,504,0.7595111381594434,0.627283412673153,196,True,111315
19,0.3445169509572651,True,73,36,0.8841606501939008,0.8,102,True,111203
21,0.21,True,78,1,0.9,0.8,100,True,111138
13,0.5311186011890713,True,74,48,0.7612552274207116,0.6658368845146906,100,True,111045
