mapreduce_task_io_sort_factor,mapreduce_reduce_shuffle_merge_percent,mapreduce_output_fileoutputformat_compress,mapreduce_reduce_merge_inmem_threshold,mapreduce_job_reduces,mapreduce_map_sort_spill_percent,mapreduce_reduce_shuffle_input_buffer_percent,mapreduce_task_io_sort_mb,mapreduce_map_output_compress,PERF
67.0,0.8245665646011694,True,705.0,424.0,0.7863962593975106,0.3516567061958656,148.0,False,120226.3984375
65.0,0.8071481658861837,True,679.0,485.0,0.7583774149054329,0.353197707211127,148.0,False,120201.8515625
67.0,0.6586140777855339,True,691.0,332.0,0.7446156489049286,0.32268192026719783,167.0,True,116963.8984375
67.0,0.7015676184799576,True,688.0,374.0,0.7507561330102758,0.33288043926986416,162.0,True,116881.640625
67.0,0.7017215391857712,True,701.0,330.0,0.7660531770327363,0.32934400649370865,163.0,True,116874.8359375
65.0,0.7136365342332199,True,667.0,435.0,0.7363789971931199,0.3398045015374455,158.0,True,116853.40625
66.0,0.7433827990581339,True,688.0,412.0,0.7576744958422436,0.34099804037715953,157.0,True,116793.3828125
67.0,0.7489232056325971,True,692.0,399.0,0.7639350294829237,0.3396139212174377,156.0,True,116787.8359375
66.0,0.7586187257143554,True,682.0,446.0,0.7547924373157311,0.3453996416023973,155.0,True,116763.34375
68.0,0.7646161900600187,True,718.0,313.0,0.7957511807403159,0.33620044621969203,156.0,True,116762.984375
