mapreduce_task_io_sort_factor,mapreduce_reduce_shuffle_merge_percent,mapreduce_output_fileoutputformat_compress,mapreduce_reduce_merge_inmem_threshold,mapreduce_job_reduces,mapreduce_map_sort_spill_percent,mapreduce_reduce_shuffle_input_buffer_percent,mapreduce_task_io_sort_mb,mapreduce_map_output_compress,PERF
31,0.7851469378920085,True,41,69,0.9,0.5200795462045813,237,False,1465
49,0.2991108835610157,True,60,48,0.6932050456358644,0.33097641723691906,190,False,1363
100,0.9,True,703,1,0.6962255824325121,0.1,100,True,1348
97,0.26408911143679314,True,72,1,0.9,0.732441262172364,131,False,1347
60,0.9,False,35,9,0.5,0.8,159,True,1345
58,0.9,False,43,41,0.5,0.8,136,True,1345
100,0.21,True,52,1,0.9,0.6429677077414288,126,False,1345
62,0.9,False,35,6,0.5,0.8,166,True,1345
90,0.2967244945273327,True,65,1,0.9,0.6537343430035402,155,False,1345
60,0.9,False,46,51,0.5,0.8,149,True,1344
