mapreduce_task_io_sort_factor,mapreduce_reduce_shuffle_merge_percent,mapreduce_output_fileoutputformat_compress,mapreduce_reduce_merge_inmem_threshold,mapreduce_job_reduces,mapreduce_map_sort_spill_percent,mapreduce_reduce_shuffle_input_buffer_percent,mapreduce_task_io_sort_mb,mapreduce_map_output_compress,PERF
61.0,0.2684432167279165,True,583.0,350.0,0.7536714812485341,0.3561891703872677,136.0,False,1410.766845703125
63.0,0.2767858243004457,True,590.0,366.0,0.7458111971665243,0.3437569387052967,138.0,False,1410.2451171875
55.0,0.2622855877540589,True,559.0,345.0,0.7701047451157945,0.3588715200577172,129.0,False,1408.100341796875
53.0,0.27315189997361033,True,558.0,356.0,0.7718710625618563,0.3531470917774971,126.0,False,1406.133544921875
59.0,0.2852680562285994,True,573.0,368.0,0.7512891261264548,0.3236112249319357,129.0,False,1404.36572265625
59.0,0.29435323318068424,True,575.0,385.0,0.7487402482810765,0.3140170773118929,131.0,False,1404.1085205078125
56.0,0.2857291655100456,True,560.0,373.0,0.7619666571655175,0.3253604367318837,127.0,False,1403.0948486328125
53.0,0.2837129082213973,True,554.0,371.0,0.7662549577686418,0.3271074787926651,124.0,False,1402.9814453125
56.0,0.29617138843408364,True,562.0,383.0,0.7552907988304882,0.306362060462237,125.0,False,1400.9140625
55.0,0.29839003005531,True,559.0,384.0,0.7583829441588097,0.3072092830328164,124.0,False,1400.1376953125
