mapreduce_task_io_sort_factor,mapreduce_reduce_shuffle_merge_percent,mapreduce_output_fileoutputformat_compress,mapreduce_reduce_merge_inmem_threshold,mapreduce_job_reduces,mapreduce_map_sort_spill_percent,mapreduce_reduce_shuffle_input_buffer_percent,mapreduce_task_io_sort_mb,mapreduce_map_output_compress,PERF
47,0.5542400931562081,true,950,154,0.6200003759725733,0.2637963824707269,165,false,1322.0
63,0.7741294638439189,false,254,549,0.5992279100294292,0.5256044827019417,166,true,1324.0
21,0.5665776760992595,true,723,741,0.8246549521935229,0.14134133058805318,240,false,1321.0
36,0.8765993867658874,false,725,505,0.6344804053517733,0.7716471684056398,229,true,1322.0
41,0.49497141990288407,false,345,962,0.6472202957207005,0.3782788332717911,133,false,1322.0
69,0.6606464876430822,true,777,212,0.8043560346807366,0.1065602317336964,177,true,1372.0
75,0.20992623641300806,true,186,813,0.831516707422014,0.23714293730504643,182,true,1325.0
45,0.8451970846263042,false,373,366,0.7812805531054214,0.2220087036041047,140,true,1276.0
77,0.832930667035076,false,946,533,0.5796028056667444,0.1796095258512497,110,false,1277.0
34,0.3993059801706185,false,280,736,0.663718207536012,0.5450172122500979,114,true,1323.0
99,0.8720049584199876,true,181,968,0.8342917527679727,0.01697682424895781,193,true,1280.0
17,0.4512046645927824,false,491,833,0.8548891483237907,0.09621017085873068,151,true,1326.0
30,0.8415302743197812,false,521,172,0.7846939782795268,0.5009940935142682,237,true,1279.0
77,0.7025598460113451,true,706,398,0.7042696928750395,0.6877904393912625,138,false,1327.0
77,0.676616188210309,true,888,766,0.5691266213883764,0.40730464973797353,228,true,1324.0
94,0.46525922472358794,false,508,489,0.8447284530606025,0.1730709354225109,129,true,1322.0
96,0.8295225832804454,true,313,433,0.8642822489416813,0.04766282277420286,179,true,1374.0
26,0.4625337246002065,true,73,434,0.5264922780277393,0.1551840545753625,209,true,1320.0
100,0.5510191335441372,false,582,555,0.7714725474958384,0.5203593183526823,120,true,1377.0
75,0.48953267117097415,false,691,398,0.6679010484621107,0.48480432973577553,109,false,1326.0
85,0.2877186566847299,false,727,658,0.5164138643292409,0.09041731867993762,206,true,1376.0
36,0.26750051827349736,false,580,579,0.7172280637561322,0.20536984366086203,221,true,1376.0
92,0.3938038214338355,false,825,910,0.6203477841032812,0.49363111175704805,126,true,1378.0
68,0.585592564130121,false,490,232,0.8112575911083892,0.3245781507137642,134,false,1327.0
92,0.47972999934231714,true,24,47,0.6911055065469075,0.6837027833256962,217,true,1378.0
96,0.7178527830333512,false,737,828,0.8291390468485142,0.45844593326703936,118,true,1328.0
70,0.37115783848388484,false,663,99,0.5280330354630958,0.719056652343763,180,true,1377.0
55,0.6184060212372231,true,108,899,0.7839305569195192,0.1136297462839532,132,true,1326.0
18,0.2957625156557201,true,647,87,0.577930751441974,0.029109780203164792,107,true,1324.0
91,0.23602914494726607,true,803,806,0.893596283699171,0.09398850055170938,132,true,1369.0
49,0.6017537952715726,false,362,982,0.6039821719938849,0.26050186508651224,241,false,1329.0
31,0.844138679962638,true,437,836,0.8164532987499157,0.37593984491250415,134,false,1324.0
99,0.7187745597366766,true,517,889,0.6045415480229884,0.3715828060984409,174,true,1319.0
17,0.7479340872306084,true,455,199,0.6657585504418773,0.23619995675045324,231,true,1378.0
85,0.7958726193346435,false,452,931,0.6459313520032317,0.12310666777260178,110,false,1377.0
81,0.28234012311848744,false,708,860,0.7275044692699018,0.6124060773679703,166,true,1377.0
32,0.826629514677421,false,835,43,0.6580839922352708,0.05148501811678932,181,false,1377.0
81,0.3290568014996964,true,943,621,0.5808041959294783,0.346740329896511,103,false,1373.0
35,0.2659245530003616,true,953,400,0.5535011167053642,0.20277102230860802,260,true,1322.0
93,0.28016799521589125,true,297,488,0.8881627582869569,0.08143154615849407,257,false,1377.0
34,0.495244225665112,true,684,129,0.6455646412467976,0.3072154547388645,242,false,1370.0
45,0.2602719613001555,true,776,607,0.6501447688118505,0.31199790597748644,110,false,1377.0
36,0.5910955106405825,true,85,831,0.685808905471666,0.10635598388454266,241,false,1375.0
62,0.8682248238283277,false,510,658,0.5174913800914738,0.6774406283247911,108,true,1376.0
47,0.35302499935919884,true,544,367,0.5831055413065694,0.013677994342244572,184,false,1373.0
44,0.8656736476916684,true,202,174,0.7834563813616442,0.3007828585753778,232,true,1377.0
97,0.5145272376948316,false,288,180,0.5285453750267299,0.061240919119243745,114,false,1322.0
81,0.26236468545696634,false,147,50,0.8485238418917447,0.5129180525077643,252,false,1378.0
75,0.5073201646711955,true,518,165,0.6263988057039385,0.28059163933927184,111,false,1327.0
41,0.7055924644231935,false,854,683,0.5270120823608647,0.267264620025351,108,false,1430.0
85,0.7581228614466293,true,205,745,0.8456886264947181,0.6428934183916728,129,true,1378.0
92,0.5426801669393675,false,940,787,0.7211164138121118,0.6274236971813745,184,false,1434.0
34,0.6352708835125321,false,154,691,0.7321549174155477,0.6238647187660532,238,true,1378.0
62,0.5646744484729918,false,762,767,0.5085113562353525,0.5672205086856018,213,true,1326.0
79,0.21185394190830492,false,762,288,0.5447740876295392,0.10897767226897202,168,false,1377.0
76,0.6804675409824781,true,196,820,0.7766129104671178,0.38713077751041935,108,false,1327.0
98,0.38732084330899663,true,247,612,0.6233274014589483,0.11903506032759098,205,false,1322.0
79,0.52790083906474,true,804,885,0.7516330977129364,0.657288404066621,101,true,1372.0
93,0.3007227492468575,false,171,411,0.6022928430495429,0.07537118304688235,214,true,1378.0
79,0.8157954151509939,false,121,778,0.7519160834331139,0.77343118219407,119,false,1377.0
16,0.6170309373753328,false,249,392,0.6508618645639691,0.2136182626767801,128,true,1325.0
99,0.5181460850570418,true,741,197,0.8337679374084355,0.6958710682810613,141,true,1372.0
42,0.8827718641795224,true,992,548,0.5596638554302005,0.11914975480208545,125,false,1374.0
22,0.5439845980306058,true,743,686,0.6867803257082592,0.31737213440255846,209,false,1425.0
52,0.5081622011051763,true,693,309,0.6044446269543045,0.298300920585294,196,false,1376.0
91,0.8827471361599986,false,677,815,0.5704247485433853,0.5439091031665138,204,false,1374.0
57,0.7240874790446019,false,31,643,0.5136486563026312,0.7009903405499744,232,true,1378.0
47,0.3575398806593665,false,329,142,0.8988227457149652,0.006607615445117077,214,true,1370.0
99,0.8973967253521291,true,852,373,0.6104305104306906,0.2061956166074909,244,false,1323.0
78,0.25622959302716014,false,407,767,0.5868697600861905,0.774318952636571,227,true,1323.0
19,0.8899337435070214,false,317,596,0.6893290043340513,0.48686644230497617,132,false,1325.0
43,0.8645578892867747,false,717,831,0.7989790581295364,0.0519551167709377,181,false,1376.0
78,0.5497890432145012,false,161,519,0.5496202097064616,0.5026596432510864,158,false,1373.0
96,0.5534516124391391,true,440,377,0.6262548594446079,0.6529297805736793,146,true,1326.0
94,0.6639843460099439,true,364,954,0.7543277165828144,0.13628560288941519,240,true,1376.0
12,0.5347324236476496,true,713,630,0.6280405007565408,0.0350017284478958,172,true,1376.0
23,0.2657713902760217,false,703,998,0.857618247066011,0.36635459875086007,107,true,1328.0
100,0.2707083090055049,false,723,240,0.8604493332906562,0.6923784241655129,126,true,1326.0
82,0.8895729408170758,false,291,937,0.7889916555479364,0.759517758721092,103,true,1375.0
22,0.5971977758845484,true,700,320,0.6995508821118002,0.07573108484372622,207,true,1376.0
33,0.44880225663498263,false,676,960,0.6825944025218031,0.2978706482103447,170,false,1325.0
36,0.250696723828404,true,660,115,0.646574534498668,0.6932163766192458,215,false,1379.0
56,0.24358973423532307,true,784,434,0.8265991749457524,0.35506237757761916,171,false,1280.0
52,0.24866571790243122,false,691,997,0.8502742632956538,0.7488931201852496,249,true,1327.0
76,0.38983883389385576,false,990,840,0.7973307367389382,0.3263285583506316,244,false,1421.0
14,0.39262418832357926,true,285,920,0.6646678239498365,0.568364621332869,140,true,1372.0
38,0.8715163054321959,true,700,99,0.6753135764016983,0.535421098617563,248,true,1316.0
99,0.421181486464242,false,727,418,0.5921390895174613,0.3183589299524503,240,false,1325.0
96,0.657161892616694,false,238,865,0.7669433401148877,0.3236303216565082,218,true,1318.0
90,0.5786816387880165,false,580,506,0.8427776983826243,0.24525648601153593,105,true,1376.0
82,0.5515285597576347,false,745,442,0.8730629020602703,0.5080668221356333,184,false,1323.0
12,0.648888375512676,true,575,560,0.5626234702250577,0.5033450225026312,196,true,1327.0
66,0.590089517568782,true,911,204,0.7276684121882415,0.12649047248736942,118,true,1324.0
99,0.337746364366437,false,911,739,0.5612422104164345,0.48907033351687457,190,true,1327.0
99,0.4531190721819782,true,232,883,0.6822987205807629,0.23852612129727035,135,false,1376.0
78,0.614137495321355,false,853,463,0.5473638982302034,0.5231351662718675,151,true,1321.0
96,0.8748834824762908,true,237,237,0.5629604870617883,0.13548804825420904,150,false,1372.0
93,0.8285904729939118,true,343,162,0.7018292071866554,0.3248604961739158,232,false,1375.0
74,0.4423919697934834,false,962,614,0.8259121101114841,0.4806302240853504,190,false,1326.0
30,0.35488242691385896,false,899,739,0.6424466093320105,0.343265503761695,227,true,1375.0
27,0.5015468598301345,true,80,670,0.6388522467064075,0.6284218868470891,215,false,1372.0
22,0.25537460575174453,false,354,358,0.743978001664779,0.09288759631602002,223,true,1374.0
19,0.3243722062007578,true,769,131,0.6459346886225815,0.7564239810508355,160,true,1372.0
50,0.713294603721681,true,244,350,0.8564909902439857,0.2613300687764037,145,true,1376.0
70,0.35728898561189326,true,394,546,0.5965364929759149,0.026721231763516595,258,false,1327.0
97,0.6622240670450958,false,781,880,0.7561398708782757,0.655804533915717,206,true,1379.0
28,0.5425003713316978,true,973,209,0.6553885461963853,0.33517473154162725,183,false,1382.0
12,0.39557020200152276,false,665,25,0.7493338091085742,0.07516245539409364,253,true,1325.0
35,0.402957239093077,false,100,415,0.7994745656918018,0.06669903333608983,118,true,1325.0
49,0.33555110772191765,false,380,692,0.5541152390631291,0.34960729271230345,209,false,1327.0
93,0.5018525630451132,false,220,875,0.6084247269487176,0.5697367445275469,237,true,1377.0
28,0.4465602851589378,false,451,112,0.8809865200091209,0.007858192578654678,257,true,1370.0
27,0.5265712135715144,true,844,964,0.7856178966468546,0.5772444641506808,137,false,1373.0
19,0.8828058607251865,false,538,566,0.5110996243816219,0.6725951504236898,120,false,1378.0
75,0.5220896776203094,true,135,525,0.583005988526527,0.2107469184615506,253,true,1375.0
43,0.4767843255875087,false,425,361,0.7104303551343472,0.5969238678595413,213,false,1377.0
100,0.7276214863210246,false,323,151,0.5202420865015628,0.7989844924331485,238,true,1328.0
15,0.2793900185673043,false,915,292,0.8533618851049538,0.21536980276639872,109,false,1376.0
31,0.6019852298138137,true,475,728,0.5080355903367386,0.5732068715617542,220,true,1318.0
72,0.7020038141715963,false,525,336,0.565663054508845,0.437081570006942,235,true,1323.0
68,0.6001186826251945,false,762,188,0.7109616760427513,0.7263749099150815,107,false,1330.0
94,0.4400250099634937,false,365,771,0.8762112711243066,0.6708441573341474,155,true,1323.0
41,0.7020730462134894,false,222,573,0.5628105751571857,0.3765376843299415,178,true,1376.0
47,0.20387374301133135,false,993,150,0.6538949915429584,0.766721825374817,104,true,1327.0
54,0.20062302513325841,false,182,679,0.7843135594575821,0.7741937875968392,178,false,1328.0
45,0.3493376955724998,true,629,970,0.8371151467415039,0.016289297700121087,224,true,1378.0
70,0.6627440402432274,true,250,506,0.7352316641206665,0.6192837696137248,218,true,1371.0
89,0.561621673761374,true,739,671,0.8104221351610643,0.6639790899033987,238,true,1324.0
54,0.5683255114419171,false,698,423,0.5273558082960427,0.6797936788318074,118,true,1376.0
10,0.8756190115145652,false,323,919,0.7683096377096768,0.37928550585373144,260,false,1373.0
67,0.7032040709847074,false,845,653,0.6839860870047949,0.14901524598304014,215,true,1374.0
31,0.42131077197633093,true,197,595,0.8058129619433684,0.2635144767923756,224,true,1323.0
15,0.31784571403065937,true,618,372,0.834783890678505,0.44375280232526154,220,true,1374.0
15,0.7598123782830111,false,505,149,0.7345542985508783,0.6303363614079429,160,true,1376.0
22,0.40066325541170167,true,495,302,0.7054277404064102,0.44011730868327253,204,false,1371.0
34,0.5680711854609337,true,953,313,0.5964802014047045,0.15822092883152053,130,false,1316.0
14,0.657028579818395,false,227,93,0.5719257099092541,0.033433651683622403,250,true,1319.0
67,0.3107142605721042,true,463,499,0.8733942853165997,0.46717285092904315,151,false,1321.0
12,0.3947668113239787,true,665,191,0.8928232066984177,0.40286879795255087,220,false,1376.0
16,0.24826304954200798,true,289,813,0.6943524585398418,0.4280463702212052,127,true,1370.0
63,0.5685954259262318,false,547,498,0.5701663407070313,0.31299599496492836,232,false,1324.0
38,0.3151222285429283,true,698,339,0.8325709867247285,0.5512014924060411,210,true,1325.0
96,0.26987171639951146,false,296,323,0.5157842617275208,0.6175611529839506,195,false,1330.0
79,0.3810167373990957,false,290,479,0.5660962132502871,0.7116914820027707,171,true,1378.0
46,0.7245086325022305,true,898,125,0.838510893403309,0.5697912295807274,254,true,1318.0
88,0.4936352377803256,false,889,233,0.7991386670730296,0.5747532624048477,125,false,1378.0
32,0.6181026676152523,false,397,294,0.7350095503228801,0.6843951291275127,223,false,1376.0
94,0.8699264867992442,false,144,561,0.8662991683345438,0.4740162417960938,234,false,1327.0
85,0.6380400394935714,false,696,775,0.8180115917920446,0.39504056318676994,132,true,1327.0
57,0.8699953661830264,false,134,518,0.7241238252070454,0.7565885293036243,189,true,1325.0
89,0.6209712606936891,false,191,908,0.6698116267985255,0.2367943394928961,178,true,1323.0
82,0.34844541236686477,true,946,416,0.5480621719822183,0.08769702920053178,194,false,1369.0
27,0.7319542653850781,false,695,779,0.6189874493069227,0.6508752836184571,160,false,1327.0
89,0.5478152892197168,false,757,267,0.6370708728636956,0.16515545448906155,239,false,1369.0
100,0.47268306049710407,true,454,726,0.8371183011347848,0.0159563397443975,122,false,1378.0
67,0.2356739240293079,true,975,608,0.6790727844429131,0.3455097266780411,160,true,1428.0
