mapreduce_task_io_sort_factor,mapreduce_reduce_shuffle_merge_percent,mapreduce_output_fileoutputformat_compress,mapreduce_reduce_merge_inmem_threshold,mapreduce_job_reduces,mapreduce_map_sort_spill_percent,mapreduce_reduce_shuffle_input_buffer_percent,mapreduce_task_io_sort_mb,mapreduce_map_output_compress,PERF
65,0.7371780111054028,true,982,337,0.5959611779715179,0.28914682254497753,252,true,108162.0
49,0.5289006527365452,false,379,190,0.8807280267283893,0.5973288181645199,222,false,112068.0
29,0.4817658889006816,true,245,50,0.5211374799338566,0.680166625647392,105,false,111739.0
83,0.721766556532945,true,850,163,0.6456716227572231,0.1725276694587227,225,false,109562.0
82,0.7352220893101592,false,947,615,0.5503633738688471,0.21260860223725842,213,true,108089.0
28,0.3923210291975061,true,349,490,0.6584815361726435,0.3195089037025969,150,true,111692.0
20,0.43731020387801167,true,800,300,0.8123422302956362,0.4836147051865751,236,true,113402.0
23,0.25208936406698523,true,216,54,0.8157415360779393,0.6659134162922336,203,false,112080.0
56,0.4195174475094844,true,612,235,0.6749309402933101,0.6366935742877045,161,true,118037.0
98,0.8428663617272079,false,597,477,0.7738296407457621,0.4197371887411018,199,false,111599.0
70,0.7651710275601716,true,734,440,0.8210194112691911,0.5151056921565097,240,true,111673.0
26,0.630773903020817,false,313,404,0.7004118560735404,0.4498395006237902,227,true,108126.0
76,0.2287508513867611,false,162,736,0.7059218768942774,0.4728061234400057,194,true,104333.0
79,0.7230672939351988,false,459,119,0.8023198995849479,0.17218355522599954,152,true,107754.0
65,0.6585985269891448,false,486,839,0.5500686975200617,0.10530123318229441,250,true,108342.0
11,0.5228497466810299,false,528,922,0.8005246851937425,0.40914670339370895,174,false,107962.0
99,0.41199636629119457,true,74,805,0.647031667349411,0.17809033714921313,185,false,111657.0
17,0.8554750282866173,true,535,566,0.8152358138379874,0.5425271370737969,225,true,111405.0
29,0.4482746394917518,false,529,825,0.6206593046876616,0.5095436637006079,105,true,111970.0
72,0.8988086138863414,true,850,622,0.8269342971132476,0.15622061461594172,106,false,111506.0
95,0.5883982971996128,false,723,787,0.7324759727606999,0.47234216895610426,243,false,116051.0
55,0.6799571366234927,true,510,745,0.7464284976271233,0.7678288013278313,181,false,113294.0
19,0.2932755526779094,true,878,109,0.5441890401712084,0.23013779420692962,104,false,108020.0
74,0.40552002475793386,true,780,336,0.5062006895187565,0.6000037454918962,251,true,111370.0
88,0.39314654405624466,true,681,48,0.6295044432984236,0.7206197427924109,247,false,107962.0
59,0.3917274431759528,false,869,489,0.7640362211849356,0.2418057904824291,231,false,111759.0
88,0.6040604505532705,true,217,461,0.832093818370589,0.6365594278879969,100,false,111790.0
16,0.5428505767355748,false,964,631,0.6711890609371018,0.7509308547999108,125,true,111727.0
78,0.36489999474980006,false,489,944,0.796176976082885,0.19634372886370588,206,true,111727.0
28,0.8045330734535586,false,210,713,0.6151437529575036,0.19963959094516875,212,false,108269.0
21,0.8374714073687753,false,613,387,0.803999904963602,0.46791299464020497,142,true,112017.0
26,0.6380485040622391,false,727,150,0.6313219400966622,0.5763019581944946,219,true,112040.0
92,0.6567662691266195,true,664,216,0.7601629004854895,0.7476453212782613,258,true,111611.0
97,0.33499621215880493,false,241,621,0.8683371865957148,0.15338969589548773,175,false,104650.0
91,0.40836364259796704,false,487,970,0.6888503213942696,0.6982282083000472,169,true,111199.0
96,0.4552637592956701,true,319,157,0.7463992342646351,0.12872176109517844,179,true,107747.0
50,0.39994119452987575,false,284,942,0.7364735935418443,0.3726924242936961,151,false,111798.0
99,0.8137896639774669,true,842,700,0.5098780270445208,0.316141638879222,181,false,108104.0
55,0.8778605656769211,false,776,224,0.785938432966922,0.43081878202705026,120,false,111829.0
100,0.5211401224991181,false,550,777,0.504445412154775,0.28815092893314637,171,false,111950.0
59,0.505490237502001,true,868,210,0.7287101431876322,0.33537509864110937,220,false,113422.0
13,0.45643007053513307,false,977,318,0.5601578816955679,0.7591848555392677,153,false,108192.0
47,0.7356223291373385,true,659,956,0.6486104493710385,0.6519522450871095,134,true,109679.0
93,0.6790670214093814,true,350,255,0.5078824018944397,0.5935166440559417,181,false,112154.0
53,0.30376966558943697,true,137,797,0.5574925027237825,0.536016732691847,113,true,109652.0
48,0.8983807875430481,true,721,989,0.5235256556255401,0.5982125737012558,162,true,113066.0
69,0.35957927351022867,true,818,534,0.5572793483880675,0.5795695505687269,223,false,116236.0
90,0.4519044804475364,false,253,463,0.7524096700687617,0.6615552891404491,173,false,113587.0
33,0.6586993572496338,true,403,986,0.777378136125584,0.28939344884396445,245,false,107911.0
38,0.28692868800613924,true,982,977,0.8044743280510609,0.7264167992100179,248,true,112245.0
76,0.3839406704530464,false,396,352,0.8648624837211387,0.12016167837543473,182,true,109177.0
71,0.6187604075281903,false,127,780,0.8996902085242758,0.559631049651954,164,false,107933.0
93,0.48099886726848984,true,309,470,0.8153877077902485,0.5021496276608574,219,false,109694.0
30,0.7563235675673524,true,226,819,0.646605482032289,0.30567558065012534,156,false,107845.0
29,0.7533866736466382,true,147,383,0.6073665278269527,0.47722813165516054,253,true,109581.0
67,0.2684771043684874,true,159,162,0.8231358980541361,0.2721909451005889,159,true,108177.0
38,0.6807067628996504,false,564,992,0.8934229804764311,0.5716570826074718,171,true,111611.0
45,0.8499800708989496,false,747,786,0.7512538181719213,0.2046400847312897,197,true,111806.0
48,0.22799000403152103,true,572,18,0.6047802738909369,0.6718754027553938,138,false,112087.0
78,0.5148524061168704,true,653,604,0.8643376017314349,0.2593274168753798,148,true,111095.0
74,0.5876073181711763,false,428,182,0.7858708882720925,0.17303762771532838,178,true,112225.0
45,0.5394808633909574,true,982,340,0.5948163400747004,0.30955528825670453,251,false,111626.0
89,0.4633323738053331,true,361,425,0.7863837621723655,0.13168775475094263,227,false,107141.0
79,0.6846197276097159,true,838,822,0.725571918557729,0.4101633029195143,130,false,116190.0
65,0.4153229454973393,false,862,321,0.7839609464874845,0.5749285118207119,169,false,108126.0
23,0.6822129208855252,false,776,181,0.726223000731709,0.2451497800262906,255,true,108009.0
58,0.3826709022172322,false,89,134,0.6080431058944022,0.2057949712334482,198,false,112680.0
30,0.2550018510855059,false,375,920,0.5955495465691794,0.4542289344206947,190,true,111630.0
30,0.6308393025217184,false,887,832,0.8275485860300217,0.359889608991823,137,false,111288.0
14,0.5246894964707379,true,957,249,0.6316282948519627,0.5584875045757879,235,false,104681.0
62,0.5997861732940086,false,973,669,0.6940293028566676,0.40945063988351327,116,true,116118.0
71,0.2583344689614204,true,854,556,0.5656988348615763,0.17050224829921065,246,false,111533.0
93,0.4374343714127348,true,858,786,0.5109738397852212,0.30704733342207086,111,true,111790.0
34,0.8908610781946006,true,671,84,0.8988008129680405,0.7714910194358467,115,false,112186.0
91,0.5290728003155174,true,291,535,0.8343336639163501,0.7030250657129603,253,false,111915.0
82,0.8825774517819956,true,226,984,0.6844722163207142,0.40639977686090645,144,false,107671.0
54,0.44713983283043435,true,619,807,0.558135469367324,0.10671099452192495,203,false,113591.0
79,0.5017941547745204,false,170,902,0.7017169858996647,0.31641194202845274,251,false,108075.0
77,0.5494288692089146,false,365,916,0.6594233986582669,0.3608942249263758,229,true,112834.0
19,0.5172535049076665,true,737,799,0.7583660537193697,0.15004916593861725,197,true,112182.0
100,0.6949012697908271,true,659,791,0.7470276970377543,0.7933697623010124,148,true,111432.0
98,0.4940391994968112,false,300,302,0.6367807203220426,0.2305024990236247,168,false,117876.0
29,0.33249024133974253,false,856,160,0.7613274723304952,0.560591755400353,197,false,116000.0
61,0.8578473179312264,true,733,18,0.7064949559116175,0.2348264754625484,127,false,115573.0
21,0.5208883901324015,true,401,643,0.7303842948009052,0.7391717687528936,140,false,109720.0
48,0.4653701063193435,true,684,483,0.7187896765494918,0.704350184243987,250,false,109701.0
82,0.739836576688868,true,66,945,0.5806401354291206,0.7814175330988269,147,false,115858.0
48,0.44247724052728,true,397,128,0.7036395141863149,0.62526138588553,165,false,112253.0
73,0.828182357473284,true,241,9,0.8904971675886111,0.1529706050461535,146,false,113531.0
35,0.5046080946663168,true,439,227,0.8145645068804617,0.4371876334268646,181,false,111747.0
87,0.8087148465897969,true,101,987,0.5649153732741827,0.6520142325931372,226,false,115862.0
80,0.5960939925443851,false,118,256,0.5424686087502067,0.11897742656040983,199,true,116414.0
27,0.41730914877448505,false,129,435,0.615720242277026,0.723093153632717,137,true,111622.0
23,0.5189856244669484,true,485,738,0.6535811312024911,0.45193292510150307,107,false,111669.0
34,0.8951441036701151,false,216,667,0.8928169581224961,0.20703565238292565,155,false,111708.0
99,0.2705524710004807,true,805,966,0.5562005709315551,0.7735495676144293,219,false,108024.0
24,0.21884658918671954,true,46,651,0.695964521876276,0.6634849016655614,238,false,111556.0
21,0.48733215928833185,false,73,164,0.5653281083993453,0.7530808176111445,102,true,111374.0
42,0.5606576107296922,false,993,776,0.7706234606032867,0.2569671777106218,102,false,111265.0
