mapreduce_task_io_sort_factor,mapreduce_reduce_shuffle_merge_percent,mapreduce_output_fileoutputformat_compress,mapreduce_reduce_merge_inmem_threshold,mapreduce_job_reduces,mapreduce_map_sort_spill_percent,mapreduce_reduce_shuffle_input_buffer_percent,mapreduce_task_io_sort_mb,mapreduce_map_output_compress,PERF
65,0.7371780111054028,true,982,337,0.5959611779715179,0.28914682254497753,252,true,108162.0
49,0.5289006527365452,false,379,190,0.8807280267283893,0.5973288181645199,222,false,112068.0
29,0.4817658889006816,true,245,50,0.5211374799338566,0.680166625647392,105,false,111739.0
83,0.721766556532945,true,850,163,0.6456716227572231,0.1725276694587227,225,false,109562.0
82,0.7352220893101592,false,947,615,0.5503633738688471,0.21260860223725842,213,true,108089.0
28,0.3923210291975061,true,349,490,0.6584815361726435,0.3195089037025969,150,true,111692.0
20,0.43731020387801167,true,800,300,0.8123422302956362,0.4836147051865751,236,true,113402.0
23,0.25208936406698523,true,216,54,0.8157415360779393,0.6659134162922336,203,false,112080.0
56,0.4195174475094844,true,612,235,0.6749309402933101,0.6366935742877045,161,true,118037.0
98,0.8428663617272079,false,597,477,0.7738296407457621,0.4197371887411018,199,false,111599.0
70,0.7651710275601716,true,734,440,0.8210194112691911,0.5151056921565097,240,true,111673.0
26,0.630773903020817,false,313,404,0.7004118560735404,0.4498395006237902,227,true,108126.0
76,0.2287508513867611,false,162,736,0.7059218768942774,0.4728061234400057,194,true,104333.0
79,0.7230672939351988,false,459,119,0.8023198995849479,0.17218355522599954,152,true,107754.0
65,0.6585985269891448,false,486,839,0.5500686975200617,0.10530123318229441,250,true,108342.0
11,0.5228497466810299,false,528,922,0.8005246851937425,0.40914670339370895,174,false,107962.0
99,0.41199636629119457,true,74,805,0.647031667349411,0.17809033714921313,185,false,111657.0
