mapreduce_task_io_sort_factor,mapreduce_reduce_shuffle_merge_percent,mapreduce_output_fileoutputformat_compress,mapreduce_reduce_merge_inmem_threshold,mapreduce_job_reduces,mapreduce_map_sort_spill_percent,mapreduce_reduce_shuffle_input_buffer_percent,mapreduce_task_io_sort_mb,mapreduce_map_output_compress,PERF
31.0,0.5855181654542068,True,608.0,626.0,0.5262115436959253,0.1092175940884119,234.0,False,115807.734375
31.0,0.8969949365022194,True,838.0,477.0,0.7556272562176648,0.20543149681646677,202.0,True,115267.9375
57.0,0.7214637807790283,False,73.0,758.0,0.736439833172527,0.3108873616609986,105.0,True,-1.0
53.0,0.7059885076054042,False,717.0,921.0,0.6579853616002975,0.6606361396896598,171.0,True,-1.0
89.0,0.27724347371430524,True,225.0,966.0,0.6744647466509717,0.5386538036067628,148.0,True,-1.0
45.0,0.45212823725142426,False,588.0,904.0,0.7727928546539866,0.750261920840012,237.0,True,-1.0
70.0,0.3225387391600381,False,965.0,905.0,0.7276430013897294,0.5996719141219395,134.0,True,-1.0
62.0,0.4066206487704816,True,855.0,990.0,0.5354072372438914,0.6604167248802514,166.0,False,-1.0
36.0,0.7404664022213678,False,54.0,615.0,0.5179760973984144,0.6029083342139614,153.0,True,-1.0
98.0,0.5587400578171504,False,317.0,78.0,0.7399051235186402,0.12196443352272242,132.0,False,-1.0
65.0,0.31777730379935964,True,869.0,315.0,0.8834637705633821,0.7276617489993211,160.0,False,-1.0
57.0,0.6542832156875316,False,564.0,621.0,0.8762485021695854,0.4549187711619619,169.0,True,-1.0
31.0,0.4177499342101631,False,526.0,549.0,0.5045829945456877,0.3906472406627174,193.0,False,-1.0
65.0,0.6462045693543197,True,631.0,467.0,0.7717125592152434,0.3468038881287332,213.0,True,115793.1796875
12.0,0.25179799451560014,False,964.0,252.0,0.6825248518545517,0.5148703129665425,151.0,False,-1.0
38.0,0.46471624294109826,False,307.0,378.0,0.8089093649776484,0.11884484350653103,191.0,True,-1.0
38.0,0.3635511115273018,False,246.0,188.0,0.6740937282131284,0.588646484672395,116.0,False,-1.0
40.0,0.7851418351745431,True,857.0,170.0,0.6346840940179523,0.5551626634047464,242.0,False,-1.0
30.0,0.29343433405009767,False,199.0,807.0,0.8353905516112903,0.22851041931367905,145.0,True,-1.0
68.0,0.766317910383188,True,138.0,293.0,0.817544769793666,0.2898221457399767,155.0,False,-1.0
48.0,0.4925702603498513,False,164.0,6.0,0.8773071343676435,0.7159847761382336,258.0,False,-1.0
96.0,0.8498902779438235,True,748.0,837.0,0.7651948802113964,0.4633104836520274,146.0,False,-1.0
30.0,0.25696666063373497,False,294.0,810.0,0.518030724034144,0.7325264972602394,211.0,True,-1.0
91.0,0.8307756368564206,False,23.0,746.0,0.5687286362146948,0.30992164810994527,206.0,True,-1.0
47.0,0.857939299643252,False,348.0,253.0,0.8446658865838668,0.43403824767534427,225.0,False,-1.0
28.0,0.5788995579814162,False,180.0,792.0,0.8687066045094528,0.6642357274140396,232.0,False,-1.0
67.0,0.8051626519575082,True,279.0,269.0,0.7109064713706732,0.3960888030803278,176.0,True,-1.0
10.0,0.24783517662375723,True,133.0,69.0,0.8898770124703976,0.6981142543174585,114.0,True,-1.0
38.0,0.42706006221119197,True,650.0,587.0,0.6443338342455938,0.23375740045022908,153.0,False,-1.0
60.0,0.7040695471979471,True,89.0,179.0,0.6493098302507933,0.5231044073044496,225.0,False,-1.0
82.0,0.639819291917313,True,379.0,497.0,0.7811522642223496,0.39435972843469924,211.0,False,-1.0
32.0,0.5797277950224476,False,81.0,425.0,0.6703420225690778,0.7157685005639948,250.0,False,-1.0
91.0,0.7557326585094801,True,470.0,124.0,0.8252886823759302,0.5636027223978508,242.0,True,-1.0
70.0,0.7162772716558657,False,112.0,588.0,0.5019605114267696,0.20046285215898746,224.0,False,-1.0
18.0,0.27851671863237615,False,187.0,24.0,0.8366142298349756,0.1848984302418471,235.0,True,-1.0
85.0,0.8671638097338484,False,801.0,37.0,0.8069674151052157,0.4579280202858508,214.0,False,-1.0
77.0,0.8548480177059063,True,331.0,564.0,0.831223732463532,0.2694882437500713,129.0,False,-1.0
65.0,0.7299448835135276,True,374.0,397.0,0.6401137934822998,0.3927523559065167,113.0,True,-1.0
98.0,0.4948536469197711,False,169.0,691.0,0.8024464088077099,0.5716990675535236,183.0,False,-1.0
68.0,0.8292068933875342,True,105.0,748.0,0.8666457524855106,0.46207771797094055,171.0,True,-1.0
27.0,0.3944765800901958,True,590.0,316.0,0.5929220701798528,0.5837926855431803,253.0,False,-1.0
73.0,0.4951084698044156,False,589.0,268.0,0.5870419511414389,0.11618732949842171,177.0,False,-1.0
26.0,0.45872454587213307,True,776.0,144.0,0.8964871725367063,0.43571290367128024,196.0,False,-1.0
85.0,0.7769144325714831,False,486.0,721.0,0.8426595775710204,0.38018361663952904,217.0,True,-1.0
52.0,0.36842504124926145,True,721.0,676.0,0.8834858781617041,0.6977170570039801,139.0,False,-1.0
33.0,0.33915816515025926,False,860.0,900.0,0.6020031725457592,0.7055692570769454,150.0,False,-1.0
76.0,0.2692885370656669,True,836.0,292.0,0.6426644338737635,0.5062100322087537,208.0,False,-1.0
40.0,0.5109927257297651,True,218.0,586.0,0.882134921818921,0.3736439994558527,187.0,False,-1.0
35.0,0.6691488061731105,True,888.0,909.0,0.5387622610559717,0.7589012815839924,160.0,True,-1.0
