mapreduce_task_io_sort_factor,mapreduce_reduce_shuffle_merge_percent,mapreduce_output_fileoutputformat_compress,mapreduce_reduce_merge_inmem_threshold,mapreduce_job_reduces,mapreduce_map_sort_spill_percent,mapreduce_reduce_shuffle_input_buffer_percent,mapreduce_task_io_sort_mb,mapreduce_map_output_compress,PERF
29,0.49766088556963517,false,364,591,0.5139824351048397,0.3528070928505326,114,false,1264.0
98,0.33359077065602694,true,752,4,0.8219495100072218,0.45829116471706866,226,false,1254.0
17,0.520088303070414,true,554,325,0.8642068943173444,0.5837062148878414,182,true,1252.0
91,0.3879663072908055,true,691,140,0.6860374582693837,0.46782460895570843,211,false,1222.0
63,0.7950868145346701,false,855,968,0.7084402545887711,0.12189706527220516,134,false,1313.0
30,0.47255250710934416,true,164,427,0.6627318665676837,0.21367043844954997,168,false,1254.0
56,0.842486061810603,true,448,763,0.589680982969254,0.7181055403421795,138,false,1250.0
17,0.7341503346450048,true,756,29,0.6767185009532928,0.6754178743712416,248,true,1248.0
98,0.714665510437431,true,175,735,0.7023851233611846,0.7326579758453723,193,true,1294.0
100,0.274089646384374,false,203,144,0.5607738299232046,0.750265579948184,100,true,1297.0
82,0.3897951461204989,false,854,435,0.878265726946194,0.2576453110607466,195,false,1241.0
86,0.5365582570708468,true,790,125,0.6658393517747598,0.28524132084739595,124,false,1273.0
89,0.22716903227945662,false,626,197,0.5257591632347225,0.2535673494623181,246,false,1314.0
66,0.49582301032669496,true,337,900,0.742068456333735,0.11532372486457311,202,true,1310.0
42,0.5587586974520442,true,542,705,0.8342760717255832,0.47626347338580144,234,false,1249.0
53,0.3907668008217978,true,420,103,0.7241507958197468,0.6115901684961247,228,true,1256.0
88,0.2781612528808987,true,833,188,0.5310957251280687,0.13041525662515016,234,true,1259.0
81,0.4141220525150734,false,88,612,0.8027950502967871,0.7910178887039594,154,true,1291.0
63,0.6402186626635383,false,425,15,0.6405126859941855,0.27272502895257267,170,false,1211.0
49,0.4222942232268459,true,902,390,0.6425177488081331,0.7248388806368935,215,false,1258.0
74,0.36363983728046245,true,926,714,0.7487518183520858,0.43431457318632416,207,false,1253.0
11,0.30321468579277056,false,917,700,0.7445561543534734,0.12157692505540971,123,false,1254.0
93,0.7356037655882697,true,287,969,0.6309157546673712,0.711974190080585,244,true,1255.0
95,0.4437221018659585,false,483,514,0.841735829429715,0.7871946456559407,122,true,1254.0
18,0.5761062956486789,true,242,611,0.7164665233779715,0.44125852753923367,133,false,1214.0
85,0.8220859230044736,false,523,279,0.8335912968503475,0.5973574386658542,104,true,1364.0
67,0.25016756697917125,false,398,121,0.6757395697383911,0.6783390696944819,227,true,1263.0
40,0.4889924805886442,true,313,708,0.536487379831569,0.5092383043479682,151,false,1253.0
48,0.8558716471632916,false,518,697,0.5868981475481885,0.7083535089873677,193,false,1249.0
67,0.648072638016198,true,944,606,0.7806899006323047,0.1631428566313517,230,false,1252.0
41,0.8164059466386778,true,633,639,0.6430327612840172,0.642439014300598,118,false,1252.0
11,0.5279776110237329,false,89,555,0.7972380593719484,0.37961975974831785,218,false,1249.0
70,0.5028657038279355,false,355,680,0.7298337525498171,0.3481072609253264,162,false,1256.0
95,0.5733831550179898,true,249,321,0.540221996017868,0.6325187125466832,258,false,1212.0
19,0.8375854613721139,true,750,528,0.8501905597393791,0.5533633204904219,172,true,1315.0
17,0.3096448880676402,true,586,603,0.587757046752984,0.2424192348188576,217,false,1209.0
21,0.24954471395554792,true,364,234,0.7278565325944917,0.28875170298627634,238,false,1254.0
39,0.7109761849474799,true,923,636,0.6099438673224967,0.3048578863603636,134,true,1249.0
