StartServers,MinSpareServers,MaxSpareServers,MaxRequestWorkers,MaxRequestsPerChild,PERF
5,7,16,393,71,4561
6,10,11,998,748,4454
3,4,11,399,306,4207
4,8,13,692,511,4282
4,8,18,564,955,3813
10,9,12,686,761,3956
7,5,13,658,119,4343
4,5,12,449,834,3912
10,1,18,286,841,3883
7,10,11,347,373,4038
9,8,17,988,206,4439
3,5,18,839,851,4375
4,4,11,313,392,4292
8,9,19,407,64,4262
4,7,20,968,448,4356
8,5,14,765,179,4307
7,4,11,525,88,4269
6,9,15,534,868,4477
7,9,13,113,240,3859
2,10,17,798,412,3601
5,7,15,759,576,3862
3,4,17,791,684,4368
7,1,17,733,315,4427
3,6,20,658,440,3870
4,7,11,994,961,4297
6,6,14,857,548,4301
4,4,20,728,102,4319
3,9,13,980,308,4319
6,4,14,486,74,4387
3,2,14,36,725,3947
8,1,19,963,923,4347
6,9,15,130,728,4280
10,8,19,560,684,4457
5,3,14,501,197,3892
6,7,11,728,493,4343
5,5,14,550,333,3591
7,5,13,692,311,4303
5,9,20,155,911,3614
2,4,19,459,442,4447
10,3,20,953,187,4250
9,4,11,661,896,3925
9,3,16,527,111,4348
7,6,14,973,566,3121
4,8,11,668,399,4296
1,7,11,197,289,4304
2,7,15,675,455,4339
8,2,12,635,516,4019
7,9,14,188,410,4283
5,3,20,975,488,4315
1,3,13,58,742,3935
8,9,12,867,424,4404
2,5,18,3,565,4320
9,9,14,453,454,3920
3,1,14,735,503,3951
3,3,19,508,914,4407
8,8,20,214,870,4512
4,10,14,460,250,4474
1,1,19,791,848,4324
6,2,17,230,63,4401
10,5,16,343,595,4455
8,6,11,477,640,3519
2,3,17,223,707,4367
3,6,11,621,304,3916
8,2,14,709,940,4285
5,9,19,781,136,4268
9,6,14,154,511,4496
2,8,11,10,189,3588
7,4,14,793,644,4320
4,7,11,761,66,4310
9,8,17,44,237,3907
9,10,16,785,351,4283
3,2,19,478,293,3835
6,7,11,327,962,4256
5,10,13,870,431,3609
8,1,20,46,612,3627
7,4,17,587,719,4440
8,4,17,741,943,4324
7,1,12,393,593,3858
5,3,14,430,897,4283
10,8,18,901,738,4433
4,9,18,621,816,4215
1,7,16,39,362,4292
5,2,20,739,605,4324
10,2,20,277,359,4342
9,4,15,268,660,3320
9,7,20,110,933,4325
3,10,15,500,422,4341
9,10,19,252,874,3862
7,3,14,440,604,3910
3,8,19,899,277,4389
9,3,17,208,550,3975
8,5,19,194,573,4586
1,7,11,646,131,4466
1,4,13,911,329,3855
10,7,19,222,261,4324
4,10,12,938,588,3853
5,2,16,371,457,4755
7,2,11,521,823,4477
9,8,13,594,979,4323
5,7,16,265,851,3848
10,6,18,647,70,4363
9,3,20,869,160,3938
6,2,12,924,967,4277
5,6,15,105,739,4352
9,4,13,744,214,4379
9,9,12,554,692,3120
4,8,18,284,470,3902
5,3,16,373,848,4285
1,5,11,643,98,3987
9,6,11,13,911,4361
3,1,13,34,14,4355
2,7,18,290,456,4322
3,10,11,361,885,4423
5,4,11,704,676,4212
6,2,17,157,777,4126
1,8,13,22,441,4238
3,4,20,510,658,4337
9,3,15,946,245,3978
1,3,16,32,427,4291
3,8,15,381,303,3888
7,10,13,576,305,3829
10,4,13,463,623,4449
7,7,20,452,741,4212
1,3,17,33,467,4341
9,3,17,695,468,4236
10,10,14,257,35,3810
2,9,20,135,945,4338
10,8,18,776,677,3903
10,2,19,318,497,3880
1,6,16,773,730,3922
9,2,19,948,270,3883
3,2,17,130,654,4451
10,9,15,509,357,4494
2,4,16,626,123,4240
6,4,14,227,648,4360
1,2,15,5,254,4223
3,10,15,342,510,4482
3,2,17,234,192,3598
8,5,12,274,464,3914
2,4,11,90,913,4275
9,7,13,860,190,4348
9,7,18,380,608,3874
7,4,11,430,423,4194
10,7,19,228,539,3894
8,4,14,540,263,4412
1,2,14,493,705,3908
10,7,15,392,276,3853
9,6,17,831,725,4356
7,8,20,180,996,4283
6,9,18,571,582,4244
7,1,16,456,34,4039
5,8,16,150,686,4266
10,9,14,264,436,4540
3,7,14,89,381,3897
5,10,13,455,931,4303
10,1,14,919,558,4368
9,9,15,592,765,4378
3,9,11,359,549,3910
6,4,14,816,272,4317
6,7,11,4,662,4273
1,2,14,148,205,4291
5,7,14,632,555,4413
3,2,11,917,134,4248
2,4,13,740,743,4357
4,10,20,657,272,4254
6,6,13,534,226,4211
8,7,17,346,686,4199
7,3,20,504,454,4378
7,8,16,950,960,1563
3,9,14,702,899,4302
9,10,12,848,312,4738
9,5,16,604,443,4390
8,1,12,426,1,4111
9,7,11,352,708,3679
4,8,13,685,583,4492
1,1,11,191,613,3887
2,2,11,471,382,4329
7,3,16,737,385,4587
5,1,20,332,980,4303
10,7,15,385,428,4359
7,9,14,289,491,4139
4,9,13,546,519,4141
7,10,15,165,591,4324
10,10,16,392,422,3915
1,4,12,968,583,4261
2,7,14,389,923,3889
10,3,14,95,420,3842
5,8,15,796,431,4202
4,1,18,519,666,4223
3,2,11,906,127,4291
5,3,19,517,674,4286
2,9,18,757,245,4396
5,7,11,168,753,4309
4,5,15,85,542,4476
4,7,18,287,544,3984
2,4,11,218,691,4314
5,4,13,93,59,3945
4,6,19,563,932,4367
10,5,11,724,449,3922
6,9,16,462,195,4064
5,10,16,373,295,4234
5,10,16,280,327,4011
9,3,12,453,470,4056
4,9,19,407,663,4361
8,1,17,18,925,3700
8,3,18,7,933,4315
7,8,19,889,628,3869
6,7,14,578,107,4636
2,6,19,120,43,4354
3,7,13,555,985,4292
5,3,18,68,890,3857
7,10,14,358,958,3891
8,3,17,97,634,4267
5,10,20,75,921,4277
1,7,15,58,737,4242
6,6,20,72,89,4262
1,3,18,253,722,3542
4,3,13,960,777,3875
10,6,15,304,534,4329
5,4,19,284,792,4253
1,5,19,256,565,3922
8,2,20,792,412,3846
2,4,14,845,199,4057
2,9,19,651,834,4409
6,5,17,545,32,4403
4,4,16,744,615,3767
9,10,15,602,247,3998
3,10,14,559,667,3910
4,7,20,961,426,3980
5,10,15,91,457,3881
6,8,11,922,246,4503
3,8,15,780,73,4252
10,8,17,765,173,4351
1,6,15,607,34,3929
2,4,17,335,708,4253
10,7,20,782,1000,4362
3,5,14,649,764,4302
6,3,12,52,635,4337
10,10,12,198,564,4269
8,6,17,272,772,4293
5,2,18,48,197,3923
7,6,15,528,997,4418
8,9,11,130,473,4308
5,10,15,876,894,3896
2,5,20,599,369,3942
8,3,19,62,686,4354
2,5,17,128,319,4320
6,10,12,962,528,4343
5,10,12,83,938,4380
2,10,12,754,267,3910
4,7,19,883,231,3918
10,6,14,478,459,4310
10,7,12,9,324,4273
5,5,12,675,208,4284
8,4,19,183,667,3858
2,6,12,623,468,4194
7,9,15,530,252,4273
1,8,16,883,854,4344
4,2,20,454,649,3656
6,5,11,376,786,4463
7,4,15,716,444,4158
2,10,19,900,0,4423
6,10,19,366,635,4323
3,7,16,685,394,4326
3,2,18,261,78,3502
3,5,18,932,821,3934
10,10,13,831,865,4067
10,10,11,799,292,4352
7,7,15,563,14,4292
7,10,12,369,826,3606
2,8,12,30,105,4439
1,1,19,278,964,3891
10,10,19,501,21,4296
10,2,14,889,409,4360
3,2,14,642,123,4355
10,10,13,884,276,4250
1,8,17,892,8,4348
7,10,12,810,830,4367
9,1,12,242,411,3505
8,2,15,921,372,4286
6,3,20,322,336,4271
3,9,18,700,963,4439
4,7,18,806,115,4449
3,1,12,768,929,1079
1,7,14,40,376,4274
5,4,16,73,337,3638
7,6,17,901,199,4294
1,2,17,50,632,4359
2,3,15,53,840,4379
8,7,11,672,50,3928
8,1,11,544,535,3985
5,9,17,988,879,3835
5,6,12,93,525,4312
9,9,20,944,300,4408
4,6,13,794,401,4346
10,6,20,212,868,4389
8,4,20,155,233,4308
9,1,20,38,389,4317
4,6,18,728,447,4323
3,8,17,884,9,3716
