StartServers,MinSpareServers,MaxSpareServers,MaxRequestWorkers,MaxRequestsPerChild,PERF
2.0,8.0,17.0,255.0,495.0,4005.612060546875
5.0,6.0,18.0,94.0,28.0,4432.3310546875
8,4,17,3,445,-1
7,3,19,901,30,-1
1,5,19,381,216,-1
4,1,12,438,495,-1
3,3,12,460,289,-1
1,8,16,642,185,-1
9.0,8.0,12.0,333.0,721.0,4234.83056640625
7.0,9.0,14.0,830.0,670.0,4196.4296875
3.0,6.0,18.0,846.0,505.0,3960.357177734375
6,1,13,797,414,-1
2,5,17,674,374,-1
4,5,18,521,393,-1
5,1,11,703,983,-1
6,4,12,502,982,-1
7,5,18,232,513,-1
9.0,6.0,15.0,270.0,547.0,4066.86767578125
9,1,18,820,886,-1
7,8,15,561,426,-1
1.0,8.0,16.0,200.0,504.0,4030.711669921875
5,4,14,538,623,-1
6,5,11,230,177,-1
6.0,8.0,18.0,797.0,816.0,4174.703125
3,8,17,84,16,-1
1.0,7.0,13.0,110.0,624.0,4195.32177734375
4,1,12,527,168,-1
3,7,15,322,473,-1
1,4,14,188,108,-1
9,5,12,606,817,-1
1,1,12,719,160,-1
7.0,7.0,15.0,221.0,975.0,4126.0400390625
8,5,13,648,394,-1
6,3,16,59,298,-1
9,8,13,858,310,-1
9,7,14,253,8,-1
8,1,18,962,570,-1
2.0,8.0,19.0,704.0,508.0,4121.830078125
4,4,12,674,432,-1
2,1,16,296,499,-1
3,8,19,19,200,-1
3,9,18,339,213,-1
7.0,8.0,19.0,344.0,882.0,4022.466552734375
7,5,19,235,725,-1
1,2,19,213,759,-1
6,8,14,340,291,-1
8,6,19,887,135,-1
5,1,11,74,866,-1
8.0,8.0,14.0,615.0,781.0,4339.9677734375
4,6,13,82,266,-1
9,6,19,458,277,-1
8,8,11,670,91,-1
2.0,8.0,11.0,240.0,988.0,4396.38916015625
4,2,12,242,744,-1
1.0,9.0,14.0,970.0,909.0,4082.154296875
3,3,15,101,652,-1
1,1,19,296,596,-1
5,3,11,913,969,-1
9,2,12,618,979,-1
5.0,7.0,16.0,259.0,541.0,3987.674560546875
3,3,11,281,983,-1
5,6,16,940,390,-1
3,3,13,847,893,-1
3,4,15,579,595,-1
3,1,13,73,551,-1
1,1,16,291,792,-1
5.0,8.0,12.0,501.0,794.0,4334.14306640625
1.0,9.0,12.0,776.0,984.0,4364.9189453125
8,3,11,514,919,-1
3,9,12,910,31,-1
3.0,9.0,18.0,907.0,840.0,4173.79931640625
7,7,12,433,157,-1
7.0,7.0,13.0,65.0,963.0,4104.0087890625
8,5,15,851,453,-1
4,4,13,25,646,-1
4,6,11,355,138,-1
2,3,18,398,401,-1
6,3,11,529,500,-1
6,4,17,731,238,-1
5,5,13,412,560,-1
9,9,13,646,48,-1
1,5,18,160,766,-1
8,3,17,849,371,-1
7.0,7.0,16.0,856.0,896.0,4378.591796875
9,6,12,251,217,-1
6.0,7.0,11.0,681.0,717.0,4373.3935546875
4,5,12,730,40,-1
9.0,8.0,16.0,268.0,912.0,3920.978271484375
9,2,17,842,659,-1
7,5,19,971,382,-1
8,4,12,326,126,-1
9,9,12,601,408,-1
2,3,13,749,4,-1
2,4,11,627,605,-1
8,2,13,542,273,-1
6,3,17,791,808,-1
9,5,15,855,769,-1
6,4,13,109,807,-1
2.0,7.0,15.0,964.0,761.0,3936.883056640625
9,2,15,573,311,-1
9.0,9.0,11.0,85.0,835.0,4067.4814453125
7.0,7.0,13.0,606.0,606.0,4342.6083984375
6,2,14,394,723,-1
9,9,15,445,268,-1
1,1,15,319,380,-1
9,5,16,236,23,-1
3,2,15,998,674,-1
2.0,9.0,18.0,734.0,906.0,4407.95654296875
7.0,8.0,14.0,980.0,961.0,4375.455078125
2.0,7.0,17.0,461.0,530.0,4119.86181640625
5,9,15,831,353,-1
8.0,9.0,15.0,568.0,920.0,4303.060546875
7,5,12,325,699,-1
2,9,13,911,309,-1
9.0,7.0,15.0,518.0,651.0,4335.287109375
6,3,12,512,934,-1
6,1,18,726,907,-1
2,7,11,653,273,-1
3.0,8.0,11.0,522.0,853.0,4379.228515625
3,2,18,423,716,-1
1,4,12,673,82,-1
9,1,17,22,255,-1
8,2,12,691,385,-1
1,9,12,37,344,-1
6,7,12,337,30,-1
5.0,7.0,17.0,902.0,755.0,4096.1572265625
8.0,7.0,15.0,226.0,660.0,3966.7841796875
3,1,15,874,127,-1
6,4,15,144,959,-1
3.0,6.0,14.0,19.0,557.0,4029.32275390625
2,1,11,162,95,-1
6,5,19,934,994,-1
3,5,13,591,624,-1
8.0,7.0,13.0,423.0,526.0,4321.3173828125
1,1,14,112,723,-1
3,1,12,232,217,-1
5,5,13,642,212,-1
9.0,9.0,17.0,434.0,511.0,4186.04833984375
6,1,14,525,181,-1
1.0,8.0,14.0,519.0,921.0,4444.6484375
6,3,19,372,19,-1
7,1,13,840,672,-1
1,5,14,486,208,-1
6,1,13,373,935,-1
1,7,12,571,391,-1
5,7,14,122,121,-1
1.0,8.0,16.0,959.0,692.0,4023.571533203125
1,6,17,723,497,-1
4,5,18,269,526,-1
5.0,9.0,18.0,932.0,836.0,4053.947998046875
3,3,15,260,427,-1
7,9,16,818,95,-1
4,9,12,417,66,-1
1,9,19,648,128,-1
3,3,17,681,438,-1
5,2,15,949,755,-1
1,5,17,258,894,-1
5.0,7.0,14.0,995.0,782.0,4121.3466796875
6,2,14,30,595,-1
8,2,15,482,404,-1
7.0,9.0,17.0,473.0,961.0,4199.79638671875
3.0,7.0,16.0,761.0,852.0,4363.2138671875
3.0,6.0,14.0,667.0,977.0,4409.67578125
6,1,15,711,883,-1
6.0,8.0,11.0,943.0,729.0,4261.00244140625
6.0,9.0,18.0,101.0,815.0,4067.223876953125
7,2,17,586,191,-1
8,2,16,434,253,-1
6,5,12,966,72,-1
1,5,18,658,754,-1
5.0,7.0,14.0,267.0,502.0,4066.5703125
1,1,17,174,750,-1
8,4,17,787,864,-1
2,2,14,465,294,-1
1.0,6.0,19.0,367.0,537.0,3943.342529296875
4,4,18,309,649,-1
5,5,19,77,824,-1
3,6,18,653,392,-1
8,1,16,391,530,-1
8,8,16,308,232,-1
5,3,13,957,111,-1
8,4,14,319,77,-1
5,2,14,292,894,-1
9,4,16,929,326,-1
1,3,12,678,373,-1
4.0,8.0,13.0,808.0,632.0,4075.27099609375
4.0,8.0,14.0,878.0,925.0,4319.97509765625
5.0,7.0,19.0,742.0,751.0,4139.560546875
8,9,17,979,291,-1
6,7,14,395,174,-1
9,4,15,893,186,-1
9,2,11,351,359,-1
9.0,8.0,17.0,436.0,542.0,4245.9130859375
3.0,8.0,14.0,285.0,637.0,4204.9013671875
2,3,19,95,142,-1
2,3,14,250,342,-1
3,3,16,337,372,-1
7,1,12,850,429,-1
8,2,15,845,338,-1
7,6,14,997,392,-1
3,5,14,604,625,-1
1,1,18,260,234,-1
9,5,18,476,639,-1
2.0,6.0,18.0,523.0,741.0,4188.095703125
7,1,17,591,301,-1
1.0,8.0,15.0,719.0,878.0,4409.671875
7,9,14,801,444,-1
9,8,11,136,216,-1
9,4,16,301,507,-1
4,4,16,584,904,-1
7.0,9.0,18.0,990.0,671.0,3869.8837890625
2.0,8.0,19.0,904.0,569.0,4000.975830078125
7,2,18,573,284,-1
1.0,8.0,19.0,89.0,800.0,4282.1474609375
4,2,13,769,872,-1
1,6,11,718,330,-1
8,9,15,998,309,-1
1,6,11,198,407,-1
6,2,11,867,313,-1
9.0,9.0,14.0,460.0,520.0,4289.99609375
6.0,6.0,16.0,620.0,940.0,4356.89453125
5,4,17,238,301,-1
9,5,15,12,415,-1
6,1,16,632,60,-1
6,5,17,353,706,-1
7,1,11,676,963,-1
3,5,16,320,363,-1
3,4,16,301,377,-1
7,1,16,735,310,-1
3,8,13,188,435,-1
7,1,13,334,833,-1
4.0,8.0,12.0,337.0,650.0,4210.408203125
8,5,13,121,529,-1
2,8,18,184,278,-1
8,6,18,345,129,-1
3,8,13,347,416,-1
4,4,19,156,4,-1
9.0,8.0,19.0,434.0,950.0,4097.078125
9,2,17,836,662,-1
5,3,14,228,68,-1
6,3,18,46,903,-1
7.0,9.0,19.0,899.0,576.0,3875.05712890625
1.0,7.0,12.0,300.0,662.0,4349.83935546875
5,4,19,612,341,-1
3,8,15,782,351,-1
2,5,18,172,791,-1
9.0,8.0,18.0,8.0,628.0,3799.99365234375
8,1,13,269,527,-1
4,5,17,2,54,-1
2,2,11,974,854,-1
1,5,13,315,351,-1
6,6,14,191,328,-1
2,5,17,380,79,-1
2,4,16,782,380,-1
8,6,14,373,496,-1
7,4,17,461,245,-1
5,7,11,425,425,-1
8.0,9.0,14.0,897.0,790.0,4328.35009765625
3,5,12,813,662,-1
8.0,8.0,17.0,734.0,563.0,4060.246337890625
1.0,6.0,11.0,144.0,774.0,4375.1630859375
1,1,11,880,179,-1
1.0,8.0,12.0,844.0,673.0,4067.76611328125
8,9,16,798,36,-1
7,5,17,107,748,-1
9,1,13,564,828,-1
3,2,13,616,753,-1
4,4,14,350,418,-1
1,5,19,413,747,-1
2.0,7.0,17.0,674.0,517.0,4136.17578125
5,6,19,150,95,-1
7.0,9.0,15.0,443.0,718.0,4232.8798828125
2,3,12,586,314,-1
3.0,7.0,19.0,296.0,705.0,4132.396484375
4,8,16,267,217,-1
1,5,14,173,360,-1
3,7,12,991,479,-1
6,5,18,821,557,-1
5.0,7.0,18.0,400.0,733.0,4093.352783203125
9,5,13,235,717,-1
7,9,18,242,189,-1
3,2,17,858,899,-1
3.0,8.0,13.0,423.0,728.0,4327.8310546875
1,1,18,292,356,-1
6,7,11,335,436,-1
5,2,16,955,390,-1
5,2,13,665,112,-1
8,9,11,941,374,-1
7.0,7.0,13.0,676.0,654.0,4354.7353515625
8,3,17,961,672,-1
5,2,15,352,718,-1
7.0,6.0,12.0,646.0,630.0,4381.79296875
2.0,9.0,16.0,124.0,931.0,4408.884765625
2,3,17,597,554,-1
6,5,13,177,68,-1
7,7,15,739,359,-1
3,4,18,43,504,-1
3,7,14,333,403,-1
5,7,14,847,112,-1
3,1,12,779,727,-1
2.0,8.0,17.0,255.0,495.0,4005.612060546875
5.0,6.0,18.0,94.0,28.0,4432.3310546875
8,4,17,3,445,-1
7,3,19,901,30,-1
1,5,19,381,216,-1
4,1,12,438,495,-1
3,3,12,460,289,-1
1,8,16,642,185,-1
9.0,8.0,12.0,333.0,721.0,4234.83056640625
7.0,9.0,14.0,830.0,670.0,4196.4296875
3.0,6.0,18.0,846.0,505.0,3960.357177734375
6,1,13,797,414,-1
2,5,17,674,374,-1
4,5,18,521,393,-1
5,1,11,703,983,-1
6,4,12,502,982,-1
7,5,18,232,513,-1
9.0,6.0,15.0,270.0,547.0,4066.86767578125
9,1,18,820,886,-1
7,8,15,561,426,-1
1.0,8.0,16.0,200.0,504.0,4030.711669921875
5,4,14,538,623,-1
6,5,11,230,177,-1
6.0,8.0,18.0,797.0,816.0,4174.703125
3,8,17,84,16,-1
1.0,7.0,13.0,110.0,624.0,4195.32177734375
4,1,12,527,168,-1
3,7,15,322,473,-1
1,4,14,188,108,-1
9,5,12,606,817,-1
1,1,12,719,160,-1
7.0,7.0,15.0,221.0,975.0,4126.0400390625
