StartServers,MinSpareServers,MaxSpareServers,MaxRequestWorkers,MaxRequestsPerChild,PERF
2.0,7.0,11.0,33.0,0.0,4612.5302734375
2.0,5.0,11.0,6.0,0.0,-1.0
2.0,7.0,11.0,32.0,0.0,4612.3583984375
2.0,7.0,11.0,29.0,0.0,4611.84375
2.0,7.0,11.0,39.0,0.0,4613.5595703125
2.0,5.0,11.0,13.0,0.0,-1.0
2.0,1.0,11.0,1.0,51.0,-1.0
2.0,7.0,11.0,27.0,14.0,4580.65869140625
2.0,7.0,11.0,28.0,14.0,4580.89111328125
2.0,6.0,11.0,27.0,14.0,4560.423828125
2.0,7.0,12.0,28.0,14.0,4601.978515625
2.0,7.0,12.0,29.0,14.0,4602.181640625
2.0,7.0,12.0,25.0,14.0,4601.369140625
2.0,7.0,12.0,27.0,14.0,4601.775390625
2.0,7.0,12.0,26.0,14.0,4601.572265625
2.0,6.0,11.0,37.0,15.0,4560.6943359375
2.0,6.0,11.0,36.0,15.0,4560.470703125
2.0,6.0,11.0,38.0,15.0,4560.9169921875
2.0,7.0,11.0,37.0,15.0,4580.19921875
2.0,7.0,11.0,35.0,11.0,4588.5830078125
2.0,7.0,11.0,36.0,11.0,4588.7529296875
2.0,7.0,11.0,34.0,11.0,4588.41259765625
2.0,7.0,11.0,33.0,11.0,4588.2431640625
2.0,7.0,11.0,35.0,11.0,4588.5830078125
2.0,7.0,11.0,34.0,11.0,4588.41259765625
2.0,7.0,11.0,32.0,11.0,4588.0732421875
2.0,7.0,11.0,33.0,11.0,4588.2431640625
2.0,7.0,12.0,32.0,11.0,4609.1416015625
2.0,7.0,11.0,33.0,11.0,4588.2431640625
2.0,7.0,11.0,30.0,11.0,4587.7333984375
2.0,7.0,11.0,34.0,11.0,4588.41259765625
2.0,7.0,11.0,32.0,11.0,4588.0732421875
2.0,7.0,11.0,31.0,11.0,4587.9033203125
2.0,7.0,11.0,32.0,11.0,4588.0732421875
2.0,7.0,11.0,33.0,11.0,4588.2431640625
2.0,7.0,11.0,34.0,11.0,4588.41259765625
2.0,7.0,11.0,34.0,11.0,4588.41259765625
2.0,7.0,11.0,33.0,11.0,4588.2431640625
2.0,7.0,12.0,28.0,11.0,4608.3388671875
2.0,7.0,12.0,27.0,11.0,4608.1376953125
2.0,6.0,12.0,28.0,11.0,4586.8916015625
2.0,6.0,12.0,29.0,11.0,4587.0830078125
2.0,7.0,11.0,35.0,11.0,4588.5830078125
2.0,7.0,11.0,33.0,11.0,4588.2431640625
2.0,7.0,11.0,34.0,11.0,4588.41259765625
2.0,6.0,11.0,32.0,11.0,4567.5625
2.0,6.0,11.0,31.0,11.0,4567.36474609375
2.0,7.0,11.0,32.0,11.0,4588.0732421875
2.0,7.0,11.0,32.0,11.0,4588.0732421875
2.0,7.0,11.0,31.0,11.0,4587.9033203125
2.0,8.0,11.0,28.0,11.0,4604.888671875
2.0,7.0,11.0,30.0,11.0,4587.7333984375
2.0,7.0,11.0,30.0,11.0,4587.7333984375
2.0,7.0,11.0,31.0,11.0,4587.9033203125
0.0,7.0,10.0,20.0,1.0,4746.15087890625
0.0,8.0,10.0,20.0,1.0,4768.703125
1.0,7.0,11.0,17.0,5.0,4677.060546875
2.0,7.0,11.0,17.0,9.0,4588.669921875
1.0,8.0,11.0,17.0,2.0,4703.470703125
1.0,7.0,11.0,17.0,7.0,4672.6767578125
1.0,8.0,11.0,17.0,4.0,4698.953125
1.0,7.0,11.0,17.0,8.0,4670.4970703125
1.0,7.0,12.0,17.0,1.0,4709.95703125
1.0,8.0,12.0,16.0,1.0,4727.7822265625
1.0,8.0,12.0,15.0,1.0,4727.58203125
1.0,9.0,11.0,21.0,3.0,4721.98095703125
1.0,9.0,11.0,21.0,4.0,4719.69873046875
1.0,9.0,11.0,22.0,4.0,4719.86572265625
1.0,8.0,11.0,21.0,3.0,4702.0068359375
1.0,9.0,11.0,20.0,4.0,4719.5322265625
1.0,8.0,11.0,18.0,1.0,4705.935546875
1.0,8.0,11.0,17.0,1.0,4705.7353515625
1.0,7.0,11.0,19.0,1.0,4686.392578125
1.0,7.0,11.0,18.0,1.0,4686.201171875
1.0,9.0,11.0,19.0,1.0,4726.21044921875
1.0,8.0,11.0,18.0,1.0,4705.935546875
1.0,9.0,11.0,18.0,1.0,4726.0439453125
1.0,8.0,11.0,15.0,1.0,4705.3349609375
1.0,8.0,11.0,16.0,1.0,4705.53515625
1.0,8.0,12.0,19.0,1.0,4728.390625
1.0,8.0,11.0,19.0,1.0,4706.13525390625
1.0,7.0,13.0,19.0,1.0,4733.0703125
1.0,7.0,11.0,19.0,1.0,4686.392578125
1.0,7.0,11.0,16.0,1.0,4685.818359375
1.0,7.0,12.0,16.0,1.0,4709.724609375
1.0,7.0,11.0,17.0,1.0,4686.009765625
1.0,7.0,11.0,18.0,1.0,4686.201171875
1.0,7.0,11.0,17.0,1.0,4686.009765625
1.0,8.0,11.0,18.0,1.0,4705.935546875
1.0,8.0,12.0,17.0,1.0,4727.9853515625
1.0,7.0,11.0,20.0,0.0,4688.8232421875
1.0,7.0,11.0,19.0,0.0,4688.6318359375
1.0,7.0,11.0,20.0,0.0,4688.8232421875
1.0,7.0,11.0,19.0,0.0,4688.6318359375
1.0,7.0,11.0,18.0,0.0,4688.439453125
1.0,7.0,11.0,19.0,0.0,4688.6318359375
1.0,7.0,11.0,20.0,0.0,4688.8232421875
1.0,7.0,11.0,19.0,0.0,4688.6318359375
1.0,7.0,11.0,21.0,0.0,4689.01513671875
1.0,7.0,11.0,19.0,0.0,4688.6318359375
