StartServers,MinSpareServers,MaxSpareServers,MaxRequestWorkers,MaxRequestsPerChild,PERF
10.0,8.0,17.0,765.0,173.0,4365.2554
5.0,3.0,19.0,517.0,674.0,4270.711
9.0,9.0,15.0,592.0,765.0,4306.059
8.0,6.0,17.0,272.0,772.0,4000.665
3.0,7.0,14.0,89.0,381.0,3841.3296
10.0,8.0,17.0,765.0,173.0,4365.2554
5.0,3.0,19.0,517.0,674.0,4270.711
9.0,9.0,15.0,592.0,765.0,4306.059
8.0,6.0,17.0,272.0,772.0,4000.665
3.0,7.0,14.0,89.0,381.0,3841.3296
9.0,9.0,17.0,766.0,173.0,4354.625
5.0,2.0,18.0,517.0,674.0,4324.054
9.0,9.0,14.0,593.0,765.0,4316.361
7.0,6.0,18.0,272.0,772.0,4057.8916
1.0,7.0,14.0,89.0,33.0,4701.7256
9.0,9.0,17.0,766.0,173.0,4354.625
5.0,2.0,18.0,517.0,674.0,4324.054
9.0,9.0,14.0,593.0,765.0,4316.361
7.0,10.0,18.0,272.0,1000.0,4183.7646
1.0,7.0,14.0,89.0,33.0,4701.7256
9.0,9.0,17.0,766.0,173.0,4354.625
5.0,2.0,18.0,517.0,674.0,4324.054
9.0,9.0,14.0,593.0,765.0,4316.361
7.0,10.0,18.0,1.0,1000.0,4170.622
1.0,7.0,14.0,89.0,33.0,4701.7256
9.0,9.0,17.0,766.0,173.0,4354.625
5.0,2.0,18.0,517.0,674.0,4324.054
9.0,6.0,18.0,593.0,765.0,4362.6694
7.0,10.0,20.0,1.0,1000.0,4146.1494
1.0,7.0,14.0,89.0,33.0,4701.7256
9.0,9.0,19.0,766.0,173.0,4357.74
5.0,2.0,18.0,517.0,674.0,4324.054
9.0,6.0,18.0,593.0,765.0,4362.6694
7.0,10.0,20.0,1.0,1000.0,4146.1494
1.0,7.0,14.0,89.0,33.0,4701.7256
10.0,9.0,19.0,766.0,173.0,4367.572
5.0,2.0,18.0,517.0,674.0,4324.054
9.0,6.0,18.0,593.0,765.0,4362.6694
7.0,10.0,20.0,1.0,1000.0,4146.1494
1.0,7.0,14.0,89.0,33.0,4701.7256
10.0,9.0,19.0,766.0,173.0,4367.572
5.0,2.0,18.0,517.0,674.0,4324.054
9.0,6.0,18.0,593.0,765.0,4362.6694
7.0,10.0,20.0,1.0,1000.0,4146.1494
1.0,7.0,14.0,89.0,33.0,4701.7256
10.0,9.0,19.0,766.0,0.0,4459.7764
5.0,2.0,18.0,517.0,674.0,4324.054
9.0,6.0,18.0,593.0,765.0,4362.6694
7.0,8.0,20.0,371.0,1000.0,4119.3105
1.0,7.0,14.0,89.0,33.0,4701.7256
10.0,9.0,19.0,766.0,0.0,4459.7764
5.0,2.0,20.0,517.0,674.0,4214.336
10.0,6.0,20.0,750.0,765.0,4348.826
7.0,8.0,20.0,371.0,1000.0,4119.3105
1.0,7.0,14.0,89.0,33.0,4701.7256
10.0,9.0,19.0,766.0,0.0,4459.7764
5.0,2.0,20.0,517.0,674.0,4214.336
10.0,6.0,20.0,750.0,765.0,4348.826
7.0,10.0,20.0,371.0,1000.0,4155.2705
1.0,7.0,14.0,89.0,33.0,4701.7256
10.0,9.0,19.0,766.0,0.0,4459.7764
5.0,2.0,20.0,517.0,674.0,4214.336
10.0,6.0,20.0,750.0,765.0,4348.826
7.0,10.0,20.0,1.0,1000.0,4146.1494
1.0,7.0,14.0,89.0,33.0,4701.7256
10.0,9.0,19.0,808.0,0.0,4465.683
5.0,1.0,20.0,517.0,674.0,4191.8457
10.0,5.0,20.0,496.0,765.0,4179.7334
7.0,10.0,20.0,1.0,1000.0,4146.1494
1.0,7.0,14.0,89.0,33.0,4701.7256
10.0,9.0,19.0,490.0,0.0,4434.2227
5.0,1.0,20.0,517.0,674.0,4191.8457
10.0,5.0,20.0,496.0,765.0,4179.7334
7.0,10.0,20.0,1.0,1000.0,4146.1494
1.0,7.0,14.0,89.0,33.0,4701.7256
10.0,9.0,19.0,490.0,0.0,4434.2227
5.0,1.0,20.0,517.0,674.0,4191.8457
10.0,5.0,20.0,552.0,765.0,4258.9053
7.0,10.0,20.0,1.0,1000.0,4146.1494
1.0,7.0,14.0,89.0,33.0,4701.7256
10.0,9.0,19.0,490.0,0.0,4434.2227
4.0,1.0,20.0,517.0,674.0,4093.1606
10.0,5.0,20.0,552.0,1000.0,4220.7803
7.0,10.0,20.0,1.0,1000.0,4146.1494
1.0,7.0,14.0,89.0,33.0,4701.7256
10.0,9.0,19.0,490.0,0.0,4434.2227
4.0,1.0,20.0,517.0,674.0,4093.1606
6.0,5.0,20.0,552.0,1000.0,4280.665
7.0,10.0,19.0,161.0,1000.0,4165.8867
1.0,7.0,14.0,89.0,33.0,4701.7256
10.0,9.0,19.0,490.0,0.0,4434.2227
4.0,1.0,18.0,517.0,625.0,4136.275
6.0,5.0,20.0,552.0,1000.0,4280.665
7.0,10.0,19.0,161.0,1000.0,4165.8867
1.0,7.0,14.0,89.0,33.0,4701.7256
10.0,9.0,19.0,490.0,0.0,4434.2227
4.0,1.0,18.0,517.0,625.0,4136.275
6.0,5.0,20.0,552.0,1000.0,4280.665
10.0,10.0,19.0,161.0,1000.0,3905.4675
1.0,7.0,14.0,89.0,33.0,4701.7256
