StartServers,MinSpareServers,MaxSpareServers,MaxRequestWorkers,MaxRequestsPerChild,PERF
6,7,13,187,109,4318.7
6,8,13,115,96,3450.95
7,6,11,412,97,-1
6,7,13,194,102,4246.22
6,7,14,196,114,4311.22
6,8,13,153,106,4317.47
6,8,14,130,110,4015.46
6,7,12,232,101,4026.59
6,8,13,143,106,-1
6,8,13,163,99,4483.86
5,4,17,96,113,3882.05
5,3,18,116,103,-1
6,2,20,187,57,4336.63
6,3,20,157,76,3920.44
5,3,18,146,114,4361.96
6,3,19,152,90,4313.62
5,3,19,157,103,-1
5,4,17,111,104,-1
5,3,19,159,115,4259.07
5,4,17,98,114,4322.38
5,6,14,14,73,-1
4,5,15,1,51,4298.46
6,6,13,51,88,4316.13
6,6,13,54,90,4380.95
6,6,14,28,80,-1
4,5,15,1,49,4316.97
5,5,14,1,67,-1
5,5,14,1,57,-1
5,6,14,6,72,-1
4,5,14,1,57,4506.35
3,7,16,9,76,4264.01
4,8,14,4,86,-1
2,7,16,1,65,4233.2
3,7,15,1,79,-1
1,4,20,1,0,4244.03
1,7,17,3,55,4253.8
2,7,16,4,70,4385.65
2,7,16,7,68,4309.43
2,7,16,8,72,3839.52
3,7,16,9,75,-1
5,5,16,1,86,4328.11
4,5,16,1,84,4388.94
4,4,17,1,80,4419.14
5,6,15,10,88,4354.92
5,5,17,1,81,-1
5,4,17,1,80,4361.94
4,5,15,1,87,4399.87
4,5,16,1,85,4374.18
6,5,16,2,86,4264.95
7,6,16,24,86,4330.21
1,1,20,1,0,-1
3,1,19,1,0,-1
10,10,11,1000,1000,4537.28
2,1,20,1,0,-1
2,1,20,1,0,4294.34
1,1,20,1,0,-1
10,10,11,1000,707,4352.15
10,10,11,1000,1000,4296.81
1,1,20,1,0,3559.83
10,10,11,1000,1000,3549.39
1,1,16,466,287,-1
4,1,13,101,123,3560.05
10,10,11,1,0,-1
1,1,18,1000,668,4374.38
1,1,14,299,174,3913.39
1,1,16,530,331,4046.05
2,1,14,253,135,3578.63
3,1,14,243,133,3945.28
5,2,13,63,65,-1
8,8,13,25,0,4458.08
7,8,13,18,4,-1
7,8,13,20,0,4396.92
7,8,13,23,0,4376.17
9,7,14,39,0,4319.37
7,8,13,22,0,3895.99
8,8,13,32,0,3965.4
10,10,11,1,0,3903.8
8,10,11,1,0,-1
7,8,11,46,0,4315.01
8,10,11,2,0,-1
7,10,11,18,0,4413.63
9,10,11,1,0,4415.67
8,1,18,1,66,4309.38
1,3,11,591,0,4386.23
5,1,11,286,0,4338.21
7,7,11,441,0,3516.65
4,10,11,171,0,3956.13
6,6,11,134,0,4292.47
1,10,11,1000,0,3605.78
5,1,20,1,69,3909.01
1,10,11,862,12,3930.63
10,6,16,1,31,4063.62
3,9,12,7,22,-1
2,10,14,59,31,4311.93
2,10,13,40,27,4292.35
3,9,13,18,15,4290.91
1,10,15,96,27,3911.64
2,10,13,33,11,-1
2,10,13,42,28,-1
4,9,13,6,28,4268.29
3,9,13,22,20,-1
3,10,13,26,23,4287.36
4,7,11,95,0,4267.66
3,7,11,126,0,-1
3,7,11,136,0,3644.61
3,7,11,144,0,4217.8
5,7,12,74,0,-1
2,6,11,165,0,4329.43
5,7,12,76,0,4324.16
2,7,11,150,0,-1
10,10,20,1000,1000,4050.53
10,10,15,1000,413,4252.06
1,1,11,1,0,4284.71
10,10,15,1000,354,4257.19
10,10,17,1000,622,3938.83
10,10,17,1000,647,-1
1,1,11,1,0,4561.37
1,1,11,1,0,4375.88
10,10,19,1000,851,4510.47
10,10,20,1000,1000,3716.68
1,1,11,78,100,3948.12
1,1,11,80,73,-1
1,1,11,96,0,3952.19
1,1,11,86,57,4392.35
1,3,13,94,68,-1
2,3,13,96,55,4537.13
2,4,14,97,66,3513.26
3,1,12,104,15,3956.64
1,3,13,92,67,-1
1,1,11,95,39,-1
6,8,12,68,59,4226.98
5,7,12,68,60,4284.81
3,5,12,67,61,2648.8
3,5,12,67,60,2145.15
7,10,13,73,62,-1
4,6,12,68,61,3945.61
5,8,13,71,62,-1
7,10,14,75,63,4324.48
6,8,12,69,59,-1
1,1,12,112,81,4404.45
1,1,11,107,84,-1
1,1,11,112,86,3970.05
1,1,13,143,95,-1
3,2,12,86,63,4389.16
1,1,11,93,72,3919.09
1,1,11,95,76,-1
1,1,12,97,72,4388.87
1,1,12,96,71,4405.23
1,1,11,95,70,3924.43
3,6,12,84,70,-1
3,10,11,111,63,3927.05
4,6,12,82,63,-1
2,8,12,103,70,3681.85
1,10,11,201,64,3962.57
3,10,11,112,65,4399.47
2,10,11,129,65,3959.43
4,7,11,90,64,3910.07
2,8,11,102,69,4271.03
3,6,12,84,68,3975.45
3,4,11,82,59,4257.61
4,4,11,80,61,-1
2,4,11,86,55,4325.8
3,4,11,83,57,4362.77
3,4,11,81,58,4599.04
4,4,11,82,58,3549.99
4,5,11,81,58,4276.15
4,5,11,81,58,4374.28
3,4,11,81,59,-1
3,5,11,83,56,4391.41
1,1,12,56,99,4319.54
3,3,11,99,59,3948.22
3,3,11,100,59,4272.95
3,3,11,99,59,3845.36
3,3,11,103,57,4139.88
3,3,11,98,59,3557.47
3,3,11,101,58,3783.6
3,3,11,101,58,-1
3,3,11,100,59,4537.07
3,3,11,100,59,-1
3,3,11,101,58,4333.54
4,5,16,167,59,4307.6
4,3,17,192,57,-1
4,3,17,210,56,-1
5,5,16,149,60,4297.25
4,4,17,183,58,3861.5
4,4,17,188,57,4346.47
4,4,16,170,59,4255.53
5,5,16,160,60,-1
5,5,16,145,61,4278.35
5,6,15,61,57,4269.4
5,6,15,60,57,4091.95
6,5,14,78,61,4285.04
6,5,14,69,59,3799.85
6,5,14,75,60,4020.71
5,5,14,65,58,-1
6,5,14,66,58,3906.92
6,5,14,71,59,4392.67
5,6,15,62,57,1161.07
5,5,14,66,58,3981.28
6,7,11,82,76,-1
6,8,13,74,65,4344.01
6,7,11,86,77,3615.43
6,7,13,77,69,-1
6,7,12,78,72,3966.03
6,7,12,77,70,3913.84
6,7,11,79,73,-1
6,7,13,74,67,4326.46
6,8,14,72,64,4297.94
4,7,19,133,60,4346.6
2,5,18,137,56,4342.14
4,8,20,138,63,4233.63
3,7,19,133,60,3925
4,6,18,125,60,3786.16
3,8,20,176,60,3898.15
4,6,18,131,59,4177.9
4,8,20,131,63,-1
3,8,20,181,59,-1
5,6,17,118,60,4352.81
2,7,11,26,68,-1
2,7,11,27,68,3571.99
3,7,12,34,68,4399.93
3,7,12,36,67,4220.67
3,7,13,48,66,-1
3,7,12,37,67,-1
2,7,11,18,69,4470.48
3,7,13,45,66,4449.13
3,7,13,43,67,3584.12
3,7,13,51,66,-1
4,6,13,58,63,4297.9
5,6,12,49,62,-1
5,6,12,50,62,4244.39
5,6,12,51,62,4329.68
