StartServers,MinSpareServers,MaxSpareServers,MaxRequestWorkers,MaxRequestsPerChild,PERF
8,6,11,974,578,3594
3,5,20,369,752,4016
6,10,17,574,526,4526
9,2,15,520,724,4355
7,10,13,10,128,4085
1,5,16,209,578,4309
2,9,15,587,335,4401
7,10,19,150,961,4479
5,2,14,349,66,3927
4,2,18,484,29,4337
8,8,15,221,145,4352
5,10,15,663,330,4514
8,7,12,494,902,4326
9,1,18,836,577,4322
9,5,14,445,215,4379
4,4,17,349,324,3927
5,1,17,277,871,4342
6,3,15,176,744,4581
6,5,11,835,258,3882
9,5,11,196,34,3892
7,1,11,149,18,4291
1,7,18,362,742,3570
2,8,19,482,425,4272
9,4,14,914,597,4302
10,9,18,591,837,3948
10,7,18,554,352,4376
5,8,15,958,531,4355
1,5,16,979,763,3937
9,5,12,154,178,4364
5,8,12,991,805,4476
3,3,18,71,98,4489
8,5,17,785,143,4403
6,2,20,882,463,4301
3,5,13,753,939,4306
7,9,13,77,95,3827
5,8,11,56,910,4314
6,3,18,177,251,4363
9,10,14,838,893,3953
6,7,19,747,999,3809
2,10,15,746,107,4390
7,6,20,324,563,4476
7,5,19,266,435,4318
10,3,13,165,110,4037
1,4,12,198,363,4169
4,3,14,818,360,4327
7,7,12,358,169,4348
6,10,12,285,373,4304
6,9,14,955,310,4300
8,5,16,54,658,4361
5,8,13,360,613,4285
7,2,15,663,713,4018
7,2,18,612,443,4280
10,4,18,719,600,4229
3,5,11,303,110,3580
7,5,17,183,240,4402
7,9,12,3,384,3971
9,5,17,186,431,3898
10,7,19,307,506,4042
8,7,11,844,443,4555
1,5,20,587,588,3873
8,7,13,620,81,4325
1,8,17,351,744,4361
4,8,13,860,825,4627
9,5,16,987,502,4392
3,6,20,804,460,4260
10,1,17,746,293,4346
3,10,11,990,83,4288
9,10,20,876,876,4504
1,10,14,662,394,4504
7,7,20,866,171,4470
5,7,12,342,389,4267
10,2,14,897,407,4262
3,2,16,572,963,4316
5,1,11,533,73,3889
4,7,19,397,952,4380
6,10,19,546,755,4350
6,2,11,283,444,4303
9,2,20,108,872,3996
3,4,11,677,731,3534
7,3,17,446,15,4252
7,3,20,168,122,4335
6,7,19,670,398,4291
2,1,17,898,435,3535
10,4,11,58,385,4324
6,2,18,971,828,4404
4,3,12,154,977,3913
2,4,12,757,72,3921
10,5,19,608,607,4332
3,10,17,218,64,4305
10,1,11,441,477,4283
8,1,20,607,731,1950
4,5,18,375,978,4379
10,8,15,110,548,4286
2,5,11,379,366,3848
1,7,16,794,61,3981
2,7,16,432,978,4324
3,4,13,341,173,3723
3,8,12,235,736,4306
5,8,16,216,439,4374
6,2,15,358,748,4358
7,4,17,317,580,4345
5,10,19,845,101,4411
4,9,15,673,391,3617
2,5,15,914,396,4413
5,1,14,430,74,4360
7,5,19,139,224,4343
4,4,14,509,85,3901
8,9,13,659,978,4165
4,5,20,442,0,3957
8,10,17,421,85,4276
1,3,18,750,384,4287
3,4,13,847,563,3905
9,10,14,558,554,4451
5,5,19,191,477,1934
2,3,19,437,952,3277
7,8,13,12,206,4364
7,2,15,683,476,3888
9,6,12,981,734,4107
7,10,13,962,343,3881
5,7,12,488,157,3645
3,7,20,648,352,3839
6,1,14,955,977,4277
1,8,11,764,922,4313
6,5,16,243,552,4394
6,9,12,30,159,3897
4,3,11,553,173,4405
9,4,17,550,15,4324
7,10,15,287,375,3869
10,7,16,494,758,4268
2,3,15,455,249,4372
2,1,20,852,829,4057
2,1,13,919,428,4318
7,8,17,986,720,4305
5,9,16,194,562,4362
4,7,18,222,979,4306
8,8,17,770,765,4407
2,3,16,184,96,4604
9,6,18,237,806,4382
8,1,14,635,696,4592
6,3,20,800,47,3699
4,10,12,854,381,4429
4,10,15,761,345,3957
8,5,11,900,808,4319
6,3,16,295,373,4275
8,8,12,322,795,3952
5,9,18,604,656,4474
6,5,15,858,862,3838
2,10,18,610,962,3953
7,1,13,897,292,4227
10,6,20,946,565,4227
10,7,18,321,480,4423
8,8,14,831,797,4031
8,5,15,270,183,4482
4,10,19,642,337,3958
10,3,17,693,16,3992
6,2,12,995,65,4262
10,6,17,468,559,4470
4,5,14,737,519,4251
8,2,13,718,5,4450
3,5,14,250,894,4247
6,7,15,664,886,3938
4,1,17,650,437,4298
3,10,14,853,50,4345
8,10,18,360,127,3902
4,3,19,45,561,4560
7,1,12,866,587,4349
6,7,16,202,569,3949
7,10,18,156,87,4341
1,9,14,443,599,3921
4,3,13,545,440,4384
4,6,16,801,91,4097
8,3,12,335,985,3945
2,8,14,461,90,3864
5,1,18,973,160,3850
5,4,19,222,537,4450
10,7,12,891,828,4557
5,3,17,602,245,4292
9,8,18,193,334,4333
4,6,17,556,941,4337
10,1,11,422,794,4344
1,9,16,845,222,3668
1,2,20,309,511,4437
1,3,19,324,370,3892
7,8,14,334,919,3259
5,10,16,328,327,4054
8,10,15,825,369,4266
4,2,13,405,643,4286
4,6,19,271,187,3883
3,1,18,813,916,3681
4,3,18,392,261,3751
8,2,17,79,535,4416
3,2,16,91,931,4324
8,9,11,261,416,2533
2,10,13,956,628,4057
10,6,13,491,8,4284
9,8,18,914,884,4444
3,4,13,260,580,4482
5,5,19,970,395,4558
3,4,18,395,175,4013
9,3,13,722,478,4253
3,7,15,273,726,3980
7,10,16,822,820,4294
3,10,18,708,272,4346
8,7,15,509,854,4292
5,5,11,955,293,3738
7,6,18,934,729,4303
9,7,20,436,88,4273
10,7,15,243,773,4332
5,3,11,493,202,4270
10,10,14,17,301,3908
8,8,12,219,82,3618
9,10,20,621,442,4267
7,8,16,860,160,3936
9,4,13,442,663,3958
1,10,19,314,636,3913
9,9,16,332,828,4395
4,7,14,700,773,4484
7,6,20,733,736,4329
3,7,14,95,605,4262
4,4,17,897,288,4286
9,7,20,600,975,4032
1,1,14,127,408,3992
3,1,18,67,690,3927
2,3,15,843,11,4201
7,2,12,274,56,4569
1,6,14,853,351,4290
3,3,17,651,642,4403
2,10,18,788,58,3590
7,10,14,56,108,3987
3,5,20,426,213,4079
2,6,17,174,685,3640
8,2,17,785,511,4398
9,4,13,551,673,4183
6,5,17,838,405,4294
7,3,17,115,738,3965
1,5,18,39,227,3839
3,4,13,103,695,4413
10,1,15,241,891,4332
7,3,14,323,320,3654
7,8,19,367,267,4461
5,1,20,586,752,4287
8,8,16,817,856,4362
7,6,16,898,610,4320
8,5,17,505,809,4303
9,6,13,481,759,4231
3,9,20,182,661,3896
4,8,17,236,619,3789
3,8,18,485,123,4284
4,4,18,881,161,4320
1,8,12,564,628,4235
6,1,15,794,87,4278
1,8,16,988,900,4547
2,1,14,752,645,4280
3,9,19,158,75,4274
3,8,14,965,870,4288
1,3,12,139,508,4542
9,7,15,706,619,3599
4,7,12,380,954,3925
6,6,15,558,545,4292
5,9,15,477,274,4309
4,10,17,826,947,4442
1,2,14,400,229,4421
8,9,17,417,699,4290
6,1,17,121,796,4598
7,9,17,6,965,4539
6,7,12,792,506,4528
10,3,13,846,783,4363
10,8,19,562,392,3538
2,9,14,539,411,3925
9,5,11,141,691,4283
3,7,15,529,271,4296
1,4,16,272,603,4371
7,3,14,702,720,3917
7,2,15,845,341,3874
1,7,19,617,488,4520
4,1,19,180,465,4286
9,10,17,476,729,4326
2,9,20,223,448,4366
5,8,14,844,677,4274
10,7,17,642,735,4414
6,8,19,599,623,4300
10,7,18,32,512,3915
8,3,13,23,549,4358
6,8,13,489,548,4348
9,5,17,843,301,4372
3,5,19,932,382,4359
4,4,20,924,82,4367
1,9,17,958,871,4335
3,3,13,958,814,4320
6,8,20,310,221,4359
6,3,20,58,36,4368
10,4,18,548,778,4316
10,3,13,187,825,4342
3,10,19,463,591,4353
9,1,18,794,805,4334
10,2,19,411,806,4285
7,5,13,533,385,4305
5,2,18,501,113,4246
7,1,14,622,463,3903
8,7,15,842,195,4433
