write_request_timeout_in_ms,read_request_timeout_in_ms,commitlog_total_space_in_mb,key_cache_size_in_mb,commitlog_segment_size_in_mb,dynamic_snitch_badness_threshold,index_summary_capacity_in_mb,key_cache_save_period,file_cache_size_in_mb,thrift_framed_transport_size_in_mb,memtable_heap_space_in_mb,concurrent_writes,index_summary_resize_interval_in_minutes,commitlog_sync_period_in_ms,range_request_timeout_in_ms,rpc_min_threads,batch_size_warn_threshold_in_kb,concurrent_reads,column_index_size_in_kb,dynamic_snitch_update_interval_in_ms,memtable_flush_writers,request_timeout_in_ms,cas_contention_timeout_in_ms,permissions_validity_in_ms,rpc_max_threads,truncate_request_timeout_in_ms,stream_throughput_outbound_megabits_per_sec,memtable_offheap_space_in_mb,PERF
54875.0,89535.0,14436.0,12356.0,1438.0,0.2120766611563103,3313.0,14248.0,1443.0,19.0,10734.0,1376.0,52.0,186407.0,152474.0,856.0,90046.0,1241.0,56197.0,15499.0,24.0,13495.0,10485.0,21183.0,3417.0,4083.0,5143.0,2830.0,-1.0
7681.0,65968.0,1020.0,9597.0,395.0,0.8623425598740139,446.0,7666.0,11911.0,10.0,4147.0,1468.0,47.0,204586.0,118037.0,15.0,53559.0,1123.0,24207.0,1085.0,17.0,11154.0,15430.0,5944.0,2990.0,36654.0,5781.0,7246.0,-1.0
221139.0,173113.0,7703.0,8350.0,923.0,0.04708125327607193,6410.0,13164.0,4600.0,23.0,4138.0,3545.0,52.0,210191.0,161718.0,114.0,84245.0,1721.0,39202.0,7528.0,25.0,7528.0,10939.0,24713.0,2560.0,23496.0,6421.0,7055.0,-1.0
60400.0,185117.0,2170.0,12692.0,643.0,0.9390574119649934,11539.0,9621.0,14152.0,9.0,12917.0,1771.0,27.0,72486.0,232491.0,295.0,57943.0,671.0,7323.0,13048.0,9.0,2717.0,23747.0,20078.0,2776.0,241468.0,275.0,11349.0,1287.02099609375
2160.0,165802.0,11064.0,8256.0,931.0,0.353930556360017,840.0,4303.0,11570.0,15.0,1756.0,1551.0,34.0,153932.0,127109.0,962.0,42851.0,440.0,46850.0,20531.0,18.0,20052.0,10229.0,21361.0,1725.0,164584.0,2884.0,8653.0,-1.0
61534.0,112883.0,2277.0,3771.0,221.0,0.21988913202481764,7783.0,13795.0,1584.0,16.0,6289.0,372.0,23.0,213594.0,220571.0,137.0,7045.0,931.0,5476.0,20310.0,8.0,20467.0,11488.0,1805.0,3339.0,178050.0,4000.0,12349.0,1268.3167724609375
41116.0,138637.0,7065.0,862.0,961.0,0.6699760235681862,13644.0,1114.0,1465.0,15.0,7916.0,3624.0,29.0,96139.0,110259.0,595.0,3231.0,1598.0,50078.0,8704.0,11.0,7163.0,24804.0,7168.0,1701.0,83373.0,1160.0,3590.0,-1.0
45031.0,36402.0,8915.0,6712.0,581.0,0.3534773388006701,10180.0,2475.0,13809.0,25.0,3980.0,3061.0,33.0,194029.0,202654.0,312.0,21068.0,821.0,57494.0,12205.0,19.0,1013.0,2920.0,9281.0,3193.0,206144.0,6459.0,12453.0,-1.0
239595.0,20995.0,10053.0,14250.0,1291.0,0.1382064293293671,312.0,11519.0,4997.0,12.0,6481.0,2287.0,2.0,10914.0,11834.0,496.0,90574.0,590.0,37247.0,12632.0,26.0,12681.0,2704.0,22325.0,2343.0,212821.0,3854.0,12088.0,-1.0
23982.0,107170.0,13598.0,1556.0,1793.0,0.3641047454135795,10253.0,8438.0,1382.0,10.0,5549.0,3563.0,50.0,70115.0,19954.0,379.0,84166.0,687.0,13061.0,22730.0,7.0,4273.0,22360.0,14849.0,1747.0,167805.0,3663.0,1408.0,-1.0
78910.0,10038.0,5700.0,413.0,1054.0,0.6318429629163246,14652.0,2280.0,3179.0,15.0,3996.0,1215.0,14.0,48506.0,134363.0,764.0,12862.0,588.0,49052.0,15550.0,11.0,10840.0,23479.0,24813.0,2983.0,58160.0,6876.0,5963.0,-1.0
104874.0,244980.0,11773.0,12730.0,1633.0,0.1804459370083613,852.0,8513.0,1292.0,16.0,800.0,901.0,40.0,185629.0,4703.0,289.0,18420.0,146.0,21449.0,4875.0,27.0,22720.0,973.0,6524.0,2877.0,110110.0,3065.0,2728.0,-1.0
28637.0,130228.0,14604.0,14247.0,1252.0,0.7049854930927476,13330.0,201.0,549.0,24.0,10097.0,1628.0,19.0,209231.0,85496.0,284.0,94379.0,828.0,16587.0,7039.0,25.0,3791.0,23466.0,11493.0,2073.0,80031.0,671.0,8536.0,-1.0
171719.0,17885.0,5794.0,11288.0,990.0,0.2949219616283326,9633.0,3052.0,7309.0,23.0,10322.0,3337.0,4.0,8066.0,185519.0,489.0,53939.0,1904.0,1343.0,2476.0,12.0,20699.0,1045.0,12572.0,1189.0,140189.0,3774.0,14509.0,1266.19580078125
201998.0,138528.0,931.0,9973.0,1539.0,0.022331297600993616,4561.0,9316.0,14612.0,14.0,14498.0,694.0,32.0,4017.0,233941.0,602.0,12767.0,1788.0,5497.0,22190.0,15.0,12254.0,21724.0,15075.0,2905.0,50841.0,3444.0,1657.0,-1.0
220429.0,70571.0,5455.0,14077.0,1096.0,0.3992677944100681,5956.0,14334.0,10090.0,4.0,1803.0,3608.0,57.0,214590.0,187323.0,646.0,31740.0,1378.0,37838.0,15743.0,25.0,20814.0,8503.0,8574.0,1724.0,52298.0,2540.0,707.0,-1.0
61337.0,156374.0,8518.0,1102.0,738.0,0.4760772456730399,1309.0,11315.0,483.0,6.0,13980.0,3663.0,44.0,6743.0,119592.0,271.0,63562.0,1437.0,48045.0,18132.0,2.0,23118.0,6935.0,10028.0,1431.0,44939.0,5663.0,9994.0,-1.0
97928.0,146783.0,4133.0,14313.0,1362.0,0.6604976253305952,10802.0,9881.0,5777.0,5.0,1315.0,3593.0,37.0,213636.0,114993.0,878.0,60481.0,1917.0,6472.0,24412.0,8.0,3589.0,9235.0,12463.0,2885.0,91291.0,1485.0,2931.0,-1.0
243044.0,10782.0,10318.0,10100.0,1784.0,0.34041793216951055,10206.0,7082.0,9438.0,7.0,12919.0,1763.0,52.0,50320.0,70915.0,520.0,68592.0,596.0,47314.0,13119.0,17.0,17492.0,7350.0,6227.0,3471.0,113787.0,7530.0,5329.0,-1.0
49351.0,58547.0,673.0,7743.0,1445.0,0.11162618913432298,7498.0,6212.0,6443.0,8.0,790.0,2813.0,57.0,54143.0,122786.0,581.0,55141.0,1417.0,39895.0,13000.0,8.0,20320.0,7168.0,24027.0,3403.0,203004.0,918.0,6066.0,-1.0
116214.0,33783.0,8625.0,7129.0,76.0,0.73894799244494,8879.0,6736.0,11834.0,3.0,8926.0,3263.0,29.0,85290.0,137158.0,918.0,76244.0,1882.0,16508.0,7295.0,12.0,5057.0,6612.0,17323.0,3698.0,11413.0,2124.0,11936.0,-1.0
85814.0,237411.0,14802.0,166.0,1518.0,0.47491577521791795,4566.0,12818.0,11178.0,8.0,6396.0,817.0,27.0,109532.0,134571.0,383.0,29667.0,993.0,5742.0,13613.0,8.0,9641.0,13858.0,2137.0,2459.0,234810.0,2888.0,7896.0,-1.0
198812.0,8295.0,14367.0,3507.0,1711.0,0.16236072629044462,6829.0,5350.0,14470.0,2.0,10545.0,502.0,35.0,63442.0,136355.0,145.0,20793.0,176.0,16790.0,3631.0,19.0,3909.0,9786.0,6975.0,3542.0,104208.0,4858.0,2783.0,-1.0
236100.0,47008.0,12966.0,9115.0,1430.0,0.19923230441749196,10408.0,2348.0,9826.0,13.0,8467.0,1967.0,6.0,196630.0,179213.0,500.0,99920.0,1170.0,57267.0,3120.0,24.0,22073.0,11166.0,18774.0,3702.0,30505.0,3216.0,14786.0,-1.0
131071.0,96020.0,9879.0,3280.0,1967.0,0.20519292608528006,10938.0,6636.0,5418.0,22.0,5393.0,3351.0,36.0,187881.0,133423.0,396.0,87965.0,1949.0,33073.0,21295.0,22.0,1465.0,13929.0,18856.0,3732.0,45796.0,3864.0,2417.0,-1.0
