write_request_timeout_in_ms,read_request_timeout_in_ms,commitlog_total_space_in_mb,key_cache_size_in_mb,commitlog_segment_size_in_mb,dynamic_snitch_badness_threshold,index_summary_capacity_in_mb,key_cache_save_period,file_cache_size_in_mb,thrift_framed_transport_size_in_mb,memtable_heap_space_in_mb,concurrent_writes,index_summary_resize_interval_in_minutes,commitlog_sync_period_in_ms,range_request_timeout_in_ms,rpc_min_threads,batch_size_warn_threshold_in_kb,concurrent_reads,column_index_size_in_kb,dynamic_snitch_update_interval_in_ms,memtable_flush_writers,request_timeout_in_ms,cas_contention_timeout_in_ms,permissions_validity_in_ms,rpc_max_threads,truncate_request_timeout_in_ms,stream_throughput_outbound_megabits_per_sec,memtable_offheap_space_in_mb,PERF
20,69347,4978,100,30,1,15000,10,250,28,80,2128,2,250000,74900,1000,5,31,64,25000,2,1000,25000,25000,3800,60344,100,15000,1258.81168177
25468,34445,200,1080,143,0.5234832695261923,100,3809,4402,13,937,180,48,2200,19698,201,8892,401,9243,128,10,4826,1028,2108,1048,13869,737,200,1213.29774327
20,20,15000,610,30,1,15000,10,250,28,80,2614,2,250000,2000,1000,5,2000,64,25000,10,1000,25000,25000,3800,2000,100,15000,1244.86493215
33074,27288,573,1149,144,0.2596456783156754,100,5841,5365,12,1015,151,60,2200,16706,10,10163,872,12239,259,21,6058,900,1600,1048,11490,805,200,1262.1481762
28779,29278,983,1143,150,0.4015459542810285,100,5071,5174,14,973,159,60,2200,17001,10,9698,611,12680,1112,19,6010,900,1748,1048,12920,824,200,1271.94098194
20,25331,200,5117,209,0,100,10,250,28,80,198,53,10436,133128,543,3210,31,64,2010,22,1000,900,1600,1299,2000,518,200,1247.97204543
3555,21317,200,3235,239,0.1241129068869663,100,10,250,26,80,184,55,11251,90147,324,3727,31,1165,2028,22,1000,900,1600,1124,2000,542,200,1234.2631449
100884,24049,6918,100,1000,1,15000,14400,11897,2,15000,20,60,43583,2000,10,24737,2000,31260,1569,28,25000,25000,25000,1048,250000,1060,9990,1271.61749746
20,7456,200,5728,109,0.0816155469826837,100,10,250,24,80,235,27,11391,128337,584,2512,31,3989,1993,12,1000,900,1600,1300,2000,507,200,1235.48307388
5150,6971,501,2657,180,0.39681984204975823,100,10,362,16,204,210,34,13951,57864,235,3824,534,6616,1932,14,1000,900,1600,1075,2000,549,200,1243.31717021
57527,157461,5812,4473,597,1,100,10,15000,23,623,20,28,204520,52057,10,5,31,64,100,2,1000,900,5082,3800,2000,3799,5701,1249.68757811
4144,20,1680,539,43,0.40266856342209995,2147,2698,250,20,670,3788,37,2200,10954,783,11164,827,6670,13879,20,2696,1534,2508,1048,27549,278,978,1151.14538966
2410,20,200,100,30,0,4094,8433,250,28,783,3800,25,2200,2000,1000,18428,2000,10895,25000,28,12398,5544,1600,1048,82488,100,200,1248.59533025
14093,20,200,197,30,0,2770,7279,250,28,765,3800,19,2200,8027,1000,9368,2000,4150,25000,26,9838,5216,1600,1048,53216,311,200,1276.48710748
17850,20,200,100,30,0,5237,7141,250,27,806,3800,2,2200,11770,1000,27015,2000,64,25000,2,9424,4531,2544,1048,71831,100,200,1261.67045168
20,20,4195,1433,49,0.6089951844749766,2134,1197,4701,23,624,168,58,10905,18245,35,9222,85,13092,1124,28,2247,1730,2327,1048,2000,626,200,1243.47177319
20,20,3657,1348,60,0.561482534416152,1816,1374,4410,21,605,183,58,19872,18636,10,8508,51,10844,407,28,2189,2011,2402,1048,2000,643,200,1272.91242363
20,20,2399,1229,74,0.6907533639613509,1327,1041,2848,19,645,183,45,11757,16202,150,7802,68,9685,844,26,1989,1561,2670,1048,2000,571,200,1277.62872109
20,153,2892,1263,70,0.6009441964152531,1483,1305,3602,20,615,189,52,19804,17728,14,7934,41,9393,302,28,2068,1942,2545,1048,2000,618,200,1276.32418634
20,20,1970,1182,79,0.7452872898076641,1092,796,2087,19,670,179,39,6008,15009,275,7743,84,9382,1129,21,1966,1316,2792,1048,4787,528,200,1265.02213789
