write_request_timeout_in_ms,read_request_timeout_in_ms,commitlog_total_space_in_mb,key_cache_size_in_mb,commitlog_segment_size_in_mb,dynamic_snitch_badness_threshold,index_summary_capacity_in_mb,key_cache_save_period,file_cache_size_in_mb,thrift_framed_transport_size_in_mb,memtable_heap_space_in_mb,concurrent_writes,index_summary_resize_interval_in_minutes,commitlog_sync_period_in_ms,range_request_timeout_in_ms,rpc_min_threads,batch_size_warn_threshold_in_kb,concurrent_reads,column_index_size_in_kb,dynamic_snitch_update_interval_in_ms,memtable_flush_writers,request_timeout_in_ms,cas_contention_timeout_in_ms,permissions_validity_in_ms,rpc_max_threads,truncate_request_timeout_in_ms,stream_throughput_outbound_megabits_per_sec,memtable_offheap_space_in_mb,PERF
144853.0,75935.0,3961.0,6668.0,1663.0,0.5233839545487434,8881.0,241.0,8608.0,26.0,5073.0,3575.0,56.0,146411.0,35434.0,454.0,30422.0,1404.0,16276.0,3494.0,21.0,11204.0,9636.0,3467.0,2446.0,116939.0,5549.0,10279.0,1266.1627
194018.0,24731.0,14866.0,7515.0,1184.0,0.9497300582330228,13905.0,7817.0,7756.0,23.0,2847.0,169.0,41.0,130901.0,78613.0,385.0,22326.0,1983.0,23382.0,13997.0,10.0,11273.0,24664.0,8320.0,2545.0,193812.0,2303.0,9942.0,1293.0541
200719.0,49957.0,2420.0,5357.0,1401.0,0.4024062303598509,1446.0,1406.0,4288.0,21.0,8043.0,3236.0,42.0,27735.0,61319.0,711.0,21568.0,1632.0,29417.0,11945.0,8.0,17584.0,22486.0,14547.0,3766.0,216041.0,7063.0,838.0,1245.7949
240715.0,228925.0,8469.0,5839.0,677.0,0.4522784188335742,2280.0,7449.0,9235.0,16.0,10398.0,1890.0,38.0,199297.0,246847.0,951.0,10714.0,591.0,8630.0,1381.0,25.0,5858.0,3616.0,24629.0,1086.0,130622.0,7160.0,13501.0,1230.1097
90393.0,215940.0,776.0,8633.0,851.0,0.13655287813819572,970.0,14274.0,14676.0,15.0,14321.0,360.0,43.0,83287.0,58407.0,765.0,48937.0,1832.0,15491.0,24910.0,27.0,9651.0,5051.0,2114.0,3270.0,125676.0,6063.0,9507.0,1250.5143
102379.0,201624.0,12631.0,1613.0,1122.0,0.9391066505723404,4459.0,4868.0,14509.0,13.0,6065.0,3408.0,47.0,160952.0,156913.0,696.0,98571.0,1433.0,43956.0,4936.0,24.0,16806.0,3227.0,10744.0,1801.0,124075.0,6104.0,11928.0,1211.6124
133616.0,40459.0,8262.0,5959.0,1471.0,0.0015251839012152546,10889.0,10677.0,5558.0,6.0,8742.0,1457.0,7.0,203740.0,112480.0,170.0,16504.0,505.0,48285.0,21727.0,28.0,22638.0,22108.0,5010.0,2871.0,30295.0,140.0,8603.0,1280.28
13959.0,90135.0,6936.0,3165.0,1495.0,0.6024999770323225,745.0,6887.0,3662.0,10.0,4260.0,3080.0,7.0,248404.0,103875.0,961.0,6417.0,1411.0,9078.0,3325.0,18.0,11580.0,8694.0,22231.0,2864.0,144857.0,407.0,6874.0,1270.2383
41402.0,145027.0,1760.0,10779.0,1119.0,0.3905575568993065,7391.0,7952.0,12105.0,7.0,768.0,1167.0,7.0,190928.0,72716.0,699.0,62010.0,675.0,24892.0,19312.0,20.0,8663.0,4513.0,17712.0,2683.0,70604.0,2822.0,358.0,1276.0372
223186.0,28273.0,11156.0,14165.0,775.0,0.07103014547149022,2471.0,4687.0,13992.0,17.0,3721.0,3459.0,41.0,199620.0,3854.0,128.0,18824.0,1982.0,9319.0,755.0,16.0,23426.0,9607.0,5250.0,3625.0,116471.0,1730.0,11877.0,1207.7643
144853.0,75935.0,3961.0,6668.0,1663.0,0.5233839545487434,8881.0,241.0,8608.0,26.0,5073.0,3575.0,56.0,146411.0,35434.0,454.0,30422.0,1404.0,16276.0,3494.0,21.0,11204.0,9636.0,3467.0,2446.0,116939.0,5549.0,10279.0,1266.1627
194018.0,24731.0,14866.0,7515.0,1184.0,0.9497300582330228,13905.0,7817.0,7756.0,23.0,2847.0,169.0,41.0,130901.0,78613.0,385.0,22326.0,1983.0,23382.0,13997.0,10.0,11273.0,24664.0,8320.0,2545.0,193812.0,2303.0,9942.0,1293.0541
200719.0,49957.0,2420.0,5357.0,1401.0,0.4024062303598509,1446.0,1406.0,4288.0,21.0,8043.0,3236.0,42.0,27735.0,61319.0,711.0,21568.0,1632.0,29417.0,11945.0,8.0,17584.0,22486.0,14547.0,3766.0,216041.0,7063.0,838.0,1245.7949
240715.0,228925.0,8469.0,5839.0,677.0,0.4522784188335742,2280.0,7449.0,9235.0,16.0,10398.0,1890.0,38.0,199297.0,246847.0,951.0,10714.0,591.0,8630.0,1381.0,25.0,5858.0,3616.0,24629.0,1086.0,130622.0,7160.0,13501.0,1230.1097
90393.0,215940.0,776.0,8633.0,851.0,0.13655287813819572,970.0,14274.0,14676.0,15.0,14321.0,360.0,43.0,83287.0,58407.0,765.0,48937.0,1832.0,15491.0,24910.0,27.0,9651.0,5051.0,2114.0,3270.0,125676.0,6063.0,9507.0,1250.5143
102379.0,201624.0,12631.0,1613.0,1122.0,0.9391066505723404,4459.0,4868.0,14509.0,13.0,6065.0,3408.0,47.0,160952.0,156913.0,696.0,98571.0,1433.0,43956.0,4936.0,24.0,16806.0,3227.0,10744.0,1801.0,124075.0,6104.0,11928.0,1211.6124
133616.0,40459.0,8262.0,5959.0,1471.0,0.0015251839012152546,10889.0,10677.0,5558.0,6.0,8742.0,1457.0,7.0,203740.0,112480.0,170.0,16504.0,505.0,48285.0,21727.0,28.0,22638.0,22108.0,5010.0,2871.0,30295.0,140.0,8603.0,1280.28
13959.0,90135.0,6936.0,3165.0,1495.0,0.6024999770323225,745.0,6887.0,3662.0,10.0,4260.0,3080.0,7.0,248404.0,103875.0,961.0,6417.0,1411.0,9078.0,3325.0,18.0,11580.0,8694.0,22231.0,2864.0,144857.0,407.0,6874.0,1270.2383
