write_request_timeout_in_ms,read_request_timeout_in_ms,commitlog_total_space_in_mb,key_cache_size_in_mb,commitlog_segment_size_in_mb,dynamic_snitch_badness_threshold,index_summary_capacity_in_mb,key_cache_save_period,file_cache_size_in_mb,thrift_framed_transport_size_in_mb,memtable_heap_space_in_mb,concurrent_writes,index_summary_resize_interval_in_minutes,commitlog_sync_period_in_ms,range_request_timeout_in_ms,rpc_min_threads,batch_size_warn_threshold_in_kb,concurrent_reads,column_index_size_in_kb,dynamic_snitch_update_interval_in_ms,memtable_flush_writers,request_timeout_in_ms,cas_contention_timeout_in_ms,permissions_validity_in_ms,rpc_max_threads,truncate_request_timeout_in_ms,stream_throughput_outbound_megabits_per_sec,memtable_offheap_space_in_mb,PERF
161671.0,241554.0,4453.0,13389.0,511.0,0.4076642515971738,8595.0,12192.0,487.0,19.0,7830.0,338.0,44.0,126544.0,186587.0,854.0,91601.0,457.0,38761.0,6671.0,6.0,19131.0,10118.0,18815.0,2520.0,143983.0,6119.0,14152.0,1258.01987671
198719.0,232858.0,9368.0,12084.0,515.0,0.3326384512954339,2774.0,2487.0,8211.0,23.0,4351.0,1969.0,60.0,185039.0,225468.0,718.0,69804.0,651.0,12186.0,2720.0,17.0,23351.0,13622.0,20479.0,3583.0,153460.0,123.0,985.0,1281.22998078
150132.0,118181.0,11838.0,12374.0,818.0,0.9381915230695799,6623.0,13537.0,313.0,23.0,1805.0,2927.0,4.0,222841.0,189860.0,764.0,6759.0,1956.0,59744.0,12928.0,2.0,21021.0,23648.0,3525.0,2422.0,233582.0,4159.0,11921.0,1279.91808524
138563.0,160116.0,13246.0,4273.0,1513.0,0.523469469295391,11408.0,1248.0,10484.0,9.0,10391.0,1328.0,11.0,24568.0,156788.0,13.0,8921.0,1034.0,3011.0,11427.0,28.0,6590.0,24908.0,21946.0,2921.0,47116.0,1161.0,2827.0,1265.82278481
34608.0,72911.0,3904.0,8503.0,346.0,0.1212742133652921,802.0,12611.0,4005.0,5.0,13089.0,1592.0,47.0,11290.0,40317.0,495.0,45793.0,1271.0,43062.0,9225.0,11.0,23179.0,7342.0,21643.0,2919.0,225959.0,2039.0,13620.0,1250.62531266
61046.0,61063.0,3796.0,14176.0,82.0,0.37120039238383873,2494.0,2737.0,10461.0,23.0,13199.0,771.0,31.0,243576.0,74536.0,94.0,2626.0,644.0,42062.0,22110.0,27.0,17900.0,13617.0,5658.0,3539.0,98444.0,5086.0,432.0,1278.28198901
218998.0,72378.0,13109.0,3829.0,1287.0,0.021374531545082176,4399.0,5466.0,12886.0,8.0,3539.0,2124.0,41.0,23869.0,123581.0,594.0,94491.0,1768.0,48773.0,6419.0,15.0,20313.0,12872.0,13793.0,3015.0,141443.0,4770.0,10592.0,1244.70998257
157888.0,125880.0,6449.0,1060.0,791.0,0.9583842030102044,1535.0,4842.0,718.0,27.0,8153.0,2126.0,56.0,76671.0,179301.0,162.0,550.0,609.0,34691.0,20249.0,24.0,21574.0,24605.0,11304.0,3415.0,93801.0,6034.0,4819.0,1256.12360256
132137.0,193095.0,14354.0,13709.0,1582.0,0.33743097511364395,9060.0,10489.0,7839.0,5.0,11643.0,3590.0,18.0,169085.0,247146.0,550.0,71956.0,949.0,28133.0,14773.0,2.0,16594.0,18465.0,22058.0,1262.0,177145.0,4973.0,14202.0,1287.16694555
99472.0,83650.0,10892.0,4831.0,722.0,0.6970126384644031,14229.0,13924.0,13767.0,26.0,14201.0,1120.0,57.0,148696.0,25321.0,950.0,94393.0,1462.0,10127.0,8502.0,18.0,6734.0,21025.0,15848.0,2033.0,217024.0,2096.0,6607.0,1227.44568553
85951.0,165415.0,823.0,4427.0,869.0,0.6173646818413899,11255.0,1645.0,12781.0,8.0,1861.0,2339.0,39.0,194119.0,228903.0,401.0,49818.0,1979.0,17717.0,7258.0,12.0,15358.0,12784.0,23452.0,1151.0,162265.0,6413.0,2480.0,1263.10471138
142263.0,57775.0,14237.0,4265.0,63.0,0.7587318943150827,7104.0,13197.0,13526.0,4.0,5226.0,1248.0,46.0,249401.0,38366.0,541.0,17500.0,1825.0,28308.0,2298.0,17.0,13975.0,21139.0,24030.0,1815.0,157509.0,3811.0,1211.0,1292.82482224
58894.0,95467.0,2249.0,121.0,1253.0,0.7073404391827769,6125.0,8548.0,12852.0,20.0,11520.0,1721.0,58.0,100717.0,32604.0,155.0,67995.0,1733.0,31288.0,9977.0,16.0,14804.0,22451.0,9779.0,2249.0,64805.0,5128.0,6112.0,1268.06999746
236358.0,227028.0,1699.0,12237.0,582.0,0.5897495557521201,11913.0,8449.0,3162.0,25.0,6090.0,332.0,10.0,188145.0,183760.0,645.0,34918.0,1565.0,18090.0,11185.0,13.0,5050.0,6709.0,14534.0,2109.0,93611.0,2706.0,2447.0,1299.54515919
42083.0,3623.0,4048.0,4606.0,1807.0,0.755285830977379,8177.0,9115.0,6285.0,12.0,4327.0,1639.0,19.0,41664.0,242315.0,832.0,97209.0,1984.0,41463.0,20601.0,25.0,3951.0,10747.0,19902.0,2264.0,152313.0,3845.0,3280.0,1262.78570527
82834.0,205571.0,10725.0,4072.0,1476.0,0.6613954256045178,895.0,9858.0,9908.0,13.0,7096.0,1270.0,18.0,104758.0,155359.0,785.0,3274.0,1777.0,34114.0,23066.0,18.0,24663.0,24815.0,16650.0,1919.0,68599.0,1371.0,12916.0,1226.84333211
64197.0,117070.0,8489.0,8334.0,446.0,0.8934228495129481,4542.0,8397.0,3425.0,7.0,1809.0,3780.0,58.0,148351.0,77386.0,434.0,96261.0,1157.0,7469.0,5076.0,25.0,24912.0,23755.0,6487.0,3111.0,177764.0,1504.0,5424.0,1271.45581691
109427.0,101148.0,9352.0,6112.0,626.0,0.6579293063527196,13146.0,8299.0,1175.0,28.0,2269.0,2522.0,56.0,59784.0,121609.0,815.0,23115.0,1339.0,23936.0,20360.0,26.0,9610.0,23275.0,14405.0,2504.0,173993.0,4220.0,12139.0,1274.04764938
223357.0,6925.0,4000.0,3930.0,900.0,0.9838677146244811,245.0,1738.0,10476.0,17.0,691.0,988.0,46.0,164794.0,59167.0,66.0,66976.0,228.0,3459.0,4122.0,8.0,24783.0,20323.0,1862.0,2419.0,36772.0,6180.0,13696.0,1271.45581691
223066.0,139860.0,4466.0,11436.0,1078.0,0.10512415427513377,8944.0,1372.0,262.0,12.0,11211.0,421.0,5.0,229428.0,129510.0,783.0,59908.0,148.0,54348.0,1841.0,5.0,6051.0,19666.0,19546.0,2218.0,168634.0,3305.0,11358.0,1265.02213789
104848.0,47728.0,12933.0,2027.0,450.0,0.18937514585175275,11942.0,7425.0,14237.0,12.0,8359.0,2104.0,27.0,19398.0,110483.0,12.0,55076.0,357.0,32954.0,3295.0,9.0,8016.0,5468.0,11791.0,1341.0,35112.0,5111.0,7216.0,1272.91242363
