write_request_timeout_in_ms,read_request_timeout_in_ms,commitlog_total_space_in_mb,key_cache_size_in_mb,commitlog_segment_size_in_mb,dynamic_snitch_badness_threshold,index_summary_capacity_in_mb,key_cache_save_period,file_cache_size_in_mb,thrift_framed_transport_size_in_mb,memtable_heap_space_in_mb,concurrent_writes,index_summary_resize_interval_in_minutes,commitlog_sync_period_in_ms,range_request_timeout_in_ms,rpc_min_threads,batch_size_warn_threshold_in_kb,concurrent_reads,column_index_size_in_kb,dynamic_snitch_update_interval_in_ms,memtable_flush_writers,request_timeout_in_ms,cas_contention_timeout_in_ms,permissions_validity_in_ms,rpc_max_threads,truncate_request_timeout_in_ms,stream_throughput_outbound_megabits_per_sec,memtable_offheap_space_in_mb,PERF
3373.0,19840.0,521.0,827.0,52.0,1.0,717.0,492.0,1278.0,20.0,624.0,92.0,60.0,4773.0,5555.0,10.0,4894.0,52.0,2375.0,313.0,23.0,4712.0,1471.0,1600.0,1213.0,20746.0,1193.0,597.0,2017.75625504
12910.0,23709.0,200.0,2670.0,227.0,1.0,100.0,10.0,1439.0,12.0,1412.0,197.0,33.0,7341.0,2000.0,239.0,16097.0,137.0,2271.0,2205.0,10.0,1751.0,2154.0,1811.0,1048.0,2000.0,715.0,1304.0,1295.672454
20.0,15310.0,1069.0,2459.0,30.0,0.8854876208059628,937.0,20.0,657.0,15.0,652.0,298.0,33.0,2200.0,8100.0,357.0,1399.0,420.0,1684.0,1827.0,8.0,2173.0,1710.0,2576.0,1122.0,2000.0,486.0,1231.0,1291.15558425
20.0,193320.0,200.0,6301.0,2024.0,1.0,100.0,7611.0,250.0,2.0,80.0,1079.0,60.0,250000.0,2000.0,1000.0,100000.0,31.0,674.0,7998.0,2.0,2817.0,25000.0,1600.0,1532.0,181298.0,100.0,200.0,1290.65565307
7044.0,14624.0,439.0,2024.0,92.0,0.5502658452333561,398.0,10.0,622.0,18.0,1448.0,216.0,30.0,11957.0,2000.0,284.0,8154.0,348.0,4517.0,1608.0,17.0,1721.0,2336.0,4302.0,1048.0,8529.0,121.0,995.0,1290.48909537
20.0,18370.0,792.0,1329.0,150.0,0.7054810478117892,129.0,1913.0,564.0,11.0,1624.0,356.0,55.0,2200.0,2000.0,543.0,5.0,100.0,3045.0,2594.0,2.0,1000.0,900.0,1600.0,1048.0,2000.0,572.0,2097.0,1290.32258065
20.0,14741.0,1061.0,2631.0,30.0,0.9434856685078356,950.0,10.0,721.0,15.0,611.0,308.0,33.0,2200.0,8554.0,382.0,1813.0,445.0,1660.0,1978.0,7.0,2086.0,1902.0,2682.0,1147.0,2000.0,502.0,1357.0,1290.15610889
20.0,13845.0,684.0,1051.0,134.0,0.6161868798204073,137.0,1540.0,670.0,14.0,1335.0,313.0,43.0,2200.0,5621.0,379.0,5.0,117.0,3063.0,2416.0,4.0,1448.0,900.0,1600.0,1048.0,8757.0,514.0,1363.0,1287.49839063
20.0,20.0,1355.0,8225.0,30.0,1.0,100.0,10.0,541.0,19.0,1227.0,327.0,2.0,2200.0,2000.0,911.0,28635.0,90.0,85.0,2342.0,28.0,5562.0,900.0,8770.0,1048.0,2000.0,782.0,4926.0,1287.33264676
6036.0,14579.0,439.0,1457.0,146.0,0.5711922087697374,513.0,10.0,565.0,16.0,1496.0,216.0,32.0,7390.0,2000.0,211.0,8308.0,311.0,3999.0,1382.0,16.0,1669.0,1299.0,4079.0,1048.0,7587.0,361.0,969.0,1287.16694555
