write_request_timeout_in_ms,read_request_timeout_in_ms,commitlog_total_space_in_mb,key_cache_size_in_mb,commitlog_segment_size_in_mb,dynamic_snitch_badness_threshold,index_summary_capacity_in_mb,key_cache_save_period,file_cache_size_in_mb,thrift_framed_transport_size_in_mb,memtable_heap_space_in_mb,concurrent_writes,index_summary_resize_interval_in_minutes,commitlog_sync_period_in_ms,range_request_timeout_in_ms,rpc_min_threads,batch_size_warn_threshold_in_kb,concurrent_reads,column_index_size_in_kb,dynamic_snitch_update_interval_in_ms,memtable_flush_writers,request_timeout_in_ms,cas_contention_timeout_in_ms,permissions_validity_in_ms,rpc_max_threads,truncate_request_timeout_in_ms,stream_throughput_outbound_megabits_per_sec,memtable_offheap_space_in_mb,PERF
161163.0,139068.0,3218.0,1753.0,1825.0,0.3202149637188525,9408.0,4917.0,4181.0,13.0,2836.0,3300.0,17.0,110962.0,83996.0,757.0,43458.0,657.0,5181.0,5111.0,27.0,9310.0,15688.0,12669.0,2908.0,138790.0,742.0,10424.0,1381.0721435546875
135863.0,99899.0,1487.0,100.0,2024.0,0.3599136263043663,9059.0,7345.0,1215.0,11.0,2818.0,3800.0,21.0,43961.0,77903.0,879.0,18209.0,814.0,2049.0,3608.0,28.0,4829.0,16040.0,13416.0,3334.0,127380.0,193.0,9772.0,1380.5928955078125
165046.0,143631.0,3549.0,2261.0,1720.0,0.31032961005103765,9474.0,4315.0,5052.0,13.0,2851.0,3178.0,16.0,122285.0,86725.0,733.0,48168.0,620.0,5942.0,5139.0,26.0,10772.0,15820.0,12463.0,2763.0,138184.0,855.0,10439.0,1380.4327392578125
156146.0,129388.0,2874.0,1349.0,1876.0,0.321966696757204,9355.0,5342.0,3712.0,13.0,2796.0,3440.0,18.0,97476.0,83339.0,787.0,37915.0,669.0,4652.0,4673.0,28.0,8895.0,15755.0,12859.0,2956.0,134517.0,657.0,10270.0,1380.10107421875
160253.0,135001.0,3181.0,1816.0,1820.0,0.3100322707362552,9386.0,4909.0,4351.0,13.0,2807.0,3353.0,17.0,108555.0,84696.0,767.0,41979.0,622.0,5274.0,4775.0,27.0,9994.0,15759.0,12747.0,2855.0,135074.0,728.0,10341.0,1380.0601806640625
150679.0,120884.0,2526.0,1232.0,1930.0,0.3335299563882799,9395.0,5614.0,3350.0,12.0,2866.0,3523.0,18.0,89809.0,78779.0,810.0,32361.0,598.0,4167.0,4437.0,28.0,8535.0,15228.0,13179.0,2970.0,130009.0,584.0,10422.0,1379.8026123046875
161152.0,137067.0,3280.0,2372.0,1772.0,0.31659701825374337,9573.0,4476.0,4809.0,12.0,2931.0,3272.0,17.0,118952.0,81457.0,756.0,43114.0,509.0,5632.0,5075.0,27.0,10775.0,15077.0,12967.0,2748.0,134158.0,832.0,10693.0,1379.63525390625
156630.0,128603.0,3046.0,1886.0,1781.0,0.3155086414385657,9400.0,4838.0,4606.0,12.0,2894.0,3366.0,18.0,103162.0,85055.0,772.0,39943.0,598.0,5284.0,4422.0,28.0,10462.0,15879.0,12806.0,2786.0,130697.0,702.0,10234.0,1378.8583984375
168058.0,143429.0,3895.0,3091.0,1579.0,0.2879904256050904,9556.0,3493.0,6441.0,13.0,2878.0,3077.0,16.0,134789.0,89582.0,715.0,51790.0,490.0,7035.0,4725.0,27.0,13614.0,15865.0,12347.0,2488.0,131608.0,972.0,10450.0,1378.00537109375
163209.0,135788.0,3643.0,2664.0,1601.0,0.2899246597540693,9388.0,3914.0,6171.0,13.0,2906.0,3194.0,17.0,117977.0,92779.0,730.0,48331.0,582.0,6642.0,4220.0,27.0,13046.0,16682.0,12347.0,2545.0,129621.0,830.0,9979.0,1377.3375244140625
