write_request_timeout_in_ms,read_request_timeout_in_ms,commitlog_total_space_in_mb,key_cache_size_in_mb,commitlog_segment_size_in_mb,dynamic_snitch_badness_threshold,index_summary_capacity_in_mb,key_cache_save_period,file_cache_size_in_mb,thrift_framed_transport_size_in_mb,memtable_heap_space_in_mb,concurrent_writes,index_summary_resize_interval_in_minutes,commitlog_sync_period_in_ms,range_request_timeout_in_ms,rpc_min_threads,batch_size_warn_threshold_in_kb,concurrent_reads,column_index_size_in_kb,dynamic_snitch_update_interval_in_ms,memtable_flush_writers,request_timeout_in_ms,cas_contention_timeout_in_ms,permissions_validity_in_ms,rpc_max_threads,truncate_request_timeout_in_ms,stream_throughput_outbound_megabits_per_sec,memtable_offheap_space_in_mb,PERF
168939.0,41981.0,6480.0,6118.0,1018.0,0.406823166666724,11575.0,7029.0,6823.0,27.0,11094.0,1034.0,25.0,205983.0,112401.0,778.0,81901.0,1264.0,52542.0,11290.0,23.0,6333.0,22829.0,15100.0,3178.0,45120.0,3268.0,924.0,1196.1722488
99567.0,127406.0,4213.0,1610.0,106.0,0.4480794166037365,1077.0,11088.0,1985.0,3.0,9653.0,875.0,32.0,214953.0,120177.0,760.0,88110.0,1609.0,45867.0,17942.0,27.0,2694.0,9705.0,9113.0,2760.0,205817.0,3239.0,12085.0,1264.06269751
172185.0,34471.0,13995.0,13974.0,2008.0,0.3572219998250742,1346.0,3812.0,8924.0,24.0,7679.0,44.0,23.0,147817.0,119500.0,45.0,99990.0,1923.0,3507.0,24317.0,4.0,20478.0,10100.0,19209.0,1299.0,38101.0,3535.0,13472.0,1255.65042692
94182.0,42093.0,13840.0,11046.0,1898.0,0.1168528540039494,4989.0,1125.0,6552.0,17.0,12983.0,987.0,55.0,80918.0,108716.0,457.0,9448.0,507.0,19033.0,22375.0,16.0,14634.0,21792.0,12534.0,2363.0,86334.0,7128.0,3081.0,1214.77162293
72936.0,197419.0,579.0,3253.0,1774.0,0.447026403830425,6497.0,12402.0,1207.0,26.0,11982.0,1248.0,34.0,184805.0,186531.0,315.0,56834.0,1312.0,40464.0,6070.0,2.0,17314.0,5774.0,6110.0,2736.0,229673.0,5441.0,12096.0,1277.46550843
168710.0,98743.0,6301.0,8875.0,1145.0,0.15672706467991426,9969.0,5099.0,11505.0,18.0,8802.0,318.0,12.0,103115.0,17836.0,348.0,29867.0,839.0,8334.0,10169.0,11.0,11907.0,15199.0,18525.0,1591.0,15734.0,3836.0,5640.0,1271.94098194
230919.0,142707.0,1083.0,7420.0,1653.0,0.14108755053857935,14309.0,2632.0,6466.0,28.0,8070.0,232.0,27.0,3849.0,218284.0,44.0,21212.0,1489.0,2851.0,22222.0,4.0,19902.0,4306.0,12506.0,3486.0,163111.0,6205.0,6859.0,1293.82843835
142321.0,138471.0,12967.0,11578.0,709.0,0.09401761793566721,7179.0,8986.0,7032.0,18.0,1759.0,2938.0,52.0,113006.0,248997.0,674.0,23701.0,731.0,40437.0,21544.0,2.0,5910.0,2876.0,16105.0,2452.0,204717.0,4965.0,6612.0,1204.238921
235890.0,53662.0,12490.0,6985.0,1039.0,0.47720297742169526,2116.0,10832.0,10257.0,11.0,14964.0,2501.0,30.0,203175.0,168676.0,223.0,66122.0,451.0,24093.0,4901.0,21.0,13536.0,22638.0,5759.0,1446.0,75922.0,4002.0,13305.0,1270.6480305
61220.0,190776.0,5698.0,3163.0,1846.0,0.31753507020480953,8911.0,13110.0,368.0,7.0,14152.0,1363.0,32.0,234234.0,45538.0,974.0,20037.0,926.0,32768.0,1096.0,2.0,8916.0,2391.0,17139.0,2990.0,4260.0,1737.0,10369.0,1279.59053103
225149.0,105233.0,12483.0,8311.0,945.0,0.4909441111721121,14533.0,804.0,2614.0,20.0,13814.0,333.0,18.0,238804.0,98276.0,12.0,92529.0,1985.0,42252.0,4917.0,22.0,7894.0,13167.0,16629.0,1676.0,107756.0,5177.0,6680.0,1204.09391933
24783.0,148460.0,1969.0,153.0,187.0,0.6708414150099352,566.0,4522.0,11502.0,5.0,5991.0,1118.0,18.0,192061.0,182968.0,82.0,19403.0,1060.0,47439.0,18521.0,3.0,22470.0,2715.0,6200.0,2908.0,64432.0,5216.0,8871.0,1277.62872109
28684.0,145733.0,3923.0,11366.0,1554.0,0.7623461280848487,7465.0,6253.0,2635.0,19.0,14265.0,2802.0,27.0,22944.0,154320.0,675.0,14807.0,1159.0,21863.0,18239.0,15.0,14991.0,23612.0,4760.0,2793.0,213333.0,6581.0,2245.0,1285.51227664
239121.0,66676.0,7543.0,9290.0,359.0,0.9318789667428331,1976.0,11736.0,10256.0,16.0,5028.0,3133.0,3.0,217662.0,118295.0,283.0,94431.0,832.0,10502.0,18844.0,27.0,17564.0,16053.0,3709.0,3475.0,104876.0,3334.0,2036.0,1205.25491141
80644.0,33125.0,13679.0,8100.0,777.0,0.9446274915506698,6670.0,10119.0,7112.0,12.0,14339.0,2035.0,28.0,19409.0,105047.0,963.0,5770.0,511.0,36432.0,1612.0,28.0,20372.0,14649.0,13014.0,2049.0,194400.0,317.0,10245.0,1277.30233746
197868.0,149297.0,2181.0,8925.0,305.0,0.6412312342886837,13269.0,6650.0,2520.0,18.0,14507.0,1930.0,58.0,93995.0,148118.0,986.0,13000.0,507.0,57452.0,8692.0,12.0,14257.0,3823.0,7810.0,2518.0,227843.0,2294.0,355.0,1267.26650615
147060.0,118770.0,11083.0,14492.0,1044.0,0.0899772047947216,9822.0,14286.0,14438.0,24.0,8948.0,755.0,43.0,148719.0,45756.0,345.0,69163.0,1010.0,17622.0,24101.0,8.0,5955.0,10510.0,24000.0,3360.0,177635.0,2403.0,8772.0,1262.1481762
121683.0,98259.0,14406.0,3148.0,679.0,0.8554858771340345,11403.0,11543.0,13959.0,21.0,11958.0,2469.0,33.0,62792.0,186296.0,761.0,35813.0,364.0,46113.0,21281.0,22.0,6558.0,22868.0,7765.0,1926.0,93644.0,482.0,1665.0,1263.26427489
98351.0,121502.0,14295.0,3590.0,1948.0,0.20740801736565206,2741.0,2869.0,9566.0,25.0,11166.0,3110.0,8.0,112704.0,175342.0,844.0,64358.0,1255.0,44150.0,17288.0,23.0,15251.0,9876.0,22943.0,1760.0,209441.0,3437.0,6793.0,1277.95527157
196786.0,45918.0,11024.0,10042.0,1720.0,0.5263473965410824,10668.0,1427.0,4465.0,19.0,9377.0,3245.0,4.0,240563.0,227517.0,16.0,50065.0,1151.0,33108.0,6184.0,20.0,17075.0,6218.0,13813.0,3179.0,226440.0,256.0,7460.0,1206.27261761
101215.0,134683.0,12269.0,7883.0,1929.0,0.8972488383623806,8586.0,2490.0,10933.0,8.0,12099.0,2923.0,35.0,17677.0,3693.0,329.0,5131.0,1546.0,38283.0,9827.0,10.0,7917.0,20424.0,19173.0,3515.0,71351.0,6920.0,4253.0,1282.21566868
