innodb_buffer_pool_size,innodb_thread_concurrency,innodb_adaptive_hash_index,innodb_flush_log_at_trx_commit,join_buffer_size,sort_buffer_size,tmp_table_size,thread_cache_size,read_rnd_buffer_size,max_heap_table_size,PERF
1458446.0,9.0,1.0,0.0,20756341.0,59210782.0,20186338.0,45.0,15568.0,27316391.0,176.78
1333008.0,11.0,1.0,1.0,51377079.0,137309559.0,106373458.0,29.0,97774.0,4008990.0,180.03
957605.0,23.0,1.0,2.0,115792438.0,141082752.0,57256152.0,4.0,2720.0,48022449.0,177.43
1443314.0,1.0,1.0,0.0,89191403.0,57837421.0,117774792.0,49.0,48562.0,18878985.0,263.38
1871536.0,10.0,0.0,0.0,63941144.0,41417499.0,116464646.0,6.0,69012.0,26203140.0,179.05
2823350.0,7.0,0.0,2.0,28345272.0,88334618.0,85691582.0,42.0,61777.0,49213900.0,178.3
2579309.0,9.0,1.0,0.0,139378862.0,89795736.0,18302561.0,25.0,77609.0,16333515.0,180.1
335619.0,48.0,0.0,2.0,42637579.0,126743099.0,109801411.0,18.0,111772.0,61850622.0,184.54
1437842.0,47.0,0.0,1.0,115572278.0,77245233.0,60650296.0,37.0,71803.0,17084077.0,190.62
1027873.0,46.0,1.0,2.0,18592827.0,146093505.0,87209856.0,42.0,75836.0,63719556.0,180.83
681422.0,15.0,1.0,0.0,46004198.0,135653631.0,83129714.0,42.0,42901.0,4260915.0,184.44
1524321.0,50.0,1.0,2.0,34772443.0,66329201.0,72210046.0,36.0,25953.0,33309206.0,180.64
1038752.0,33.0,1.0,1.0,144641881.0,76632245.0,13879758.0,32.0,77634.0,52939254.0,184.12
727394.0,39.0,1.0,2.0,51940050.0,24151401.0,122690458.0,28.0,68199.0,35853072.0,181.9
928010.0,12.0,0.0,2.0,21416714.0,81746642.0,122632736.0,24.0,74930.0,56138035.0,182.01
3049035.0,37.0,0.0,1.0,139558329.0,106135419.0,127650403.0,10.0,78898.0,35365603.0,183.07
2447512.0,17.0,0.0,2.0,27995256.0,64635129.0,139753781.0,41.0,124469.0,4946252.0,180.79
3169749.0,2.0,1.0,1.0,99271743.0,149915689.0,108196972.0,3.0,116457.0,11170548.0,187.43
1714757.0,31.0,1.0,0.0,36738610.0,71808822.0,9231793.0,21.0,55941.0,37336226.0,183.56
640958.0,44.0,1.0,0.0,3706052.0,130594695.0,21423047.0,17.0,98748.0,31288934.0,182.8
444531.0,4.0,1.0,2.0,108899465.0,103541200.0,130069959.0,26.0,86174.0,57609224.0,175.78
2030135.0,21.0,0.0,0.0,123970089.0,136305331.0,121650794.0,36.0,15372.0,50433981.0,183.9
2839451.0,9.0,0.0,0.0,35668127.0,69578226.0,112354804.0,40.0,113902.0,24945684.0,176.29
2216331.0,10.0,1.0,0.0,30992368.0,48292029.0,8593568.0,5.0,100473.0,2790938.0,179.14
1401438.0,29.0,1.0,0.0,26973623.0,6753973.0,38468008.0,32.0,43315.0,2721577.0,189.86
