innodb_buffer_pool_size,innodb_thread_concurrency,innodb_adaptive_hash_index,innodb_flush_log_at_trx_commit,join_buffer_size,sort_buffer_size,tmp_table_size,thread_cache_size,read_rnd_buffer_size,max_heap_table_size,PERF
1511266.0,33.0,1.0,2.0,63394100.0,63860576.0,48979694.0,28.0,127475.0,13495618.0,184.4
1346341.0,38.0,0.0,2.0,75828740.0,27506409.0,133476617.0,33.0,118429.0,57807390.0,184.03
1256206.0,38.0,0.0,2.0,97218118.0,126383866.0,136619599.0,39.0,7211.0,31301845.0,182.46
2195956.0,28.0,1.0,2.0,87700372.0,96518902.0,68228192.0,10.0,84950.0,40339816.0,183.07
1570248.0,6.0,1.0,2.0,30152917.0,110345803.0,47379708.0,40.0,92441.0,23918275.0,180.0
1527276.0,23.0,0.0,1.0,105536535.0,88553816.0,25796261.0,25.0,11738.0,27987993.0,188.51
1698895.0,33.0,1.0,1.0,7833707.0,5697155.0,125151425.0,12.0,90250.0,20916873.0,188.39
2310717.0,20.0,1.0,0.0,88302081.0,31204179.0,50875963.0,6.0,105317.0,31497063.0,183.18
2019293.0,14.0,1.0,1.0,109579433.0,1212598.0,58594607.0,41.0,19714.0,26997628.0,189.7
1016064.0,20.0,1.0,1.0,143961638.0,123812826.0,19184990.0,23.0,8348.0,65467278.0,192.89
656497.0,12.0,0.0,2.0,26239244.0,42707943.0,31269923.0,8.0,7872.0,11248818.0,187.21
294468.0,32.0,1.0,2.0,14158104.0,107545386.0,94045138.0,50.0,66790.0,22275665.0,181.88
2742744.0,42.0,0.0,2.0,39756927.0,70479292.0,142619687.0,33.0,96266.0,29234103.0,185.1
659981.0,35.0,1.0,2.0,12528042.0,15991087.0,21100757.0,10.0,49902.0,55930708.0,190.81
1297120.0,49.0,0.0,0.0,6318731.0,24782994.0,98479597.0,50.0,65346.0,42470290.0,187.15
573696.0,41.0,0.0,2.0,13719237.0,96109912.0,108534969.0,10.0,63485.0,54729008.0,189.63
507129.0,0.0,0.0,0.0,15050368.0,7695906.0,31135624.0,7.0,127116.0,47571895.0,183.75
2665474.0,24.0,1.0,1.0,49789266.0,67881043.0,91900779.0,13.0,41637.0,11242994.0,183.05
2708359.0,0.0,1.0,2.0,493966.0,13608738.0,105890830.0,47.0,32088.0,42169370.0,184.73
2303585.0,41.0,1.0,1.0,135867512.0,125477275.0,93028604.0,37.0,6388.0,3400007.0,184.67
3017016.0,7.0,1.0,1.0,106115374.0,45806472.0,29151271.0,16.0,109770.0,17013130.0,183.72
1047607.0,14.0,0.0,0.0,117973607.0,140055859.0,74148947.0,26.0,117318.0,40898979.0,180.73
2947295.0,25.0,0.0,0.0,89681251.0,86712376.0,129910693.0,40.0,95779.0,20128697.0,179.46
2018251.0,49.0,0.0,0.0,41115705.0,62818710.0,105818920.0,8.0,466.0,51893259.0,185.04
1939425.0,12.0,1.0,0.0,54082230.0,143663890.0,113348969.0,3.0,61401.0,53776775.0,187.81
1087512.0,16.0,0.0,0.0,74947070.0,59507211.0,117584804.0,26.0,92122.0,23592645.0,183.95
2998449.0,36.0,1.0,2.0,58787680.0,109705271.0,80651911.0,18.0,56154.0,52200727.0,184.45
2358052.0,1.0,0.0,2.0,42572320.0,48834807.0,138213462.0,1.0,67393.0,59574561.0,265.24
1685575.0,44.0,1.0,1.0,70264700.0,110636561.0,27640172.0,36.0,29630.0,62367822.0,217.16
2372095.0,34.0,1.0,1.0,42348979.0,76430090.0,68165534.0,10.0,49713.0,26767553.0,259.93
1640347.0,48.0,1.0,2.0,43997235.0,99643931.0,39533124.0,11.0,117018.0,36147580.0,292.32
775427.0,12.0,0.0,2.0,135328166.0,75707171.0,83541033.0,45.0,9051.0,14117294.0,334.19
2467404.0,26.0,0.0,2.0,11231620.0,106113191.0,5182408.0,24.0,9032.0,56423390.0,342.2
2362591.0,26.0,1.0,0.0,121170881.0,69421736.0,98312627.0,19.0,47664.0,15114720.0,349.71
3086565.0,48.0,1.0,1.0,106745144.0,68457790.0,46593605.0,48.0,23725.0,35340886.0,352.44
1379182.0,38.0,1.0,1.0,24755904.0,93526385.0,142971616.0,32.0,115040.0,57705670.0,365.46
614703.0,30.0,1.0,1.0,126285412.0,139725574.0,134553277.0,1.0,37942.0,55998537.0,371.75
1216882.0,9.0,0.0,1.0,51784168.0,114952826.0,118612195.0,50.0,76872.0,19081851.0,388.55
1405072.0,25.0,1.0,0.0,116329333.0,122378820.0,17687527.0,24.0,77716.0,25574020.0,370.26
1022789.0,27.0,1.0,2.0,37821860.0,130537417.0,51536270.0,17.0,118989.0,33313501.0,358.29
600102.0,26.0,0.0,1.0,83406692.0,25966067.0,136367583.0,43.0,85707.0,4612535.0,365.4
3002071.0,44.0,1.0,1.0,105141538.0,111803125.0,3823315.0,42.0,99572.0,24141720.0,365.7
1785983.0,43.0,0.0,0.0,13639601.0,66350045.0,20990758.0,17.0,28835.0,6615161.0,382.21
3155774.0,44.0,0.0,0.0,124363700.0,134556541.0,139412005.0,20.0,12147.0,64514531.0,373.76
1524159.0,4.0,1.0,0.0,116033105.0,104736455.0,82916595.0,18.0,55321.0,31884460.0,396.98
2261640.0,23.0,1.0,1.0,34390192.0,8613068.0,114011355.0,40.0,11992.0,57753622.0,377.61
2266155.0,3.0,1.0,0.0,76478040.0,126434003.0,69891793.0,33.0,80195.0,4418939.0,393.42
1202399.0,15.0,1.0,0.0,127254172.0,106549001.0,106203866.0,6.0,113696.0,45644409.0,379.1
340282.0,25.0,1.0,0.0,133022921.0,132577872.0,115854016.0,31.0,107215.0,65706692.0,374.64
2599376.0,27.0,0.0,0.0,119570670.0,146808522.0,143403082.0,44.0,66000.0,44356213.0,365.97
2075011.0,45.0,1.0,0.0,16201699.0,45115837.0,143448504.0,2.0,4638.0,44974490.0,366.45
2965719.0,10.0,0.0,2.0,131331622.0,119826355.0,55371742.0,15.0,36099.0,37077581.0,394.06
1482042.0,44.0,0.0,2.0,26767538.0,2968995.0,6203378.0,42.0,12637.0,3812208.0,369.43
2382680.0,43.0,0.0,2.0,96362734.0,25780749.0,61471759.0,22.0,120286.0,32616704.0,381.76
1133767.0,42.0,0.0,1.0,98275104.0,85055801.0,9503742.0,33.0,95882.0,53784836.0,370.74
1328569.0,27.0,0.0,1.0,140924342.0,1943195.0,139271341.0,36.0,35565.0,36539584.0,369.38
1816273.0,34.0,1.0,0.0,65375759.0,86108125.0,75551722.0,2.0,128402.0,56260328.0,370.95
1687275.0,3.0,0.0,0.0,144800198.0,6646908.0,115362769.0,14.0,13910.0,41896830.0,395.44
2857048.0,50.0,0.0,1.0,146695095.0,1964516.0,125967267.0,0.0,117274.0,12257812.0,373.73
1700457.0,3.0,0.0,2.0,16055686.0,114968472.0,108429299.0,29.0,93805.0,13966391.0,391.57
2154850.0,0.0,1.0,0.0,110699354.0,61759087.0,46324984.0,7.0,80127.0,8079887.0,379.39
474027.0,20.0,1.0,2.0,13431700.0,120035874.0,32415071.0,42.0,30177.0,52012908.0,378.1
2245980.0,14.0,0.0,0.0,65328129.0,37841129.0,143065383.0,47.0,93720.0,54219954.0,386.71
2508840.0,31.0,1.0,1.0,150303021.0,6523064.0,112404945.0,25.0,97648.0,37763154.0,1443.88
1539077.0,21.0,1.0,0.0,2347518.0,88486751.0,145125755.0,12.0,52721.0,3043411.0,374.18
1124774.0,29.0,0.0,2.0,2560331.0,62982418.0,146321166.0,19.0,34430.0,54067033.0,376.99
1515823.0,8.0,0.0,1.0,52872920.0,128555006.0,101339519.0,31.0,5696.0,8331774.0,396.66
445161.0,41.0,0.0,1.0,104292103.0,25013777.0,145137274.0,33.0,79009.0,15937083.0,374.95
742041.0,2.0,1.0,2.0,69639574.0,45425686.0,82812526.0,23.0,102747.0,18156196.0,381.46
677735.0,34.0,0.0,2.0,14462560.0,14360198.0,104593218.0,29.0,40800.0,9998690.0,371.83
606241.0,3.0,0.0,1.0,59300414.0,16313211.0,141070383.0,8.0,8923.0,21804327.0,385.06
1981271.0,16.0,1.0,1.0,57838082.0,65217627.0,135447207.0,38.0,115731.0,22808331.0,372.33
1783467.0,4.0,0.0,1.0,35294690.0,82543475.0,73231467.0,35.0,89589.0,46877306.0,387.83
367107.0,23.0,0.0,0.0,135255680.0,64884742.0,46620226.0,25.0,37319.0,47415877.0,359.29
1372631.0,26.0,1.0,1.0,121269221.0,127671895.0,96110066.0,10.0,69964.0,24967224.0,357.31
371943.0,27.0,0.0,0.0,23645302.0,88409883.0,131901847.0,38.0,46623.0,2632590.0,371.04
3017635.0,47.0,0.0,1.0,126857756.0,41344731.0,129740414.0,42.0,19154.0,55521171.0,364.87
2521099.0,0.0,1.0,2.0,130525318.0,98990941.0,105502575.0,35.0,119913.0,9827074.0,359.24
2346017.0,2.0,0.0,1.0,49070659.0,76463224.0,40132955.0,47.0,127194.0,39307177.0,382.78
3044283.0,50.0,0.0,0.0,54849120.0,2370856.0,144727322.0,29.0,30522.0,39873272.0,360.3
1769217.0,1.0,1.0,0.0,122773373.0,76686623.0,17211776.0,15.0,87706.0,59486688.0,433.09
2970956.0,2.0,0.0,2.0,14106936.0,70110756.0,31115216.0,5.0,118980.0,51825240.0,354.33
2887613.0,41.0,1.0,1.0,43629982.0,83514721.0,33507820.0,33.0,52249.0,21185109.0,223.19
2952592.0,16.0,1.0,2.0,30492566.0,81064507.0,92861891.0,4.0,8396.0,43308555.0,272.47
2791691.0,20.0,0.0,0.0,32758251.0,125610664.0,64836679.0,30.0,25535.0,6166757.0,301.17
486560.0,13.0,0.0,2.0,61098547.0,44966798.0,2410986.0,19.0,102251.0,54611958.0,344.17
679510.0,0.0,1.0,2.0,100140824.0,149179754.0,125784763.0,20.0,90195.0,35477920.0,337.19
1077508.0,5.0,0.0,2.0,35362669.0,50791364.0,92952812.0,49.0,8577.0,11769439.0,375.75
