replBacklogSize,hashMaxZiplistValue,hashMaxZiplistEntries,listMaxZiplistSize,activeDefragIgnoreBytes,activeDefragThresholdLower,replDisableTcpNodelay,hllSparseMaxBytes,hz,PERF
1,81,256,-1,100,5,yes,0,18,68195.25
3,32,873,-1,160,20,no,0,32,80070.72
1,111,256,-1,100,5,yes,0,14,78333.23333333334
2,32,660,-1,144,20,no,0,28,74671.20000000001
1,128,256,-1,100,5,yes,97,1,71076.41333333333
11,59,256,-5,100,18,yes,719,33,75795.68000000001
1,32,583,-1,106,5,yes,0,20,74985.09333333334
1,32,1024,-1,300,5,yes,0,1,73852.18333333333
11,75,256,-5,100,20,yes,1378,41,69787.87333333334
1,32,1024,-1,241,5,yes,0,1,79795.10666666667
1,32,720,-1,100,5,yes,0,17,82702.22333333334
11,52,256,-5,186,17,yes,152,29,70740.36666666667
1,32,467,-1,100,5,yes,0,19,75207.62333333334
3,32,291,-1,100,7,yes,0,21,74534.21333333333
1,32,531,-1,100,5,yes,0,19,80057.04333333333
9,32,256,-2,109,8,yes,111,23,77326.36
11,32,256,-1,184,20,yes,111,38,72137.06666666667
11,32,256,-2,114,9,yes,111,24,75848.58333333333
6,33,256,-2,102,7,yes,111,22,79208.95
6,33,256,-2,101,6,yes,111,21,77942.15666666666
11,37,256,-2,102,9,yes,111,25,76379.43666666666
10,37,263,-2,100,8,yes,111,25,76836.81666666667
11,37,256,-2,101,9,yes,111,25,75085.14
11,37,256,-2,104,9,yes,111,25,76700.15333333334
10,37,256,-2,100,8,yes,111,25,71541.98
11,41,333,-1,103,8,yes,111,21,74774.35333333333
1,32,256,-5,293,5,yes,111,21,74093.23
11,39,330,-1,100,11,yes,111,22,74761.87666666666
5,32,266,-3,114,6,yes,111,23,70042.87333333334
1,32,256,-5,226,5,yes,111,22,79623.01666666668
8,37,294,-3,105,6,yes,111,23,73294.78666666667
1,38,281,-4,144,5,yes,111,24,73026.77
10,37,300,-2,100,8,yes,111,23,74391.11
8,37,295,-2,102,6,yes,111,23,76757.08333333333
11,35,349,-1,100,19,yes,111,19,66484.67333333332
11,45,256,-1,100,10,yes,111,24,73461.27
11,41,257,-1,100,9,yes,111,23,75153.76333333334
8,35,328,-2,100,7,yes,111,21,74471.74333333333
7,34,339,-2,100,7,yes,111,21,69770.47666666667
9,36,318,-2,100,7,yes,111,22,77415.45333333334
11,111,580,-2,247,16,no,5000,334,73826.67333333334
11,117,582,-2,258,17,no,5000,359,74958.17666666668
7,77,583,-2,187,12,yes,3054,207,74950.85333333333
7,75,583,-2,184,12,yes,2962,200,73917.37000000001
6,67,582,-2,169,11,yes,2429,169,74665.83333333333
9,91,586,-2,214,14,no,3987,262,78089.91333333333
6,66,584,-2,168,10,yes,2400,165,71312.54
9,94,583,-2,218,14,no,4136,276,78952.53666666667
8,80,584,-2,193,12,yes,3260,222,75455.84333333334
10,97,585,-2,224,14,no,4355,286,66443.14
