replBacklogSize,hashMaxZiplistValue,hashMaxZiplistEntries,listMaxZiplistSize,activeDefragIgnoreBytes,activeDefragThresholdLower,replDisableTcpNodelay,hllSparseMaxBytes,hz,PERF
1,32,720,-1,100,5,yes,0,17,82702.22333333334
3,32,873,-1,160,20,no,0,32,80070.72
1,32,531,-1,100,5,yes,0,19,80057.04333333332
1,32,1024,-1,241,5,yes,0,1,79795.10666666667
1,32,256,-5,226,5,yes,111,22,79623.01666666668
6,33,256,-2,102,7,yes,111,22,79208.95
9,94,583,-2,218,14,no,4136,276,78952.53666666668
1,111,256,-1,100,5,yes,0,14,78333.23333333334
9,91,586,-2,214,14,no,3987,262,78089.91333333332
6,33,256,-2,101,6,yes,111,21,77942.15666666666
