replBacklogSize,hashMaxZiplistValue,hashMaxZiplistEntries,listMaxZiplistSize,activeDefragIgnoreBytes,activeDefragThresholdLower,replDisableTcpNodelay,hllSparseMaxBytes,hz,PERF
5.0,50.0,256.0,-3.0,119.0,6.0,no,1.0,120.0,76909.9453125
5.0,49.0,259.0,-3.0,118.0,7.0,no,1.0,114.0,76872.40625
4.0,50.0,256.0,-3.0,118.0,5.0,no,1.0,117.0,76949.2421875
5.0,48.0,257.0,-3.0,118.0,7.0,no,1.0,111.0,76877.3671875
5.0,52.0,260.0,-3.0,121.0,7.0,no,1.0,131.0,76862.09375
6.0,50.0,293.0,-3.0,127.0,10.0,no,1.0,85.0,76744.84375
5.0,52.0,302.0,-3.0,120.0,9.0,no,1.0,90.0,76769.453125
6.0,50.0,299.0,-3.0,119.0,11.0,no,1.0,84.0,76696.6953125
6.0,52.0,281.0,-3.0,115.0,10.0,no,1.0,94.0,76725.125
5.0,55.0,302.0,-3.0,113.0,10.0,no,1.0,81.0,76703.140625
6.0,32.0,256.0,-3.0,106.0,10.0,no,1.0,16.0,76812.09375
6.0,33.0,256.0,-3.0,105.0,10.0,no,1.0,33.0,76809.671875
6.0,32.0,256.0,-3.0,106.0,10.0,no,1.0,17.0,76812.3359375
6.0,38.0,256.0,-3.0,100.0,8.0,no,1.0,48.0,76862.28125
6.0,32.0,256.0,-3.0,111.0,10.0,no,1.0,36.0,76821.3515625
5.0,34.0,273.0,-3.0,131.0,9.0,no,1.0,26.0,76865.953125
5.0,34.0,271.0,-3.0,136.0,10.0,no,1.0,31.0,76830.6484375
6.0,37.0,270.0,-3.0,127.0,10.0,no,1.0,21.0,76803.2421875
5.0,35.0,273.0,-2.0,143.0,11.0,no,1.0,32.0,77167.1796875
6.0,37.0,270.0,-3.0,133.0,10.0,no,1.0,25.0,76809.46875
4.0,38.0,303.0,-2.0,107.0,13.0,no,1.0,65.0,77044.8515625
4.0,36.0,296.0,-2.0,111.0,13.0,no,1.0,63.0,77059.25
5.0,38.0,283.0,-3.0,106.0,11.0,no,1.0,54.0,76746.328125
4.0,35.0,290.0,-3.0,108.0,11.0,no,1.0,48.0,76763.703125
4.0,34.0,285.0,-3.0,110.0,11.0,no,1.0,48.0,76771.1484375
6.0,32.0,258.0,-3.0,117.0,10.0,no,1.0,0.0,76817.8203125
6.0,32.0,259.0,-3.0,120.0,8.0,no,1.0,0.0,76902.25
6.0,32.0,256.0,-3.0,114.0,11.0,no,1.0,0.0,76774.2890625
7.0,36.0,256.0,-3.0,122.0,11.0,no,0.0,0.0,76758.5
5.0,32.0,266.0,-3.0,119.0,8.0,no,1.0,0.0,76901.3828125
6.0,32.0,292.0,-3.0,119.0,8.0,no,1.0,14.0,76904.8359375
6.0,32.0,299.0,-3.0,127.0,7.0,no,1.0,19.0,76953.96875
5.0,32.0,306.0,-3.0,133.0,6.0,no,1.0,27.0,77002.0859375
5.0,32.0,307.0,-3.0,133.0,6.0,no,1.0,29.0,77002.578125
5.0,32.0,308.0,-3.0,137.0,5.0,no,1.0,25.0,77046.0078125
6.0,43.0,329.0,-4.0,121.0,5.0,no,0.0,8.0,-1.0
4.0,49.0,303.0,-2.0,122.0,11.0,no,1.0,0.0,77061.265625
4.0,49.0,301.0,-2.0,121.0,11.0,no,1.0,0.0,77060.390625
5.0,45.0,327.0,-3.0,125.0,6.0,no,0.0,0.0,76914.453125
5.0,46.0,322.0,-3.0,125.0,7.0,no,0.0,0.0,76867.8515625
5.0,49.0,323.0,-3.0,167.0,16.0,no,1.0,183.0,76900.9921875
5.0,49.0,317.0,-3.0,167.0,16.0,no,1.0,168.0,76917.0703125
5.0,47.0,310.0,-3.0,152.0,15.0,no,1.0,150.0,76764.7734375
6.0,64.0,322.0,-2.0,159.0,14.0,no,1.0,25.0,76891.6484375
5.0,49.0,321.0,-3.0,156.0,15.0,no,1.0,168.0,76780.0234375
5.0,52.0,313.0,-3.0,157.0,15.0,no,1.0,115.0,76907.8125
5.0,54.0,319.0,-3.0,161.0,15.0,no,1.0,114.0,76943.421875
5.0,58.0,327.0,-2.0,139.0,13.0,no,1.0,67.0,76959.46875
5.0,51.0,322.0,-2.0,145.0,14.0,no,1.0,129.0,76978.828125
5.0,51.0,318.0,-3.0,160.0,15.0,no,1.0,145.0,76839.21875
