replBacklogSize,hashMaxZiplistValue,hashMaxZiplistEntries,listMaxZiplistSize,activeDefragIgnoreBytes,activeDefragThresholdLower,replDisableTcpNodelay,hllSparseMaxBytes,hz,PERF
6.0,37.0,401.0,-2.0,230.0,14.0,yes,1069.0,45.0,76546.09
1.0,92.0,370.0,-5.0,252.0,6.0,no,655.0,133.0,74111.33
6.0,121.0,313.0,-1.0,279.0,11.0,no,3572.0,192.0,75594.016
11.0,128.0,1024.0,-5.0,100.0,20.0,no,0.0,501.0,78682.62
9.0,37.0,897.0,-3.0,153.0,6.0,yes,2028.0,394.0,76629.74
5.0,124.0,987.0,-3.0,115.0,12.0,no,4542.0,290.0,77786.945
3.0,89.0,920.0,-2.0,239.0,5.0,yes,4375.0,451.0,76743.47
7.0,85.0,802.0,-1.0,169.0,17.0,no,4540.0,392.0,77082.19
11.0,98.0,645.0,-2.0,266.0,15.0,no,1257.0,486.0,76779.53
1.0,33.0,459.0,-5.0,283.0,20.0,no,235.0,318.0,71928.32
6.0,37.0,401.0,-2.0,230.0,14.0,yes,1069.0,45.0,76546.09
1.0,92.0,370.0,-5.0,252.0,6.0,no,655.0,133.0,74111.33
6.0,121.0,313.0,-1.0,279.0,11.0,no,3572.0,192.0,75594.016
11.0,128.0,1024.0,-5.0,100.0,20.0,no,0.0,501.0,78682.62
9.0,37.0,897.0,-3.0,153.0,6.0,yes,2028.0,394.0,76629.74
5.0,124.0,987.0,-3.0,115.0,12.0,no,4542.0,290.0,77786.945
3.0,89.0,920.0,-2.0,239.0,5.0,yes,4375.0,451.0,76743.47
7.0,85.0,802.0,-1.0,169.0,17.0,no,4540.0,392.0,77082.19
11.0,98.0,645.0,-2.0,266.0,15.0,no,1257.0,486.0,76779.53
1.0,33.0,459.0,-5.0,283.0,20.0,no,235.0,318.0,71928.32
6.0,37.0,401.0,-2.0,230.0,14.0,no,1069.0,46.0,77026.29
2.0,92.0,370.0,-5.0,252.0,5.0,no,655.0,133.0,74012.66
5.0,121.0,314.0,-1.0,278.0,12.0,no,3572.0,191.0,76748.086
11.0,128.0,1024.0,-5.0,100.0,20.0,yes,0.0,500.0,77142.086
9.0,36.0,896.0,-3.0,153.0,5.0,yes,2029.0,394.0,76549.805
6.0,124.0,987.0,-3.0,115.0,13.0,no,4542.0,290.0,77966.18
4.0,89.0,919.0,-3.0,239.0,5.0,no,4376.0,452.0,76870.75
7.0,85.0,801.0,-1.0,169.0,16.0,no,4540.0,392.0,76532.39
11.0,97.0,646.0,-1.0,265.0,15.0,no,1257.0,487.0,75481.82
1.0,34.0,459.0,-4.0,282.0,19.0,yes,236.0,318.0,68794.07
6.0,37.0,401.0,-2.0,230.0,14.0,no,1069.0,46.0,77026.29
2.0,92.0,370.0,-5.0,252.0,5.0,no,655.0,296.0,71909.945
5.0,121.0,314.0,-1.0,278.0,12.0,no,3572.0,191.0,76748.086
11.0,128.0,1024.0,-5.0,100.0,20.0,yes,0.0,500.0,77142.086
9.0,36.0,896.0,-3.0,153.0,5.0,yes,2029.0,394.0,76549.805
6.0,124.0,987.0,-3.0,115.0,13.0,no,4542.0,290.0,77966.18
4.0,89.0,919.0,-3.0,239.0,5.0,no,4376.0,452.0,76870.75
7.0,85.0,801.0,-1.0,169.0,16.0,no,4540.0,392.0,76532.39
11.0,97.0,646.0,-1.0,265.0,15.0,no,1257.0,487.0,75481.82
1.0,34.0,459.0,-4.0,282.0,19.0,yes,236.0,484.0,70797.43
6.0,37.0,401.0,-2.0,230.0,14.0,no,1069.0,46.0,77026.29
2.0,92.0,370.0,-5.0,252.0,5.0,no,655.0,296.0,71909.945
5.0,121.0,314.0,-1.0,278.0,12.0,no,3572.0,191.0,76748.086
11.0,128.0,1024.0,-5.0,100.0,20.0,yes,0.0,500.0,77142.086
9.0,36.0,896.0,-3.0,153.0,5.0,yes,2029.0,394.0,76549.805
6.0,124.0,987.0,-3.0,115.0,13.0,no,4542.0,290.0,77966.18
4.0,89.0,919.0,-3.0,239.0,5.0,no,4376.0,452.0,76870.75
7.0,85.0,801.0,-1.0,169.0,16.0,no,4540.0,392.0,76532.39
11.0,97.0,646.0,-1.0,265.0,15.0,no,1257.0,436.0,75823.68
1.0,34.0,459.0,-4.0,282.0,19.0,yes,236.0,484.0,70797.43
6.0,37.0,401.0,-2.0,230.0,14.0,no,1069.0,46.0,77026.29
2.0,92.0,370.0,-5.0,252.0,5.0,no,655.0,296.0,71909.945
5.0,121.0,314.0,-1.0,278.0,12.0,no,3572.0,191.0,76748.086
11.0,128.0,1024.0,-5.0,100.0,20.0,yes,0.0,500.0,77142.086
9.0,36.0,896.0,-3.0,153.0,5.0,yes,2029.0,394.0,76549.805
6.0,124.0,987.0,-3.0,115.0,13.0,no,4542.0,290.0,77966.18
4.0,89.0,919.0,-3.0,239.0,5.0,no,4376.0,452.0,76870.75
7.0,85.0,801.0,-1.0,169.0,16.0,no,4540.0,392.0,76532.39
11.0,97.0,646.0,-1.0,265.0,15.0,no,1257.0,436.0,75823.68
1.0,34.0,459.0,-4.0,282.0,20.0,yes,236.0,459.0,70671.15
6.0,37.0,401.0,-2.0,230.0,14.0,no,1069.0,46.0,77026.29
2.0,92.0,370.0,-5.0,252.0,5.0,no,655.0,296.0,71909.945
5.0,121.0,314.0,-1.0,278.0,12.0,no,3572.0,191.0,76748.086
11.0,128.0,1024.0,-5.0,100.0,20.0,yes,0.0,500.0,77142.086
9.0,36.0,896.0,-3.0,153.0,5.0,yes,2029.0,394.0,76549.805
6.0,124.0,987.0,-3.0,115.0,13.0,no,4542.0,290.0,77966.18
4.0,89.0,919.0,-3.0,239.0,5.0,no,4376.0,452.0,76870.75
7.0,85.0,801.0,-1.0,169.0,16.0,no,4540.0,392.0,76532.39
11.0,97.0,646.0,-1.0,265.0,15.0,no,2707.0,436.0,75322.08
1.0,34.0,459.0,-4.0,282.0,20.0,yes,236.0,459.0,70671.15
