replBacklogSize,hashMaxZiplistValue,hashMaxZiplistEntries,listMaxZiplistSize,activeDefragIgnoreBytes,activeDefragThresholdLower,replDisableTcpNodelay,hllSparseMaxBytes,hz,PERF
11,128,784,-5,300,5,yes,3299,355,86877.96
11,128,979,-5,300,20,yes,2842,357,82702.22333333331
10,87,532,-3,153,16,no,846,115,82253.98333333334
7,128,452,-4,229,20,no,1458,252,81985.72333333331
11,128,1024,-3,300,20,yes,1582,168,80578.02333333332
11,128,1002,-5,300,20,yes,4429,457,80578.02333333332
10,91,548,-5,185,15,yes,1301,157,80245.79000000001
11,128,760,-3,265,20,yes,3371,325,79378.41333333332
5,78,445,-3,163,17,no,940,122,79370.93333333332
11,128,1024,-3,300,10,yes,5000,501,79114.03000000001
