replBacklogSize,hashMaxZiplistValue,hashMaxZiplistEntries,listMaxZiplistSize,activeDefragIgnoreBytes,activeDefragThresholdLower,replDisableTcpNodelay,hllSparseMaxBytes,hz,PERF
6.0,66.0,306.0,0.0,-1.0,100.0,no,5.0,1.0,80345.9921875
6.0,74.0,303.0,0.0,-1.0,100.0,no,5.0,1.0,80345.9921875
6.0,46.0,294.0,0.0,-1.0,100.0,no,5.0,1.0,80345.9921875
6.0,45.0,297.0,0.0,-1.0,100.0,no,5.0,1.0,80345.9921875
6.0,54.0,299.0,0.0,-1.0,100.0,no,5.0,1.0,80345.9921875
6.0,63.0,305.0,0.0,-1.0,100.0,no,5.0,1.0,80345.9921875
6.0,49.0,304.0,0.0,-1.0,100.0,no,5.0,1.0,80345.9921875
6.0,40.0,294.0,0.0,-1.0,100.0,no,5.0,1.0,80345.9921875
6.0,68.0,308.0,0.0,-1.0,100.0,no,5.0,1.0,80345.9921875
6.0,61.0,306.0,0.0,-1.0,100.0,no,5.0,1.0,80345.9921875
