replBacklogSize,hashMaxZiplistValue,hashMaxZiplistEntries,listMaxZiplistSize,activeDefragIgnoreBytes,activeDefragThresholdLower,replDisableTcpNodelay,hllSparseMaxBytes,hz,PERF
11,125,549,-5,265,20,yes,1546,314,76855.55
2,92,328,-3,280,11,no,2328,110,79126.34999999999
4,82,258,-3,289,18,no,4390,38,75999.65000000001
1,36,665,-5,187,16,no,1653,448,74982.22666666667
8,106,377,-5,299,17,no,213,99,72451.72666666667
11,39,912,-5,274,12,no,181,301,72839.73666666668
5,117,599,-4,272,8,yes,1832,258,77142.85666666667
5,37,693,-4,167,11,yes,4989,499,74571.75
1,126,818,-3,159,19,no,4317,131,67935.83333333333
5,122,728,-4,280,12,yes,4078,461,76051.32
7,106,816,-5,242,11,yes,791,320,78428.31
11,46,270,-2,269,10,no,45,312,75424.38
7,59,772,-5,155,16,no,1430,231,76273.45333333335
8,86,901,-3,149,5,no,1447,430,78800.91333333334
1,95,426,-4,168,14,no,4953,245,78554.41333333333
4,126,773,-1,186,7,no,3337,255,74578.73666666666
10,54,455,-2,144,10,no,1805,149,75412.25333333334
11,111,442,-3,106,11,yes,4317,251,68972.03333333334
10,46,326,-2,169,8,yes,3318,78,81315.11666666667
2,117,865,-5,169,6,yes,103,297,78565.02
9,118,273,-3,123,10,yes,4261,501,72695.45
1,93,558,-1,193,14,no,1310,440,71068.16666666667
5,69,678,-5,137,12,no,3743,222,74416.65999999999
2,50,463,-5,239,13,no,544,337,77880.59000000001
7,40,931,-3,288,18,no,637,52,75435.22333333333
8,45,830,-5,280,15,no,2020,398,72826.76333333335
7,114,967,-3,139,10,yes,4751,203,78308.93000000001
11,52,487,-3,181,18,no,3851,418,73176.84666666666
7,78,752,-4,243,16,no,4995,164,76876.10333333333
8,77,764,-5,246,13,no,976,93,73845.97
7,127,962,-2,186,14,no,1726,154,73244.65000000001
6,45,423,-2,199,9,no,4683,120,71541.98
4,91,872,-1,227,10,yes,3540,361,72232.48
11,76,276,-5,173,15,yes,606,253,74918.89333333333
6,89,1016,-3,269,16,no,577,335,79252.28333333334
1,114,791,-2,129,20,yes,1997,348,80921.25666666667
3,35,272,-2,255,19,yes,2944,300,78548.12666666666
8,37,854,-2,143,7,yes,1208,495,70492.39333333333
6,60,1004,-2,126,10,yes,4189,371,85741.0
7,109,317,-3,128,20,no,873,376,73120.07666666666
3,89,920,-2,239,5,yes,4375,451,72533.57666666668
7,41,358,-1,126,17,yes,2252,167,74501.59333333334
4,33,708,-4,292,15,no,3856,243,72466.30666666666
7,79,462,-4,297,5,yes,2301,144,74367.73
2,88,579,-5,119,11,no,4215,1,73592.74
10,113,486,-4,276,16,yes,729,38,72720.61
2,93,717,-4,146,6,yes,4971,151,74256.84000000001
4,121,573,-1,165,8,no,833,30,75690.25333333334
4,118,794,-5,154,7,no,1970,64,77637.58666666667
3,74,500,-1,256,19,no,226,253,66471.61333333333
1,76,660,-1,262,13,yes,2871,129,72887.29333333333
6,108,834,-1,294,14,no,3465,4,76109.79666666668
11,118,966,-4,274,6,yes,4057,253,75246.91000000002
8,51,385,-4,146,15,yes,4125,84,74486.97333333334
4,33,615,-5,119,15,yes,4678,39,71479.12666666666
5,40,585,-4,228,19,yes,3641,305,72493.78333333334
7,61,831,-5,253,18,no,4979,439,81132.51
9,89,444,-3,197,13,yes,1182,401,79045.17
6,70,655,-2,240,10,no,4389,490,75455.84333333334
11,54,591,-2,191,13,no,4139,470,74205.21666666667
7,114,757,-3,119,13,no,3624,354,76817.93333333333
4,57,354,-2,200,17,no,2578,133,77754.47
11,98,645,-2,266,15,no,1257,486,76178.31666666667
4,79,414,-2,169,14,no,3021,435,73338.10333333333
4,117,861,-3,124,16,no,2097,431,73753.40666666668
8,73,638,-2,241,8,no,434,461,76301.43000000001
3,47,742,-4,259,14,yes,261,277,76467.67666666667
10,46,983,-3,121,8,no,3770,77,69297.37666666666
9,81,906,-5,236,12,no,790,120,70489.00333333333
5,46,642,-2,245,5,no,2843,360,78690.73
9,55,925,-1,228,17,yes,4361,397,80172.72333333333
7,43,300,-5,222,10,yes,4905,361,75768.99666666667
6,34,1005,-5,129,14,yes,569,405,76148.97666666667
8,90,625,-2,297,8,yes,331,363,77990.45
5,104,818,-4,210,14,yes,3762,324,71504.17
6,33,568,-5,276,18,no,3989,230,69417.06999999999
7,44,287,-4,114,18,yes,28,320,75566.86666666667
5,74,370,-3,161,5,yes,2899,119,75849.89666666667
8,49,742,-2,238,17,yes,3109,5,75480.06333333334
3,76,361,-2,218,7,yes,4381,486,67655.29
2,59,488,-2,130,5,no,4707,30,74140.42666666667
4,119,444,-1,279,12,no,1194,78,77310.64
11,55,817,-5,285,18,yes,3956,91,71948.63333333335
7,124,622,-4,152,8,yes,1578,295,72433.11666666665
10,71,340,-2,148,19,no,135,288,76209.04000000001
2,60,496,-3,232,5,no,988,417,72624.96
9,81,822,-2,239,5,no,2855,114,71249.22666666667
5,93,389,-3,219,8,no,608,353,77785.67666666667
11,104,292,-5,139,19,no,4274,107,74354.73
5,120,347,-1,106,15,no,4277,77,71101.01000000001
1,65,1015,-1,128,6,yes,1231,222,73975.20000000001
11,76,468,-5,243,13,no,172,383,77504.77
10,62,408,-2,266,9,yes,4644,444,71311.7
8,53,330,-3,126,18,no,3298,349,81469.17333333334
3,65,878,-1,269,7,yes,2677,211,75250.66666666667
1,66,813,-4,209,7,yes,3782,467,76677.33666666667
10,118,795,-1,146,8,no,2269,169,78215.67666666667
2,63,718,-2,196,6,yes,3912,359,70371.35
10,120,479,-1,187,19,yes,4107,215,73107.72
6,36,489,-1,122,20,no,4442,335,72623.99333333333
5,121,963,-2,104,14,no,624,34,77465.83666666667
6,51,262,-1,277,10,no,841,20,76356.84999999999
5,54,383,-4,259,16,yes,2872,81,72414.47666666667
9,38,312,-2,185,12,no,3955,307,71989.70666666667
10,77,344,-3,116,5,no,193,282,73642.40666666668
11,66,899,-5,286,8,yes,4680,40,75785.41666666667
10,58,929,-4,110,9,yes,456,48,74663.28333333334
3,71,332,-4,137,11,yes,2565,276,68528.99333333333
5,41,390,-4,161,13,yes,4934,389,72802.97666666667
1,128,592,-2,110,16,no,472,15,75439.67666666668
5,89,419,-4,139,11,no,2213,475,70044.34
5,84,313,-4,152,12,no,2444,365,80436.60333333333
10,100,930,-5,216,15,no,2078,64,82339.63666666666
10,37,957,-5,132,12,yes,2486,328,73693.58666666666
7,115,299,-3,162,12,yes,457,96,72538.57666666668
5,87,1015,-4,187,10,no,3080,464,73366.24333333333
6,98,944,-5,211,15,no,1311,26,73226.68000000001
4,47,968,-3,210,12,yes,3225,245,71949.95
1,68,410,-1,200,7,yes,103,405,69769.22000000002
7,113,738,-1,213,19,no,2768,344,69779.40333333334
9,78,502,-1,295,16,no,4697,186,72570.94333333333
7,81,297,-3,152,7,yes,550,372,72583.00666666667
4,84,565,-3,179,6,no,1067,341,73580.70000000001
5,70,1011,-2,218,17,yes,4772,231,76605.85666666667
4,78,258,-3,291,17,no,603,67,69927.82
11,122,456,-2,199,10,no,128,212,78360.8
11,85,259,-1,110,14,no,4574,496,71837.38666666667
11,91,351,-1,177,16,no,1088,221,81560.55333333333
1,127,623,-1,247,5,yes,1090,259,76386.34666666666
4,104,791,-2,178,11,yes,227,150,66909.7
2,102,467,-2,279,13,yes,473,386,71621.74
11,44,594,-2,142,15,no,4355,367,78833.29333333333
8,38,767,-4,192,9,yes,3448,403,70362.64333333334
7,102,764,-5,106,6,yes,19,82,73914.04666666668
2,90,414,-1,196,10,no,1207,244,76333.61333333333
9,52,452,-1,254,9,no,4431,260,71781.08333333333
6,94,741,-1,293,20,no,988,178,71228.91000000002
8,48,313,-4,150,17,yes,2179,53,73077.35333333333
10,112,659,-1,118,14,yes,1020,248,76267.14666666667
6,107,455,-4,286,8,yes,2090,99,73047.77666666667
4,109,605,-1,295,19,yes,2084,482,72893.45
8,89,626,-2,239,10,yes,1309,322,77594.63
11,64,712,-5,130,12,yes,811,115,73729.88
7,53,994,-4,197,9,no,1620,197,62116.93333333333
8,104,479,-2,221,19,no,1968,219,76228.42333333332
8,126,1014,-1,222,13,no,1407,403,78186.59000000001
5,126,994,-3,293,6,no,4586,242,73549.46
6,56,983,-4,235,17,no,1144,262,75557.40333333334
4,99,839,-5,268,16,no,4445,227,74915.49333333333
2,114,395,-5,140,15,no,4243,3,70281.23333333334
8,47,666,-3,116,16,no,889,335,66405.90000000001
7,38,1004,-5,245,14,yes,4420,115,84895.37
7,47,811,-4,178,20,yes,641,159,72798.65
3,108,694,-5,290,19,yes,1244,442,71189.23
3,90,298,-4,281,7,yes,2178,292,73187.34
10,56,888,-5,174,8,no,4320,121,74134.27
8,108,629,-3,167,16,yes,1578,340,74596.52
4,58,762,-3,174,16,yes,941,150,70061.72666666667
1,70,933,-3,230,14,no,58,467,73003.07333333335
2,55,1003,-2,262,7,no,3734,191,77362.74666666666
1,105,617,-4,213,8,yes,2406,306,71135.05333333333
3,114,558,-1,246,17,yes,696,251,74713.84000000001
8,38,698,-5,119,18,yes,4856,92,76073.78333333334
11,99,296,-2,287,5,no,3442,90,77643.32
7,35,936,-2,101,12,yes,3530,387,71360.88333333335
6,91,571,-5,234,10,yes,4880,349,76851.51666666666
4,59,717,-5,140,9,no,2920,230,72048.29666666666
3,79,711,-5,258,5,yes,2642,466,74802.07333333335
4,59,764,-5,284,12,no,1908,332,80474.65333333334
5,103,410,-3,260,13,no,1272,213,77276.28333333334
2,122,645,-5,113,7,no,3645,169,74971.31
9,111,666,-5,191,16,no,2704,82,77951.75333333334
10,56,651,-2,214,12,yes,2936,243,79091.53
5,117,779,-2,192,8,no,3881,211,67293.28000000001
6,91,796,-1,247,11,no,4422,157,75728.13333333335
9,113,862,-3,122,20,no,3331,256,72803.32333333335
2,41,581,-2,203,6,yes,1129,371,77986.04333333333
6,110,974,-5,180,6,yes,241,433,69517.26333333334
11,38,930,-1,153,6,yes,3990,441,72434.22666666667
5,93,635,-2,177,7,yes,1797,290,70921.98
11,75,1000,-5,126,10,yes,3931,121,73547.79666666668
10,79,778,-5,111,16,yes,4677,498,79390.59666666668
8,110,779,-5,230,5,yes,362,361,75300.97333333334
1,120,985,-4,254,8,no,216,464,74436.28666666667
1,88,980,-3,269,10,yes,1200,311,80679.19333333334
2,51,397,-2,279,16,no,4247,108,73897.88
10,68,620,-4,175,13,yes,2754,203,66555.33
7,94,882,-5,149,15,no,3755,47,74507.34333333334
6,106,886,-4,140,10,no,345,60,69426.77666666667
