executorCores,executorMemory,memoryFraction,memoryStorageFraction,defaultParallelism,shuffleCompress,shuffleSpillCompress,broadcastCompress,rddCompress,ioCompressionCodec,reducerMaxSizeInFlight,shuffleFileBuffer,serializer,PERF
2,1094,0.4173327619333424,0.5423916694250466,2,True,False,False,False,lzf,8,13,org.apache.spark.serializer.KryoSerializer,2351
2,1044,0.44503694037325214,0.47247087523107595,1,True,False,False,True,lzf,9,14,org.apache.spark.serializer.KryoSerializer,2076
2,1046,0.38430508786058887,0.4601061417384083,2,True,False,False,False,lzf,11,14,org.apache.spark.serializer.JavaSerializer,2376
2,1083,0.4064972969749505,0.5348589282309362,2,True,False,False,False,lzf,9,13,org.apache.spark.serializer.KryoSerializer,2169
2,1070,0.4530411501925382,0.56488379433711,2,True,False,False,False,lzf,9,13,org.apache.spark.serializer.JavaSerializer,2177
3,1040,0.3556133674629339,0.6229621108634997,5,True,True,True,True,lzf,30,23,org.apache.spark.serializer.JavaSerializer,2960
3,1041,0.3558636601185278,0.6361548883608543,4,True,False,False,False,lzf,29,22,org.apache.spark.serializer.JavaSerializer,2930
3,1024,0.31463523331815746,0.6194180301351743,5,True,False,False,True,lzf,28,22,org.apache.spark.serializer.JavaSerializer,2880
3,1054,0.3570075672166223,0.634768855354717,5,True,True,True,True,lzf,32,24,org.apache.spark.serializer.JavaSerializer,2982
2,1024,0.2636821864876796,0.6083626639398133,5,True,False,False,False,lzf,30,23,org.apache.spark.serializer.JavaSerializer,2182
3,1024,0.3629492224206573,0.660503495123223,5,True,False,False,False,lzf,32,16,org.apache.spark.serializer.JavaSerializer,2894
3,1092,0.4234594001536519,0.6851765893416637,5,True,True,True,False,lzf,41,17,org.apache.spark.serializer.JavaSerializer,3015
3,1038,0.40044178474264647,0.6531595468557385,5,True,True,True,False,lzf,34,18,org.apache.spark.serializer.JavaSerializer,2881
3,1024,0.3614946993842638,0.6221278322405664,5,True,True,True,True,lzf,32,20,org.apache.spark.serializer.JavaSerializer,2837
3,1024,0.38864297422676347,0.6161220440056964,5,True,True,True,False,lzf,34,22,org.apache.spark.serializer.JavaSerializer,2795
3,1024,0.3728707009333616,0.5660184745874492,5,True,True,False,False,lzf,39,25,org.apache.spark.serializer.JavaSerializer,2913
3,1024,0.4388821793487412,0.5668079032532325,4,True,False,False,False,lzf,33,20,org.apache.spark.serializer.JavaSerializer,2922
3,1024,0.374486498830355,0.600838368454118,4,True,False,False,False,lzf,38,20,org.apache.spark.serializer.JavaSerializer,3002
3,1045,0.37966654176612313,0.593969059708116,4,True,True,False,False,lzf,45,22,org.apache.spark.serializer.JavaSerializer,3030
3,1024,0.3999769119704683,0.6441553735775589,3,True,False,False,False,lzf,25,11,org.apache.spark.serializer.JavaSerializer,3078
