executorCores,executorMemory,memoryFraction,memoryStorageFraction,defaultParallelism,shuffleCompress,shuffleSpillCompress,broadcastCompress,rddCompress,ioCompressionCodec,reducerMaxSizeInFlight,shuffleFileBuffer,serializer,PERF
3,1024,0.5363844969323796,0.6965059945467176,1,False,True,True,True,lz4,13,14,org.apache.spark.serializer.JavaSerializer,3229
4,1024,0.5759217572293585,0.9,1,False,True,True,True,lz4,9,15,org.apache.spark.serializer.JavaSerializer,3150
4,1024,0.4158423874839281,0.9,1,False,True,True,True,lz4,8,24,org.apache.spark.serializer.JavaSerializer,2943
4,1024,0.12656752439679897,0.9,1,False,True,True,True,lz4,8,59,org.apache.spark.serializer.JavaSerializer,3036
4,1024,0.1,0.9,1,False,True,True,True,lz4,8,64,org.apache.spark.serializer.JavaSerializer,3050
2,1024,0.5370516657203709,0.45863059637604325,7,False,False,False,True,lzf,8,8,org.apache.spark.serializer.KryoSerializer,2265
2,1024,0.5272473113999914,0.47948747822788296,7,False,False,False,True,lz4,8,8,org.apache.spark.serializer.JavaSerializer,2256
2,1024,0.5406272191011514,0.4504102791672775,7,False,False,False,True,lzf,8,8,org.apache.spark.serializer.KryoSerializer,2147
2,1034,0.5293842920467198,0.483043457713464,7,False,False,False,True,lz4,8,8,org.apache.spark.serializer.JavaSerializer,2368
1,1024,0.5532836791280066,0.3518772046158015,10,True,False,False,True,lzf,8,8,org.apache.spark.serializer.KryoSerializer,1282
2,2830,0.6589305452777419,0.5560219205465053,12,False,True,True,True,lz4,34,64,org.apache.spark.serializer.JavaSerializer,2368
3,1856,0.6188690937359941,0.3876965650980441,9,False,False,True,True,lz4,19,64,org.apache.spark.serializer.JavaSerializer,3197
3,2224,0.5496991399218818,0.6941535642425969,12,False,True,True,True,lz4,27,64,org.apache.spark.serializer.JavaSerializer,2941
3,1946,0.5460927049327227,0.5680970840720238,11,False,False,True,True,lz4,23,64,org.apache.spark.serializer.JavaSerializer,3021
3,1825,0.5964362777880516,0.4200555227087233,9,False,False,True,True,lz4,19,64,org.apache.spark.serializer.JavaSerializer,3006
4,1342,0.286727168698635,0.6771478525754038,1,False,True,True,True,lz4,92,8,org.apache.spark.serializer.JavaSerializer,3156
4,1172,0.3117587977033575,0.5995093254854531,2,False,True,True,True,lz4,58,8,org.apache.spark.serializer.JavaSerializer,2996
4,1391,0.26833934858652925,0.7033878527234189,1,False,True,True,True,lz4,96,8,org.apache.spark.serializer.JavaSerializer,3114
4,1024,0.1,0.9,1,False,True,True,True,lz4,96,8,org.apache.spark.serializer.JavaSerializer,3218
4,1190,0.3545669116262819,0.6201909832957747,1,False,True,True,True,lz4,47,8,org.apache.spark.serializer.JavaSerializer,2701
1,1024,0.6252586377342976,0.1859191492537742,10,True,False,False,False,lzf,14,60,org.apache.spark.serializer.KryoSerializer,1466
2,1024,0.5952701328483401,0.27099637901269713,8,True,False,False,False,lzf,14,51,org.apache.spark.serializer.KryoSerializer,2290
