executorCores,executorMemory,memoryFraction,memoryStorageFraction,defaultParallelism,shuffleCompress,shuffleSpillCompress,broadcastCompress,rddCompress,ioCompressionCodec,reducerMaxSizeInFlight,shuffleFileBuffer,serializer,PERF
4,1024,0.1,0.6344304623878092,2,False,False,False,True,snappy,8,8,org.apache.spark.serializer.KryoSerializer,1017
3,1026,0.8635522889699853,0.7650963820278882,2,True,False,False,False,lz4,11,62,org.apache.spark.serializer.JavaSerializer,1014
4,1024,0.4834825018290653,0.7745840265240841,3,False,False,False,False,lzf,28,30,org.apache.spark.serializer.JavaSerializer,1007
4,1640,0.5772433709542898,0.7797937225979555,3,False,False,False,False,lzf,31,55,org.apache.spark.serializer.JavaSerializer,1005
3,1741,0.634299383893911,0.8068347459078296,3,False,False,False,False,lzf,34,61,org.apache.spark.serializer.JavaSerializer,1005
4,1033,0.4874518496416851,0.6641574166382499,2,False,False,False,False,lzf,16,49,org.apache.spark.serializer.JavaSerializer,1004
3,1077,0.756952453974577,0.7799145732218067,2,True,False,False,False,lz4,21,57,org.apache.spark.serializer.JavaSerializer,1003
4,1024,0.3961291097648124,0.7780851996168957,4,False,True,True,True,lzf,52,43,org.apache.spark.serializer.JavaSerializer,1003
4,1024,0.9,0.9,1,True,False,False,False,lz4,8,64,org.apache.spark.serializer.JavaSerializer,1003
4,1600,0.5596459255494166,0.7704704765186654,3,False,False,False,False,lzf,30,53,org.apache.spark.serializer.JavaSerializer,999
