executorCores,executorMemory,memoryFraction,memoryStorageFraction,defaultParallelism,shuffleCompress,shuffleSpillCompress,broadcastCompress,rddCompress,ioCompressionCodec,reducerMaxSizeInFlight,shuffleFileBuffer,serializer,PERF
4,1024,0.9,0.1,12,False,True,True,True,snappy,8,64,org.apache.spark.serializer.KryoSerializer,913
1,4096,0.1,0.9,1,True,False,False,False,lz4,70,8,org.apache.spark.serializer.JavaSerializer,1004
4,1024,0.9,0.1,10,False,True,True,True,snappy,8,64,org.apache.spark.serializer.KryoSerializer,856
1,3140,0.1,0.9,1,True,False,False,False,lz4,43,8,org.apache.spark.serializer.JavaSerializer,709
4,1024,0.9,0.1,12,False,True,True,True,snappy,8,64,org.apache.spark.serializer.KryoSerializer,909
1,2037,0.1,0.7976734124086392,3,True,False,False,False,lz4,20,8,org.apache.spark.serializer.JavaSerializer,484
1,4096,0.1,0.9,5,False,True,False,False,lz4,40,8,org.apache.spark.serializer.JavaSerializer,948
2,1455,0.23113256334020105,0.5334017555750143,3,True,False,False,False,lz4,15,8,org.apache.spark.serializer.JavaSerializer,704
1,1923,0.1,0.664754125786424,4,True,False,False,False,lz4,25,8,org.apache.spark.serializer.JavaSerializer,490
1,1744,0.1390876852114411,0.6688516555668862,3,False,True,False,False,lz4,16,8,org.apache.spark.serializer.JavaSerializer,495
1,1032,0.1,0.8407392210558142,1,True,True,False,False,lz4,96,8,org.apache.spark.serializer.JavaSerializer,437
1,1024,0.1,0.9,1,True,True,False,False,lz4,96,8,org.apache.spark.serializer.JavaSerializer,374
1,1024,0.1,0.9,1,True,False,False,False,lz4,96,8,org.apache.spark.serializer.JavaSerializer,365
1,1024,0.1,0.9,1,True,True,False,False,lz4,96,8,org.apache.spark.serializer.JavaSerializer,431
4,1892,0.9,0.1,12,False,False,True,True,snappy,8,64,org.apache.spark.serializer.KryoSerializer,856
1,1024,0.45612082604266924,0.364902198326523,9,False,False,False,False,lz4,8,8,org.apache.spark.serializer.JavaSerializer,341
1,1024,0.5867278614739833,0.3349383034798278,9,False,True,False,False,lz4,8,8,org.apache.spark.serializer.JavaSerializer,369
1,1024,0.3150518836180044,0.20793314583477257,8,False,False,False,False,lz4,8,8,org.apache.spark.serializer.JavaSerializer,387
1,1024,0.5596718202682848,0.3394407240181172,9,False,False,False,False,lz4,8,8,org.apache.spark.serializer.JavaSerializer,375
1,1024,0.48407822797217037,0.17631840667124787,11,False,False,False,False,lz4,8,8,org.apache.spark.serializer.JavaSerializer,330
4,1024,0.9,0.1,1,False,True,False,True,snappy,96,29,org.apache.spark.serializer.KryoSerializer,1009
4,1024,0.9,0.3285386588139839,2,False,True,False,True,lzf,71,11,org.apache.spark.serializer.KryoSerializer,958
4,1024,0.9,0.1,1,True,True,False,True,snappy,41,8,org.apache.spark.serializer.KryoSerializer,909
1,4096,0.1,0.7508429171161364,12,False,False,False,False,lz4,96,23,org.apache.spark.serializer.JavaSerializer,916
4,1024,0.9,0.2961817314298326,1,False,True,False,True,snappy,96,15,org.apache.spark.serializer.KryoSerializer,935
4,1024,0.1,0.4988069152218897,8,True,False,True,False,lz4,18,8,org.apache.spark.serializer.JavaSerializer,938
4,1024,0.1,0.7037131852886054,7,True,False,True,False,lz4,17,8,org.apache.spark.serializer.JavaSerializer,939
4,1024,0.1,0.5369951373996028,7,True,False,True,False,lz4,16,8,org.apache.spark.serializer.JavaSerializer,991
4,1024,0.1,0.5355878306467581,6,True,False,True,False,lz4,15,8,org.apache.spark.serializer.JavaSerializer,969
4,1024,0.1,0.9,10,True,False,True,False,lz4,28,8,org.apache.spark.serializer.JavaSerializer,908
4,1024,0.6780044895905059,0.44889480682214533,2,False,True,False,True,lzf,84,8,org.apache.spark.serializer.KryoSerializer,997
4,1024,0.7905185801762723,0.39680125957009776,2,False,True,False,True,lzf,84,8,org.apache.spark.serializer.KryoSerializer,925
