executorCores,executorMemory,memoryFraction,memoryStorageFraction,defaultParallelism,shuffleCompress,shuffleSpillCompress,broadcastCompress,rddCompress,ioCompressionCodec,reducerMaxSizeInFlight,shuffleFileBuffer,serializer,PERF
1.0,1323.0,0.6182012702975008,0.34176931949760775,6.0,True,False,False,False,lzf,30.0,35.0,org.apache.spark.serializer.KryoSerializer,1616.52392578125
2.0,1594.0,0.564003114658129,0.4142836751707492,2.0,True,True,True,True,snappy,72.0,24.0,org.apache.spark.serializer.JavaSerializer,-1.0
1.0,1407.0,0.5861874178094064,0.34856356653231435,5.0,True,True,False,False,lzf,43.0,32.0,org.apache.spark.serializer.KryoSerializer,-1.0
1.0,1322.0,0.5824310507876103,0.36768803452805515,7.0,True,True,False,False,lzf,23.0,34.0,org.apache.spark.serializer.KryoSerializer,-1.0
2.0,1565.0,0.49466352947241277,0.5192514697254026,7.0,True,True,False,False,lzf,38.0,19.0,org.apache.spark.serializer.KryoSerializer,-1.0
2.0,1024.0,0.28407913741522445,0.11750370372870157,6.0,False,False,False,True,lz4,15.0,10.0,org.apache.spark.serializer.JavaSerializer,1639.3470458984375
2.0,1024.0,0.2550217486033392,0.14073323970943463,7.0,False,False,False,True,lz4,18.0,10.0,org.apache.spark.serializer.JavaSerializer,1613.43359375
1.0,1024.0,0.3872643908285412,0.40496658601034086,11.0,True,True,False,False,lz4,18.0,12.0,org.apache.spark.serializer.KryoSerializer,-1.0
1.0,4096.0,0.9,0.9,12.0,True,True,True,False,snappy,8.0,64.0,org.apache.spark.serializer.KryoSerializer,-1.0
2.0,1024.0,0.3516698656208599,0.35868469088555294,10.0,True,True,False,False,lz4,21.0,12.0,org.apache.spark.serializer.KryoSerializer,-1.0
1.0,1024.0,0.43749990412407075,0.6802084889980583,12.0,True,True,False,False,lz4,8.0,12.0,org.apache.spark.serializer.KryoSerializer,-1.0
