executorCores,executorMemory,memoryFraction,memoryStorageFraction,defaultParallelism,shuffleCompress,shuffleSpillCompress,broadcastCompress,rddCompress,ioCompressionCodec,reducerMaxSizeInFlight,shuffleFileBuffer,serializer,PERF
2.0,1154.0,0.7108975932229323,0.44901750290937886,6.0,True,True,True,True,lz4,11.0,9.0,org.apache.spark.serializer.JavaSerializer,2339.323486328125
3.0,1343.0,0.883021352765913,0.7358173484671287,7.0,True,True,True,True,lzf,12.0,8.0,org.apache.spark.serializer.JavaSerializer,-1.0
1.0,1024.0,0.5897545927141135,0.2210743698563429,5.0,True,False,False,False,snappy,9.0,12.0,org.apache.spark.serializer.KryoSerializer,-1.0
1.0,1024.0,0.6207736185072056,0.2795136896693024,6.0,True,False,False,False,snappy,9.0,12.0,org.apache.spark.serializer.KryoSerializer,-1.0
2.0,1155.0,0.7249645075057192,0.4526737287003019,6.0,True,False,True,True,lz4,10.0,9.0,org.apache.spark.serializer.JavaSerializer,-1.0
2.0,1182.0,0.7474963223878458,0.4987102858041205,6.0,True,True,True,True,lz4,11.0,9.0,org.apache.spark.serializer.JavaSerializer,-1.0
1.0,1075.0,0.6623827146937222,0.3432706769827756,6.0,True,False,False,False,lz4,10.0,11.0,org.apache.spark.serializer.KryoSerializer,-1.0
2.0,1134.0,0.700921604168051,0.42925892124344234,6.0,True,False,True,True,lz4,10.0,10.0,org.apache.spark.serializer.JavaSerializer,-1.0
1.0,1044.0,0.6375687634132201,0.3067682479622182,6.0,True,False,False,False,lz4,9.0,11.0,org.apache.spark.serializer.KryoSerializer,-1.0
2.0,1196.0,0.7531916851159931,0.5111657184714148,6.0,True,True,True,True,lz4,11.0,9.0,org.apache.spark.serializer.JavaSerializer,-1.0
2.0,1328.0,0.724597603617104,0.6157771178329087,5.0,True,True,True,True,lz4,13.0,11.0,org.apache.spark.serializer.JavaSerializer,-1.0
2.0,1344.0,0.6889871406284892,0.5533608947966605,5.0,True,True,True,True,lz4,12.0,13.0,org.apache.spark.serializer.JavaSerializer,-1.0
2.0,1291.0,0.6927772106591409,0.5513293267691257,5.0,True,True,True,True,lz4,11.0,11.0,org.apache.spark.serializer.JavaSerializer,-1.0
3.0,1369.0,0.7391475766805183,0.648009893601626,6.0,True,True,True,True,lz4,14.0,11.0,org.apache.spark.serializer.JavaSerializer,-1.0
2.0,1342.0,0.6974962264068021,0.5760799227434288,5.0,True,True,True,True,lz4,13.0,12.0,org.apache.spark.serializer.JavaSerializer,-1.0
3.0,1444.0,0.7709820591215739,0.7021345984418869,6.0,True,True,True,True,lz4,13.0,11.0,org.apache.spark.serializer.JavaSerializer,-1.0
2.0,1365.0,0.7241173122822215,0.6119955423789474,5.0,True,True,True,True,lz4,12.0,11.0,org.apache.spark.serializer.JavaSerializer,-1.0
2.0,1375.0,0.7167220211041001,0.5975328812904986,5.0,True,True,True,True,lz4,12.0,12.0,org.apache.spark.serializer.JavaSerializer,-1.0
2.0,1339.0,0.717033173991324,0.6022737766237677,5.0,True,True,True,True,lz4,12.0,11.0,org.apache.spark.serializer.JavaSerializer,-1.0
2.0,1332.0,0.7305929781625835,0.6154965887062642,5.0,True,True,True,True,lz4,12.0,10.0,org.apache.spark.serializer.JavaSerializer,-1.0
2.0,1195.0,0.6326882879604709,0.5078222686642597,6.0,True,True,True,True,lz4,15.0,11.0,org.apache.spark.serializer.JavaSerializer,-1.0
2.0,1245.0,0.6388250404487044,0.5338028024058687,6.0,True,True,True,True,lz4,14.0,11.0,org.apache.spark.serializer.JavaSerializer,-1.0
2.0,1246.0,0.6330883838366758,0.5271693199498404,6.0,True,True,True,True,lz4,14.0,10.0,org.apache.spark.serializer.JavaSerializer,-1.0
2.0,1225.0,0.6350927403497367,0.5252778459622266,6.0,True,True,True,True,lz4,14.0,10.0,org.apache.spark.serializer.JavaSerializer,-1.0
2.0,1350.0,0.6516996701093488,0.5728576787868261,6.0,True,True,True,True,lz4,14.0,10.0,org.apache.spark.serializer.JavaSerializer,-1.0
