executorCores,executorMemory,memoryFraction,memoryStorageFraction,defaultParallelism,shuffleCompress,shuffleSpillCompress,broadcastCompress,rddCompress,ioCompressionCodec,reducerMaxSizeInFlight,shuffleFileBuffer,serializer,PERF
3.0,1381.0,0.5565449240776869,0.49150538956868195,5.0,True,False,True,True,lz4,10.0,11.0,org.apache.spark.serializer.KryoSerializer,-1.0
2.0,1162.0,0.6376441119340509,0.6231803692252413,4.0,True,False,False,False,lzf,11.0,11.0,org.apache.spark.serializer.KryoSerializer,-1.0
3.0,1388.0,0.5256542509205426,0.49913924505961527,3.0,True,False,False,True,lz4,8.0,11.0,org.apache.spark.serializer.KryoSerializer,-1.0
3.0,1434.0,0.5268461858702953,0.4528511810118957,5.0,True,False,True,True,lz4,10.0,11.0,org.apache.spark.serializer.KryoSerializer,-1.0
2.0,1024.0,0.6786503560355002,0.6692730534634125,4.0,True,False,False,False,lzf,13.0,11.0,org.apache.spark.serializer.KryoSerializer,-1.0
2.0,1143.0,0.6519679748551381,0.6427952707081783,4.0,True,False,False,False,lzf,11.0,11.0,org.apache.spark.serializer.KryoSerializer,-1.0
2.0,1188.0,0.5785388242672496,0.5585835578127891,4.0,True,False,False,False,lzf,12.0,11.0,org.apache.spark.serializer.KryoSerializer,-1.0
3.0,1467.0,0.5710666626345279,0.5080545674866455,5.0,True,False,True,True,lz4,8.0,11.0,org.apache.spark.serializer.KryoSerializer,-1.0
3.0,1256.0,0.5472411912331171,0.49451604349968337,4.0,True,False,True,True,lz4,13.0,11.0,org.apache.spark.serializer.KryoSerializer,-1.0
3.0,1361.0,0.5832758069841804,0.5184110110924398,5.0,True,False,True,True,lz4,10.0,11.0,org.apache.spark.serializer.KryoSerializer,-1.0
2.0,1024.0,0.4487462396470003,0.6199793543228117,10.0,True,True,False,False,lzf,22.0,19.0,org.apache.spark.serializer.KryoSerializer,-1.0
2.0,1024.0,0.4767730239786462,0.6636070889102704,8.0,True,True,True,False,lzf,34.0,24.0,org.apache.spark.serializer.JavaSerializer,-1.0
2.0,1024.0,0.4520953176628785,0.6230356246043017,10.0,True,True,False,False,lzf,23.0,19.0,org.apache.spark.serializer.KryoSerializer,-1.0
2.0,1024.0,0.4438453945155327,0.6055328713141844,10.0,True,True,False,False,lzf,18.0,18.0,org.apache.spark.serializer.KryoSerializer,-1.0
2.0,1024.0,0.48163768574978555,0.6647367702794441,8.0,True,True,True,False,lzf,34.0,23.0,org.apache.spark.serializer.JavaSerializer,-1.0
2.0,1024.0,0.47008503782552735,0.6570489069485814,8.0,True,True,True,False,lzf,33.0,23.0,org.apache.spark.serializer.JavaSerializer,-1.0
1.0,1024.0,0.512279943278815,0.7143579869944341,5.0,True,False,True,False,lzf,49.0,29.0,org.apache.spark.serializer.JavaSerializer,-1.0
2.0,1024.0,0.4744653980966542,0.6568359885494182,8.0,True,True,True,False,lzf,32.0,23.0,org.apache.spark.serializer.JavaSerializer,-1.0
1.0,1024.0,0.4925900970901161,0.6838199336700128,7.0,True,False,True,False,lzf,40.0,25.0,org.apache.spark.serializer.JavaSerializer,-1.0
1.0,1024.0,0.508054824742417,0.7125743475052643,6.0,True,False,True,False,lzf,47.0,28.0,org.apache.spark.serializer.JavaSerializer,-1.0
2.0,1055.0,0.26249251880165764,0.49988012870079057,5.0,True,False,False,True,lz4,19.0,15.0,org.apache.spark.serializer.KryoSerializer,-1.0
2.0,1024.0,0.2889605548274554,0.48037596832185736,7.0,True,False,False,True,lz4,20.0,15.0,org.apache.spark.serializer.KryoSerializer,-1.0
2.0,1027.0,0.2590514544481856,0.5720461690386287,4.0,True,False,False,True,lz4,18.0,15.0,org.apache.spark.serializer.KryoSerializer,-1.0
2.0,1077.0,0.2662198159979254,0.4746756015758164,5.0,True,False,False,True,lz4,19.0,15.0,org.apache.spark.serializer.KryoSerializer,-1.0
2.0,1024.0,0.2636678052372124,0.5919134339271769,4.0,True,False,False,True,lz4,18.0,15.0,org.apache.spark.serializer.KryoSerializer,-1.0
1.0,1024.0,0.27537032524082844,0.6064199907590841,5.0,True,False,False,True,lz4,19.0,15.0,org.apache.spark.serializer.KryoSerializer,-1.0
1.0,1024.0,0.2862651441189856,0.5764197128913706,6.0,True,False,False,True,lz4,19.0,14.0,org.apache.spark.serializer.KryoSerializer,-1.0
2.0,1190.0,0.2326236293360541,0.35069069550249965,7.0,True,False,True,True,lz4,19.0,15.0,org.apache.spark.serializer.KryoSerializer,-1.0
2.0,1297.0,0.20281030883203421,0.42065069416807027,3.0,True,False,True,True,lz4,17.0,16.0,org.apache.spark.serializer.KryoSerializer,-1.0
2.0,1086.0,0.25194928708401104,0.46523012134647046,6.0,True,False,False,True,lz4,19.0,15.0,org.apache.spark.serializer.KryoSerializer,-1.0
1.0,1024.0,0.3100880466238062,0.7416726741616613,5.0,True,False,False,True,lz4,18.0,15.0,org.apache.spark.serializer.KryoSerializer,-1.0
1.0,1024.0,0.3120216343086531,0.7144941259532509,6.0,True,False,False,True,lzf,19.0,15.0,org.apache.spark.serializer.KryoSerializer,-1.0
1.0,1024.0,0.43112291078780063,0.16441575702177796,12.0,True,True,False,False,lzf,23.0,14.0,org.apache.spark.serializer.KryoSerializer,-1.0
1.0,1024.0,0.3270658858724623,0.6589527385278242,8.0,True,True,False,False,lzf,19.0,15.0,org.apache.spark.serializer.KryoSerializer,-1.0
1.0,1024.0,0.30942175258209503,0.7488058955946426,5.0,True,False,False,True,lz4,18.0,15.0,org.apache.spark.serializer.KryoSerializer,-1.0
1.0,1024.0,0.309529805061364,0.7289822752914982,5.0,True,False,False,True,lzf,19.0,15.0,org.apache.spark.serializer.KryoSerializer,-1.0
1.0,1024.0,0.3063309999275053,0.7307389265624644,5.0,True,False,False,True,lzf,18.0,15.0,org.apache.spark.serializer.KryoSerializer,-1.0
1.0,1024.0,0.3167265969622324,0.6503615335293074,7.0,True,True,False,False,lzf,19.0,15.0,org.apache.spark.serializer.KryoSerializer,-1.0
1.0,1024.0,0.30626404670959206,0.7722841370880978,4.0,True,False,False,True,lz4,18.0,15.0,org.apache.spark.serializer.KryoSerializer,-1.0
1.0,1024.0,0.3063332258179232,0.7532343906830732,4.0,True,False,False,True,lz4,18.0,15.0,org.apache.spark.serializer.KryoSerializer,-1.0
1.0,1250.0,0.6607097931169552,0.6631074311964716,1.0,True,False,False,False,lzf,16.0,15.0,org.apache.spark.serializer.KryoSerializer,-1.0
2.0,1024.0,0.588877628592088,0.583610023223267,1.0,True,False,False,False,lzf,14.0,15.0,org.apache.spark.serializer.KryoSerializer,-1.0
2.0,1171.0,0.5079267267816023,0.5191656626013246,1.0,True,False,False,False,lz4,12.0,15.0,org.apache.spark.serializer.KryoSerializer,-1.0
2.0,1024.0,0.4989643961788326,0.4982253465003543,1.0,True,False,False,False,lz4,12.0,15.0,org.apache.spark.serializer.KryoSerializer,-1.0
2.0,1128.0,0.5278430971783603,0.5276109110934091,1.0,True,False,False,False,lz4,12.0,15.0,org.apache.spark.serializer.KryoSerializer,-1.0
2.0,1024.0,0.4852466905258231,0.470573381547275,1.0,True,False,False,False,lz4,11.0,15.0,org.apache.spark.serializer.KryoSerializer,-1.0
1.0,1024.0,0.6490672379732836,0.6371139664673497,1.0,True,False,False,False,lzf,16.0,15.0,org.apache.spark.serializer.KryoSerializer,-1.0
1.0,1024.0,0.6506581021439215,0.6373739257884481,2.0,True,False,False,False,lzf,16.0,15.0,org.apache.spark.serializer.KryoSerializer,-1.0
1.0,1246.0,0.671570291542896,0.6788639406190928,1.0,True,False,False,False,lzf,17.0,15.0,org.apache.spark.serializer.KryoSerializer,-1.0
1.0,1088.0,0.6416277654924295,0.6365637535938865,1.0,True,False,False,False,lzf,16.0,15.0,org.apache.spark.serializer.KryoSerializer,-1.0
1.0,1300.0,0.4586693926699722,0.7161780637829303,5.0,True,False,False,False,lzf,27.0,15.0,org.apache.spark.serializer.KryoSerializer,-1.0
2.0,1187.0,0.4686504231913212,0.6002189173198543,5.0,True,False,False,False,lzf,18.0,15.0,org.apache.spark.serializer.KryoSerializer,-1.0
1.0,1309.0,0.4642758300706821,0.6840891944140317,4.0,True,False,False,False,lzf,25.0,15.0,org.apache.spark.serializer.KryoSerializer,-1.0
2.0,1181.0,0.4151646638643838,0.5818768608433924,5.0,True,False,False,False,lzf,22.0,15.0,org.apache.spark.serializer.KryoSerializer,-1.0
2.0,1259.0,0.459663526766369,0.6205591993307711,4.0,True,False,False,False,lzf,24.0,15.0,org.apache.spark.serializer.KryoSerializer,-1.0
2.0,1279.0,0.42908254508659993,0.6538579526109133,4.0,True,False,False,False,lz4,24.0,15.0,org.apache.spark.serializer.KryoSerializer,-1.0
2.0,1159.0,0.3927474969045529,0.5952661979886352,5.0,True,False,False,True,lzf,25.0,15.0,org.apache.spark.serializer.KryoSerializer,-1.0
2.0,1328.0,0.45951992789970353,0.6600632130688107,3.0,True,False,False,False,lz4,23.0,15.0,org.apache.spark.serializer.KryoSerializer,-1.0
2.0,1244.0,0.4658181627864151,0.5914762242860906,4.0,True,False,False,False,lzf,19.0,15.0,org.apache.spark.serializer.KryoSerializer,-1.0
2.0,1291.0,0.4439270274355929,0.6669371114458197,4.0,True,False,False,False,lzf,26.0,15.0,org.apache.spark.serializer.KryoSerializer,-1.0
2.0,1070.0,0.25305130035024453,0.563645995215819,6.0,True,False,False,True,lz4,28.0,14.0,org.apache.spark.serializer.KryoSerializer,-1.0
2.0,1082.0,0.2738384884684158,0.6057192449987946,6.0,True,False,False,True,lz4,25.0,14.0,org.apache.spark.serializer.KryoSerializer,-1.0
2.0,1027.0,0.2627007972043163,0.6193323909359215,6.0,True,False,False,True,lz4,26.0,14.0,org.apache.spark.serializer.KryoSerializer,-1.0
2.0,1102.0,0.2560293536694734,0.5298814636671265,6.0,True,False,False,True,lz4,28.0,14.0,org.apache.spark.serializer.KryoSerializer,-1.0
3.0,1114.0,0.23835576728805238,0.4684028399337686,5.0,True,False,False,True,lz4,31.0,13.0,org.apache.spark.serializer.KryoSerializer,-1.0
2.0,1170.0,0.28342355286192045,0.5719783207288148,7.0,True,False,False,True,lz4,24.0,14.0,org.apache.spark.serializer.KryoSerializer,-1.0
2.0,1213.0,0.31232167759060653,0.6122600911994505,8.0,True,True,False,False,lzf,20.0,14.0,org.apache.spark.serializer.KryoSerializer,-1.0
2.0,1024.0,0.2050928693122707,0.6599363434876868,4.0,True,False,False,True,lz4,30.0,13.0,org.apache.spark.serializer.KryoSerializer,-1.0
3.0,1162.0,0.2268346295771914,0.38975062193242554,5.0,True,False,True,True,lz4,34.0,13.0,org.apache.spark.serializer.KryoSerializer,-1.0
2.0,1089.0,0.26248170773679436,0.5760165971759746,6.0,True,False,False,True,lz4,26.0,14.0,org.apache.spark.serializer.KryoSerializer,-1.0
1.0,1115.0,0.5348845884946691,0.7356660568944684,7.0,True,False,False,False,lzf,17.0,14.0,org.apache.spark.serializer.KryoSerializer,-1.0
1.0,1024.0,0.44377639455119355,0.6737307458289987,7.0,True,False,False,False,lzf,14.0,15.0,org.apache.spark.serializer.KryoSerializer,-1.0
1.0,1024.0,0.4562525314315051,0.6918397903796989,7.0,True,False,False,False,lzf,15.0,15.0,org.apache.spark.serializer.KryoSerializer,-1.0
1.0,1024.0,0.48231232448539735,0.6723765825639916,8.0,True,True,False,False,lzf,14.0,14.0,org.apache.spark.serializer.KryoSerializer,-1.0
1.0,1024.0,0.3996375791887121,0.6538861076564713,7.0,True,True,False,False,lzf,12.0,15.0,org.apache.spark.serializer.KryoSerializer,-1.0
1.0,1024.0,0.49505839068806645,0.7086510534402477,7.0,True,False,False,False,lzf,15.0,14.0,org.apache.spark.serializer.KryoSerializer,-1.0
1.0,1024.0,0.4013830441639932,0.6637157423532718,6.0,True,True,False,False,lzf,13.0,15.0,org.apache.spark.serializer.KryoSerializer,-1.0
1.0,1024.0,0.4081554121503497,0.7024393998509042,6.0,True,False,False,False,lzf,14.0,15.0,org.apache.spark.serializer.KryoSerializer,-1.0
1.0,1440.0,0.5400108812912389,0.8256690084879732,5.0,True,False,False,False,lz4,21.0,14.0,org.apache.spark.serializer.KryoSerializer,-1.0
1.0,1464.0,0.5686147844615612,0.8269710947344663,5.0,True,False,False,False,lzf,22.0,13.0,org.apache.spark.serializer.KryoSerializer,-1.0
1.0,1385.0,0.5076213240201763,0.618986673515098,7.0,True,True,False,False,lzf,9.0,15.0,org.apache.spark.serializer.KryoSerializer,-1.0
1.0,1279.0,0.5284568215043564,0.685557252437425,6.0,True,False,False,False,lzf,12.0,15.0,org.apache.spark.serializer.KryoSerializer,-1.0
1.0,1232.0,0.5274438477105244,0.738105309925063,5.0,True,False,False,False,lzf,15.0,15.0,org.apache.spark.serializer.KryoSerializer,-1.0
1.0,1393.0,0.5066504757386006,0.7073627696404494,7.0,True,False,False,False,lzf,12.0,15.0,org.apache.spark.serializer.KryoSerializer,-1.0
1.0,1286.0,0.5526836996717938,0.6830265947267954,7.0,True,False,False,False,lzf,11.0,15.0,org.apache.spark.serializer.KryoSerializer,-1.0
1.0,1260.0,0.5540940114711174,0.7706741595756182,6.0,True,False,False,False,lzf,15.0,15.0,org.apache.spark.serializer.KryoSerializer,-1.0
1.0,1276.0,0.5125034294042599,0.7184818158956441,5.0,True,False,False,False,lzf,14.0,15.0,org.apache.spark.serializer.KryoSerializer,-1.0
1.0,1384.0,0.5011290585714088,0.7226062847645799,7.0,True,False,False,False,lzf,13.0,15.0,org.apache.spark.serializer.KryoSerializer,-1.0
1.0,1320.0,0.48940587848383527,0.7135145009564249,5.0,True,False,False,False,lzf,14.0,15.0,org.apache.spark.serializer.KryoSerializer,-1.0
1.0,1160.0,0.607311639603569,0.7252078763847868,7.0,True,False,False,False,lzf,13.0,15.0,org.apache.spark.serializer.KryoSerializer,-1.0
