executorCores,executorMemory,memoryFraction,memoryStorageFraction,defaultParallelism,shuffleCompress,shuffleSpillCompress,broadcastCompress,rddCompress,ioCompressionCodec,reducerMaxSizeInFlight,shuffleFileBuffer,serializer,PERF
2.0,4065.0,0.8910635953628722,0.5711020537507089,1.0,True,True,False,True,lzf,27.0,36.0,org.apache.spark.serializer.JavaSerializer,3087.605712890625
2.0,3844.0,0.7971695469811446,0.6333572414518933,4.0,True,True,False,True,lz4,58.0,49.0,org.apache.spark.serializer.JavaSerializer,2748.527587890625
3.0,2854.0,0.7584042528131353,0.2264651432735713,5.0,True,False,True,True,snappy,85.0,57.0,org.apache.spark.serializer.JavaSerializer,2993.26416015625
4.0,3212.0,0.5394886396344502,0.8598815039833532,3.0,True,False,False,False,lz4,74.0,17.0,org.apache.spark.serializer.KryoSerializer,2944.767822265625
1.0,1616.0,0.2199125245086987,0.7127523221670081,7.0,False,False,False,True,snappy,12.0,8.0,org.apache.spark.serializer.KryoSerializer,1570.6876220703125
1.0,3886.0,0.7117657228329006,0.3987452177499097,12.0,False,False,True,False,snappy,70.0,29.0,org.apache.spark.serializer.JavaSerializer,2412.2158203125
4.0,1502.0,0.3667519380848957,0.8346707820702972,4.0,False,True,False,True,lzf,85.0,26.0,org.apache.spark.serializer.KryoSerializer,3119.815673828125
1.0,1637.0,0.2901488007234635,0.5274508588666745,2.0,True,True,True,False,snappy,35.0,64.0,org.apache.spark.serializer.KryoSerializer,2022.2724609375
3.0,2030.0,0.3860677282495584,0.17748861980692388,1.0,True,False,True,True,lz4,54.0,53.0,org.apache.spark.serializer.JavaSerializer,2901.132080078125
1.0,2293.0,0.8778929416610851,0.7279041147121184,10.0,False,True,False,True,lzf,45.0,28.0,org.apache.spark.serializer.JavaSerializer,1557.3623046875
2.0,4065.0,0.8910635953628722,0.5711020537507089,1.0,True,True,False,True,lzf,27.0,36.0,org.apache.spark.serializer.JavaSerializer,3087.605712890625
2.0,3844.0,0.7971695469811446,0.6333572414518933,4.0,True,True,False,True,lz4,58.0,49.0,org.apache.spark.serializer.JavaSerializer,2748.527587890625
3.0,2854.0,0.7584042528131353,0.2264651432735713,5.0,True,False,True,True,snappy,85.0,57.0,org.apache.spark.serializer.JavaSerializer,2993.26416015625
4.0,3212.0,0.5394886396344502,0.8598815039833532,3.0,True,False,False,False,lz4,74.0,17.0,org.apache.spark.serializer.KryoSerializer,2944.767822265625
1.0,1616.0,0.2199125245086987,0.7127523221670081,7.0,False,False,False,True,snappy,12.0,8.0,org.apache.spark.serializer.KryoSerializer,1570.6876220703125
1.0,3886.0,0.7117657228329006,0.3987452177499097,12.0,False,False,True,False,snappy,70.0,29.0,org.apache.spark.serializer.JavaSerializer,2412.2158203125
4.0,1502.0,0.3667519380848957,0.8346707820702972,4.0,False,True,False,True,lzf,85.0,26.0,org.apache.spark.serializer.KryoSerializer,3119.815673828125
1.0,1637.0,0.2901488007234635,0.5274508588666745,2.0,True,True,True,False,snappy,35.0,64.0,org.apache.spark.serializer.KryoSerializer,2022.2724609375
3.0,2030.0,0.3860677282495584,0.17748861980692388,1.0,True,False,True,True,lz4,54.0,53.0,org.apache.spark.serializer.JavaSerializer,2901.132080078125
1.0,2293.0,0.8778929416610851,0.7279041147121184,10.0,False,True,False,True,lzf,45.0,28.0,org.apache.spark.serializer.JavaSerializer,1557.3623046875
2.0,4066.0,0.19843804082073613,0.3982338736338803,2.0,True,False,True,True,lzf,27.0,37.0,org.apache.spark.serializer.JavaSerializer,3301.8193359375
3.0,3026.0,0.7091967287802401,0.9,1.0,True,True,False,True,lz4,59.0,48.0,org.apache.spark.serializer.JavaSerializer,2856.47412109375
4.0,2855.0,0.1,0.1,5.0,True,False,False,True,snappy,85.0,57.0,org.apache.spark.serializer.JavaSerializer,3053.73828125
4.0,3212.0,0.5517778511828756,0.1,1.0,False,False,False,False,lz4,74.0,16.0,org.apache.spark.serializer.KryoSerializer,3210.294921875
2.0,2453.0,0.4979837638774135,0.1,8.0,False,False,False,True,lzf,12.0,31.0,org.apache.spark.serializer.KryoSerializer,2250.76220703125
1.0,3887.0,0.6846539671168084,0.1,11.0,False,False,True,False,lzf,69.0,30.0,org.apache.spark.serializer.JavaSerializer,2620.464599609375
3.0,1502.0,0.1,0.1,5.0,False,True,False,True,lzf,85.0,25.0,org.apache.spark.serializer.KryoSerializer,2646.45654296875
2.0,2292.0,0.5787097931304147,0.9,2.0,False,False,True,False,snappy,34.0,64.0,org.apache.spark.serializer.KryoSerializer,2690.69091796875
3.0,2029.0,0.9,0.1,1.0,False,True,False,True,lz4,53.0,54.0,org.apache.spark.serializer.JavaSerializer,2958.596435546875
2.0,1024.0,0.9,0.1,12.0,True,True,False,True,lz4,44.0,28.0,org.apache.spark.serializer.JavaSerializer,2253.802734375
2.0,4066.0,0.12851880745137367,0.1,2.0,True,False,True,True,lzf,27.0,37.0,org.apache.spark.serializer.JavaSerializer,3301.8193359375
3.0,3026.0,0.505200991126687,0.9,1.0,True,True,False,True,lz4,59.0,48.0,org.apache.spark.serializer.JavaSerializer,2856.47412109375
4.0,2855.0,0.1,0.1,1.0,True,False,False,True,snappy,85.0,57.0,org.apache.spark.serializer.JavaSerializer,3087.83935546875
4.0,3212.0,0.874218238053871,0.1,1.0,False,False,False,False,lz4,74.0,16.0,org.apache.spark.serializer.KryoSerializer,3214.91259765625
2.0,3379.0,0.34920043541494317,0.1,5.0,False,False,False,True,lzf,12.0,31.0,org.apache.spark.serializer.KryoSerializer,2690.94287109375
1.0,3784.0,0.8745558509514859,0.1,11.0,False,False,True,False,lzf,96.0,30.0,org.apache.spark.serializer.JavaSerializer,2627.04833984375
2.0,1502.0,0.5050643360883664,0.12358794258661057,5.0,False,True,False,True,lzf,96.0,25.0,org.apache.spark.serializer.KryoSerializer,2182.896240234375
1.0,2292.0,0.9,0.9,2.0,False,False,True,False,snappy,34.0,49.0,org.apache.spark.serializer.KryoSerializer,2309.28369140625
3.0,2029.0,0.7311377401997218,0.1,1.0,False,True,False,True,lz4,53.0,54.0,org.apache.spark.serializer.JavaSerializer,2958.87158203125
2.0,1024.0,0.8941595740862445,0.28633463177732993,12.0,True,True,False,True,lz4,18.0,28.0,org.apache.spark.serializer.JavaSerializer,2211.7197265625
2.0,4066.0,0.1,0.40314000419719576,2.0,True,False,True,True,lzf,27.0,37.0,org.apache.spark.serializer.JavaSerializer,3301.8193359375
3.0,3026.0,0.7934425531626516,0.729940265741601,1.0,True,True,False,True,lz4,59.0,48.0,org.apache.spark.serializer.JavaSerializer,2856.47412109375
4.0,2855.0,0.1,0.19022905405257395,1.0,True,False,False,True,snappy,85.0,57.0,org.apache.spark.serializer.JavaSerializer,3087.83935546875
4.0,3212.0,0.4836622993128044,0.3712507711852635,1.0,False,False,False,False,lz4,74.0,16.0,org.apache.spark.serializer.KryoSerializer,3145.16650390625
2.0,3379.0,0.291740548808475,0.1,5.0,False,False,False,True,lzf,12.0,31.0,org.apache.spark.serializer.KryoSerializer,2690.94287109375
1.0,3784.0,0.9,0.1,11.0,False,False,True,False,lz4,96.0,8.0,org.apache.spark.serializer.JavaSerializer,2549.146484375
2.0,1502.0,0.6824854965620599,0.1,5.0,False,True,False,True,lzf,96.0,25.0,org.apache.spark.serializer.KryoSerializer,2216.052734375
2.0,3088.0,0.9,0.584575429615148,2.0,False,False,True,False,snappy,34.0,49.0,org.apache.spark.serializer.KryoSerializer,2825.30859375
3.0,2029.0,0.6215625057897067,0.1,1.0,False,True,False,True,lz4,53.0,54.0,org.apache.spark.serializer.JavaSerializer,2959.05029296875
2.0,1024.0,0.9,0.1,12.0,True,True,False,True,lz4,36.0,28.0,org.apache.spark.serializer.JavaSerializer,2255.367431640625
2.0,4066.0,0.1,0.5033780237918841,2.0,True,False,True,True,lzf,27.0,37.0,org.apache.spark.serializer.JavaSerializer,3301.8193359375
3.0,3026.0,0.6551867834579335,0.7451115712033556,1.0,True,True,False,True,lz4,59.0,64.0,org.apache.spark.serializer.JavaSerializer,2857.01513671875
4.0,2855.0,0.27620962222262413,0.1,1.0,True,False,False,True,snappy,85.0,57.0,org.apache.spark.serializer.JavaSerializer,3087.83935546875
4.0,3212.0,0.2370517044377206,0.4676365665002483,1.0,False,False,False,False,lz4,74.0,16.0,org.apache.spark.serializer.KryoSerializer,3141.88623046875
2.0,3379.0,0.4704213155965438,0.11229454707849965,5.0,False,False,False,True,lzf,14.0,31.0,org.apache.spark.serializer.KryoSerializer,2694.248046875
1.0,3784.0,0.8726975620106322,0.3275981232348609,11.0,False,False,True,False,lz4,96.0,8.0,org.apache.spark.serializer.JavaSerializer,2432.56884765625
2.0,1502.0,0.6887990597011173,0.1,5.0,False,True,False,True,lzf,96.0,34.0,org.apache.spark.serializer.KryoSerializer,2265.254150390625
2.0,3088.0,0.7400150856896182,0.48601322784270024,2.0,False,False,True,False,snappy,34.0,49.0,org.apache.spark.serializer.KryoSerializer,2858.25634765625
3.0,2029.0,0.7599176737056488,0.1,1.0,False,True,False,True,lz4,53.0,54.0,org.apache.spark.serializer.JavaSerializer,2958.82470703125
2.0,1253.0,0.8588819764888236,0.257113947209779,12.0,True,True,False,True,lzf,36.0,23.0,org.apache.spark.serializer.JavaSerializer,2215.66552734375
2.0,4066.0,0.18691782658821277,0.3160772164653086,2.0,True,False,True,True,lzf,27.0,37.0,org.apache.spark.serializer.JavaSerializer,3301.8193359375
3.0,3026.0,0.4869426383725454,0.7957321536794785,1.0,True,True,False,True,lz4,59.0,64.0,org.apache.spark.serializer.JavaSerializer,2857.01513671875
4.0,2855.0,0.13361302661524863,0.16300990481735128,1.0,True,False,False,True,snappy,85.0,57.0,org.apache.spark.serializer.JavaSerializer,3087.83935546875
4.0,3212.0,0.16653545124808383,0.6238396529587817,1.0,False,False,False,False,lz4,74.0,16.0,org.apache.spark.serializer.KryoSerializer,3146.66064453125
2.0,3379.0,0.48794139774099743,0.1,5.0,False,False,False,True,lzf,8.0,31.0,org.apache.spark.serializer.KryoSerializer,2684.32568359375
1.0,3784.0,0.9,0.4245537439642303,12.0,False,False,True,False,lz4,83.0,8.0,org.apache.spark.serializer.JavaSerializer,2274.157958984375
2.0,1502.0,0.9,0.1,6.0,False,True,False,True,lzf,96.0,34.0,org.apache.spark.serializer.KryoSerializer,2309.3310546875
2.0,3088.0,0.4172172502378621,0.6291493282195664,1.0,False,False,True,False,snappy,34.0,49.0,org.apache.spark.serializer.KryoSerializer,2904.145751953125
3.0,2029.0,0.6661965771281634,0.1,1.0,False,True,False,True,lz4,53.0,54.0,org.apache.spark.serializer.JavaSerializer,2958.9775390625
2.0,1253.0,0.9,0.1,12.0,True,True,False,True,lzf,36.0,23.0,org.apache.spark.serializer.JavaSerializer,2226.1455078125
2.0,4066.0,0.3226669029430419,0.462716339339363,2.0,True,False,True,True,lzf,27.0,37.0,org.apache.spark.serializer.JavaSerializer,3301.8193359375
3.0,3026.0,0.5725530004362742,0.7493314880797373,1.0,True,True,False,True,lz4,59.0,64.0,org.apache.spark.serializer.JavaSerializer,2857.01513671875
4.0,2855.0,0.1,0.32749411004497514,1.0,True,False,False,True,snappy,96.0,57.0,org.apache.spark.serializer.JavaSerializer,3089.262451171875
4.0,3212.0,0.1,0.601823782488835,1.0,False,False,False,False,lz4,74.0,16.0,org.apache.spark.serializer.KryoSerializer,3146.030517578125
2.0,3379.0,0.639009375922853,0.1073225080005694,5.0,False,False,False,True,lzf,8.0,31.0,org.apache.spark.serializer.KryoSerializer,2684.32568359375
1.0,3784.0,0.9,0.16043465983795785,12.0,False,False,True,False,lzf,49.0,8.0,org.apache.spark.serializer.JavaSerializer,2409.89599609375
2.0,1502.0,0.7470598236103745,0.1,5.0,False,True,False,True,lzf,87.0,34.0,org.apache.spark.serializer.KryoSerializer,2269.062744140625
2.0,3088.0,0.31442951074041114,0.682667112656196,1.0,False,False,True,False,snappy,34.0,49.0,org.apache.spark.serializer.KryoSerializer,2906.91650390625
3.0,2029.0,0.7847595008344942,0.10517063378305076,1.0,False,True,False,True,lz4,53.0,54.0,org.apache.spark.serializer.JavaSerializer,2959.2412109375
2.0,1253.0,0.5959083425913055,0.1029754085960243,12.0,True,True,False,True,lzf,12.0,36.0,org.apache.spark.serializer.JavaSerializer,2278.9091796875
2.0,4066.0,0.4647162650930282,0.3200162281292541,2.0,True,False,True,True,lzf,27.0,37.0,org.apache.spark.serializer.JavaSerializer,3301.8193359375
3.0,3026.0,0.6910998977719744,0.7329599837114962,1.0,True,True,False,True,lz4,59.0,64.0,org.apache.spark.serializer.JavaSerializer,2857.01513671875
4.0,2855.0,0.1,0.22958869017520975,1.0,True,False,False,True,snappy,96.0,57.0,org.apache.spark.serializer.JavaSerializer,3089.262451171875
