executorCores,executorMemory,memoryFraction,memoryStorageFraction,defaultParallelism,shuffleCompress,shuffleSpillCompress,broadcastCompress,rddCompress,ioCompressionCodec,reducerMaxSizeInFlight,shuffleFileBuffer,serializer,PERF
1.0,2950.0,0.3048434261441913,0.2697341756964349,3.0,False,True,True,True,snappy,46.0,41.0,org.apache.spark.serializer.KryoSerializer,545.1917114257812
2.0,3709.0,0.19002324211519292,0.6554111554007155,8.0,False,True,False,False,lz4,10.0,31.0,org.apache.spark.serializer.JavaSerializer,700.0069580078125
3.0,2273.0,0.12265481942757095,0.8006649171829371,6.0,False,True,True,True,snappy,88.0,30.0,org.apache.spark.serializer.JavaSerializer,920.9395141601562
4.0,1994.0,0.20782616861770045,0.6419872910695958,12.0,True,False,True,False,snappy,12.0,48.0,org.apache.spark.serializer.KryoSerializer,890.7604370117188
2.0,2216.0,0.6593585393034644,0.560577518265906,5.0,False,True,True,False,snappy,26.0,59.0,org.apache.spark.serializer.KryoSerializer,612.3471069335938
1.0,2950.0,0.3048434261441913,0.2697341756964349,3.0,False,True,True,True,snappy,46.0,41.0,org.apache.spark.serializer.KryoSerializer,545.1917114257812
2.0,3709.0,0.19002324211519292,0.6554111554007155,8.0,False,True,False,False,lz4,10.0,31.0,org.apache.spark.serializer.JavaSerializer,700.0069580078125
3.0,2273.0,0.12265481942757095,0.8006649171829371,6.0,False,True,True,True,snappy,88.0,30.0,org.apache.spark.serializer.JavaSerializer,920.9395141601562
4.0,1994.0,0.20782616861770045,0.6419872910695958,12.0,True,False,True,False,snappy,12.0,48.0,org.apache.spark.serializer.KryoSerializer,890.7604370117188
2.0,2216.0,0.6593585393034644,0.560577518265906,5.0,False,True,True,False,snappy,26.0,59.0,org.apache.spark.serializer.KryoSerializer,612.3471069335938
1.0,2617.0,0.9,0.8701185959204061,3.0,False,True,True,True,snappy,45.0,19.0,org.apache.spark.serializer.KryoSerializer,515.0375366210938
2.0,3708.0,0.1,0.11292975627187862,12.0,False,False,False,False,lz4,10.0,32.0,org.apache.spark.serializer.KryoSerializer,353.7053527832031
3.0,2274.0,0.1,0.12889408546642367,7.0,True,True,False,False,snappy,88.0,30.0,org.apache.spark.serializer.JavaSerializer,898.570556640625
4.0,1994.0,0.9,0.14092456554394905,12.0,True,False,False,False,snappy,8.0,48.0,org.apache.spark.serializer.JavaSerializer,890.4243774414062
1.0,2217.0,0.5970729304648521,0.1776041802328232,5.0,False,False,True,False,snappy,26.0,59.0,org.apache.spark.serializer.KryoSerializer,353.5859680175781
1.0,2617.0,0.691107283408513,0.5118103635931317,3.0,False,True,True,True,snappy,24.0,19.0,org.apache.spark.serializer.KryoSerializer,481.3984069824219
2.0,3238.0,0.1,0.1,12.0,False,False,False,False,lz4,8.0,15.0,org.apache.spark.serializer.KryoSerializer,353.5472106933594
3.0,2274.0,0.5757412787777902,0.17632083355181205,7.0,True,True,False,False,snappy,88.0,30.0,org.apache.spark.serializer.JavaSerializer,898.570556640625
4.0,1024.0,0.9,0.4469946114781964,12.0,True,False,False,False,snappy,8.0,48.0,org.apache.spark.serializer.JavaSerializer,869.7213134765625
2.0,1977.0,0.26950836864807504,0.1,5.0,False,False,True,False,snappy,35.0,64.0,org.apache.spark.serializer.KryoSerializer,354.497314453125
1.0,3139.0,0.7927323510219086,0.764885493243084,3.0,False,True,True,True,snappy,24.0,19.0,org.apache.spark.serializer.KryoSerializer,711.451416015625
2.0,4096.0,0.4185779197038384,0.2501488195500075,7.0,False,False,False,False,lz4,25.0,29.0,org.apache.spark.serializer.KryoSerializer,484.984619140625
3.0,2274.0,0.29976728737433134,0.1,7.0,True,True,False,False,snappy,88.0,30.0,org.apache.spark.serializer.JavaSerializer,898.570556640625
4.0,1024.0,0.699062884823388,0.32254877874745164,12.0,True,False,False,False,snappy,8.0,48.0,org.apache.spark.serializer.JavaSerializer,869.7213134765625
2.0,1977.0,0.3895168385061613,0.19912544185403017,7.0,False,False,True,False,snappy,8.0,57.0,org.apache.spark.serializer.KryoSerializer,369.2251281738281
1.0,4016.0,0.6911486390379014,0.7119370235287341,3.0,False,True,True,True,snappy,24.0,9.0,org.apache.spark.serializer.KryoSerializer,720.0493774414062
2.0,4096.0,0.653238878286175,0.1782441142795218,7.0,False,False,False,False,lz4,30.0,29.0,org.apache.spark.serializer.KryoSerializer,556.0894165039062
3.0,2274.0,0.40107296054264324,0.1,7.0,True,True,False,False,snappy,88.0,30.0,org.apache.spark.serializer.JavaSerializer,898.570556640625
4.0,1024.0,0.9,0.2531219686375685,12.0,True,False,False,False,snappy,8.0,48.0,org.apache.spark.serializer.JavaSerializer,869.7213134765625
1.0,1977.0,0.5072796561783548,0.1,4.0,False,False,True,False,snappy,8.0,47.0,org.apache.spark.serializer.KryoSerializer,355.4612731933594
1.0,3935.0,0.606417196643701,0.73170786705346,3.0,False,True,True,True,snappy,24.0,9.0,org.apache.spark.serializer.KryoSerializer,700.3409423828125
2.0,4096.0,0.7368339094025032,0.1580616651744201,7.0,False,False,False,False,lz4,30.0,9.0,org.apache.spark.serializer.KryoSerializer,528.2913818359375
3.0,2274.0,0.5676496655122876,0.21183999207364163,7.0,True,True,False,False,snappy,88.0,30.0,org.apache.spark.serializer.JavaSerializer,898.570556640625
4.0,1024.0,0.9,0.31143978192664756,12.0,True,False,False,False,snappy,8.0,48.0,org.apache.spark.serializer.JavaSerializer,869.7213134765625
1.0,1024.0,0.5843822360765955,0.1,4.0,False,False,True,False,snappy,8.0,21.0,org.apache.spark.serializer.KryoSerializer,359.48291015625
1.0,3506.0,0.49637943739258594,0.5932800828696942,3.0,False,True,True,True,snappy,24.0,9.0,org.apache.spark.serializer.KryoSerializer,662.5218505859375
2.0,4096.0,0.5179432403901797,0.1,5.0,False,False,False,False,lz4,30.0,9.0,org.apache.spark.serializer.KryoSerializer,549.781982421875
3.0,2274.0,0.6384869072983216,0.2963130947455075,7.0,True,True,False,False,snappy,88.0,30.0,org.apache.spark.serializer.JavaSerializer,898.570556640625
4.0,1024.0,0.9,0.3794304405805979,12.0,True,False,False,False,snappy,8.0,48.0,org.apache.spark.serializer.JavaSerializer,869.7213134765625
1.0,1024.0,0.7990188406220006,0.1,4.0,False,False,True,False,snappy,8.0,8.0,org.apache.spark.serializer.KryoSerializer,359.21875
1.0,3506.0,0.5178331437230848,0.6917447331105062,7.0,False,True,True,True,snappy,24.0,9.0,org.apache.spark.serializer.KryoSerializer,591.4493408203125
2.0,3436.0,0.38893112806269287,0.1,5.0,False,False,False,False,lzf,30.0,9.0,org.apache.spark.serializer.KryoSerializer,466.31829833984375
3.0,2274.0,0.5701288373623166,0.21336387347343555,7.0,True,True,False,False,snappy,88.0,30.0,org.apache.spark.serializer.JavaSerializer,898.570556640625
4.0,1024.0,0.7895808362812862,0.4277473211908458,12.0,True,False,False,False,snappy,8.0,48.0,org.apache.spark.serializer.JavaSerializer,869.7213134765625
1.0,1322.0,0.9,0.1,4.0,False,False,True,False,snappy,8.0,8.0,org.apache.spark.serializer.KryoSerializer,358.1937255859375
1.0,3506.0,0.41800382630167543,0.7107880361780587,7.0,False,True,True,True,snappy,57.0,9.0,org.apache.spark.serializer.KryoSerializer,604.32958984375
2.0,3436.0,0.39381838672096814,0.4314223781931674,5.0,False,False,False,False,snappy,30.0,9.0,org.apache.spark.serializer.KryoSerializer,519.906982421875
