executorCores,executorMemory,memoryFraction,memoryStorageFraction,defaultParallelism,shuffleCompress,shuffleSpillCompress,broadcastCompress,rddCompress,ioCompressionCodec,reducerMaxSizeInFlight,shuffleFileBuffer,serializer,PERF
3.0,3506.0,0.23159631100032935,0.6846356485576637,3.0,True,True,False,True,snappy,58.0,10.0,org.apache.spark.serializer.JavaSerializer,3324.1982421875
3.0,1087.0,0.5086321946354261,0.4651859764646685,3.0,True,False,False,True,snappy,82.0,59.0,org.apache.spark.serializer.KryoSerializer,3269.3671875
1.0,2853.0,0.4374697607862291,0.14886758802334302,11.0,True,True,True,True,lzf,82.0,47.0,org.apache.spark.serializer.JavaSerializer,2397.418701171875
2.0,2379.0,0.7789339240513375,0.4149693805588679,3.0,True,False,True,True,lzf,62.0,8.0,org.apache.spark.serializer.KryoSerializer,2275.759521484375
3.0,2008.0,0.19885257653383,0.5987983250754961,4.0,False,False,True,False,snappy,66.0,61.0,org.apache.spark.serializer.JavaSerializer,3136.044921875
4.0,3005.0,0.4090144378110434,0.2772804582525247,3.0,False,True,True,True,lz4,45.0,43.0,org.apache.spark.serializer.KryoSerializer,3274.295654296875
1.0,3380.0,0.8245449914632113,0.6259877751479727,6.0,False,False,True,True,lzf,15.0,23.0,org.apache.spark.serializer.KryoSerializer,2122.84619140625
2.0,3191.0,0.7012970849820463,0.1906034240530687,3.0,False,False,False,True,lzf,56.0,25.0,org.apache.spark.serializer.JavaSerializer,3084.087158203125
1.0,1492.0,0.7848837486127865,0.4665237560797384,12.0,False,False,True,True,lzf,70.0,56.0,org.apache.spark.serializer.KryoSerializer,1467.125732421875
1.0,1820.0,0.3495794022903781,0.7148607583202046,10.0,True,False,False,False,snappy,79.0,10.0,org.apache.spark.serializer.KryoSerializer,1629.24072265625
3.0,3506.0,0.23159631100032935,0.6846356485576637,3.0,True,True,False,True,snappy,58.0,10.0,org.apache.spark.serializer.JavaSerializer,3324.1982421875
3.0,1087.0,0.5086321946354261,0.4651859764646685,3.0,True,False,False,True,snappy,82.0,59.0,org.apache.spark.serializer.KryoSerializer,3269.3671875
1.0,2853.0,0.4374697607862291,0.14886758802334302,11.0,True,True,True,True,lzf,82.0,47.0,org.apache.spark.serializer.JavaSerializer,2397.418701171875
2.0,2379.0,0.7789339240513375,0.4149693805588679,3.0,True,False,True,True,lzf,62.0,8.0,org.apache.spark.serializer.KryoSerializer,2275.759521484375
3.0,2008.0,0.19885257653383,0.5987983250754961,4.0,False,False,True,False,snappy,66.0,61.0,org.apache.spark.serializer.JavaSerializer,3136.044921875
4.0,3005.0,0.4090144378110434,0.2772804582525247,3.0,False,True,True,True,lz4,45.0,43.0,org.apache.spark.serializer.KryoSerializer,3274.295654296875
1.0,3380.0,0.8245449914632113,0.6259877751479727,6.0,False,False,True,True,lzf,15.0,23.0,org.apache.spark.serializer.KryoSerializer,2122.84619140625
2.0,3191.0,0.7012970849820463,0.1906034240530687,3.0,False,False,False,True,lzf,56.0,25.0,org.apache.spark.serializer.JavaSerializer,3084.087158203125
1.0,1492.0,0.7848837486127865,0.4665237560797384,12.0,False,False,True,True,lzf,70.0,56.0,org.apache.spark.serializer.KryoSerializer,1467.125732421875
1.0,1820.0,0.3495794022903781,0.7148607583202046,10.0,True,False,False,False,snappy,79.0,10.0,org.apache.spark.serializer.KryoSerializer,1629.24072265625
3.0,3506.0,0.9,0.9,3.0,True,True,True,True,snappy,58.0,10.0,org.apache.spark.serializer.JavaSerializer,3325.074462890625
4.0,1087.0,0.3261977395585437,0.9,3.0,True,False,False,False,snappy,83.0,58.0,org.apache.spark.serializer.KryoSerializer,3319.44482421875
1.0,2854.0,0.6195501510141758,0.1,7.0,True,True,True,True,lzf,81.0,64.0,org.apache.spark.serializer.JavaSerializer,2509.515625
3.0,2380.0,0.1,0.9,1.0,True,False,False,True,lzf,74.0,9.0,org.apache.spark.serializer.KryoSerializer,3108.81884765625
3.0,2008.0,0.1,0.7370974483782496,4.0,True,False,True,False,snappy,67.0,61.0,org.apache.spark.serializer.JavaSerializer,3026.4072265625
