executorCores,executorMemory,memoryFraction,memoryStorageFraction,defaultParallelism,shuffleCompress,shuffleSpillCompress,broadcastCompress,rddCompress,ioCompressionCodec,reducerMaxSizeInFlight,shuffleFileBuffer,serializer,PERF
2,1125,0.37482710231183847,0.5330488415064301,7,False,False,False,True,lz4,8,31,org.apache.spark.serializer.JavaSerializer,2363
2,1156,0.38128504780363237,0.5491593685071402,7,False,True,False,True,lzf,8,30,org.apache.spark.serializer.JavaSerializer,2230
2,1149,0.37521366059320593,0.5409805016811401,7,False,True,False,True,lz4,8,30,org.apache.spark.serializer.JavaSerializer,2242
3,1070,0.34532412145222285,0.485569556318722,6,False,False,True,False,lz4,8,32,org.apache.spark.serializer.JavaSerializer,3265
3,1024,0.3170948592007655,0.4207083994231067,5,False,False,True,False,lz4,8,36,org.apache.spark.serializer.JavaSerializer,2933
1,4096,0.9,0.9,12,False,True,False,False,snappy,8,8,org.apache.spark.serializer.JavaSerializer,2809
3,1024,0.33954742189733533,0.29602081244308753,4,True,False,True,True,lz4,52,25,org.apache.spark.serializer.JavaSerializer,3089
4,1024,0.1,0.1,1,True,False,True,True,lz4,96,64,org.apache.spark.serializer.KryoSerializer,3055
3,1024,0.4215316791738236,0.35584669011448955,2,True,False,True,True,lzf,43,49,org.apache.spark.serializer.KryoSerializer,3156
4,1024,0.43958681484951423,0.3368086138439669,1,True,False,True,True,lz4,27,64,org.apache.spark.serializer.KryoSerializer,2936
4,1024,0.3559960189869697,0.1,1,False,False,True,False,lz4,8,64,org.apache.spark.serializer.KryoSerializer,3104
4,1090,0.5052752173719833,0.3720146037198414,1,False,False,True,False,lz4,8,51,org.apache.spark.serializer.KryoSerializer,3203
3,1299,0.5505763771371736,0.4789160485005058,5,False,True,True,False,lzf,8,38,org.apache.spark.serializer.JavaSerializer,2958
4,1138,0.5209664416116075,0.406976477753486,3,False,False,True,False,lzf,8,46,org.apache.spark.serializer.KryoSerializer,2840
3,1389,0.560112260483969,0.5051769752553967,6,False,True,True,False,lzf,8,36,org.apache.spark.serializer.JavaSerializer,3113
4,1024,0.1,0.1,1,False,False,True,False,lz4,8,8,org.apache.spark.serializer.KryoSerializer,3041
4,1024,0.28541442278087387,0.3598254661700339,1,False,False,True,False,lz4,18,8,org.apache.spark.serializer.KryoSerializer,2987
1,3664,0.7348282215013142,0.9,12,True,True,False,True,snappy,17,8,org.apache.spark.serializer.JavaSerializer,3015
4,1024,0.1,0.1,1,False,False,True,False,lz4,8,8,org.apache.spark.serializer.KryoSerializer,3038
4,1024,0.1,0.1,1,False,False,True,False,lz4,8,8,org.apache.spark.serializer.KryoSerializer,2795
4,1024,0.9,0.9,1,True,True,True,False,snappy,41,8,org.apache.spark.serializer.KryoSerializer,3149
4,1024,0.9,0.9,1,True,True,True,False,snappy,96,8,org.apache.spark.serializer.KryoSerializer,3199
4,1024,0.9,0.9,1,True,True,True,False,snappy,54,8,org.apache.spark.serializer.KryoSerializer,2835
3,1024,0.8299218130374835,0.9,2,False,True,False,False,snappy,34,8,org.apache.spark.serializer.KryoSerializer,2997
3,1024,0.9,0.9,3,True,True,False,False,snappy,34,8,org.apache.spark.serializer.KryoSerializer,3096
1,1024,0.5403437420780808,0.6185687627733883,9,False,True,False,False,lzf,22,8,org.apache.spark.serializer.JavaSerializer,1564
1,1024,0.522541792537252,0.6139575302811595,9,False,False,False,False,lzf,20,8,org.apache.spark.serializer.JavaSerializer,1379
2,1024,0.507674227036797,0.6044470343169959,9,False,False,False,False,lzf,18,8,org.apache.spark.serializer.JavaSerializer,2380
1,1024,0.5628575144770758,0.6262541554413977,8,False,True,False,False,lzf,25,8,org.apache.spark.serializer.JavaSerializer,1336
1,1024,0.6269764369078842,0.6878357129942063,10,False,True,False,False,snappy,35,8,org.apache.spark.serializer.JavaSerializer,1766
3,1665,0.6728188757767363,0.5926862533240493,4,False,True,True,False,lzf,11,11,org.apache.spark.serializer.JavaSerializer,3176
4,1729,0.7728811908387632,0.5970881965410846,3,False,True,True,False,snappy,11,11,org.apache.spark.serializer.JavaSerializer,3149
3,1695,0.683604580683027,0.5734656846048352,4,False,True,True,False,snappy,12,12,org.apache.spark.serializer.JavaSerializer,3023
3,1682,0.7011978091069095,0.5953653720158263,4,False,True,True,False,snappy,11,11,org.apache.spark.serializer.JavaSerializer,3167
4,1833,0.9,0.5850187709682129,2,False,True,True,False,snappy,11,12,org.apache.spark.serializer.KryoSerializer,2657
1,1024,0.9,0.9,12,True,True,False,True,snappy,62,57,org.apache.spark.serializer.JavaSerializer,1355
4,1355,0.4291155815403266,0.5685231505369124,3,False,False,True,True,lz4,9,8,org.apache.spark.serializer.KryoSerializer,3033
3,1438,0.45166922264984677,0.5729831101918219,5,False,False,True,True,lz4,8,8,org.apache.spark.serializer.KryoSerializer,3023
