executorCores,executorMemory,memoryFraction,memoryStorageFraction,defaultParallelism,shuffleCompress,shuffleSpillCompress,broadcastCompress,rddCompress,ioCompressionCodec,reducerMaxSizeInFlight,shuffleFileBuffer,serializer,PERF
1,3271,0.6325458919221342,0.12211803201032066,3,true,true,false,true,snappy,45,20,org.apache.spark.serializer.KryoSerializer,2474.0
3,1965,0.8092135924948652,0.29814598519057556,5,false,false,true,true,snappy,62,31,org.apache.spark.serializer.JavaSerializer,3275.0
2,3581,0.4144840389721053,0.6473899362813061,4,false,true,true,true,snappy,36,11,org.apache.spark.serializer.KryoSerializer,3186.0
1,2893,0.47636979168156157,0.8677079273910908,11,false,true,true,false,snappy,70,16,org.apache.spark.serializer.KryoSerializer,2091.0
2,3512,0.8742816063212803,0.3944208284947005,11,true,false,false,false,lz4,35,36,org.apache.spark.serializer.KryoSerializer,3147.0
3,2947,0.2226108958785317,0.45479843231060113,5,true,true,false,false,lz4,31,27,org.apache.spark.serializer.KryoSerializer,2673.0
3,3936,0.6137844446857437,0.8575714341796377,10,true,false,false,true,lz4,82,12,org.apache.spark.serializer.KryoSerializer,3180.0
1,2135,0.8700983991166398,0.6229523455059496,2,true,true,false,true,snappy,19,21,org.apache.spark.serializer.KryoSerializer,1659.0
1,1233,0.34102975030098226,0.14066820179982803,3,false,true,true,true,lzf,72,55,org.apache.spark.serializer.JavaSerializer,1634.0
2,1614,0.1548252916520287,0.7360428713254569,2,false,false,true,false,snappy,77,23,org.apache.spark.serializer.KryoSerializer,2447.0
1,1591,0.197660795112916,0.7584373028259787,12,true,false,true,false,lzf,73,63,org.apache.spark.serializer.JavaSerializer,1244.0
2,3610,0.18689018384835726,0.7050050904296495,10,true,true,false,true,lz4,8,10,org.apache.spark.serializer.JavaSerializer,3218.0
3,3691,0.5204709841578096,0.36985138833705145,2,true,true,false,false,snappy,66,37,org.apache.spark.serializer.JavaSerializer,3249.0
3,1087,0.508632194635426,0.4651859764646685,3,true,false,false,true,snappy,82,59,org.apache.spark.serializer.KryoSerializer,3381.0
3,3595,0.4915608052448083,0.11257523210877816,5,true,false,true,true,lz4,96,32,org.apache.spark.serializer.KryoSerializer,3177.0
4,1911,0.2598053914982372,0.10696981829817975,5,false,false,true,true,lzf,85,53,org.apache.spark.serializer.JavaSerializer,3364.0
1,2398,0.35102697813788064,0.7921509149905077,4,true,false,true,false,snappy,96,12,org.apache.spark.serializer.KryoSerializer,2410.0
2,3636,0.107925061940814,0.25675664182750946,2,true,true,true,true,snappy,79,33,org.apache.spark.serializer.KryoSerializer,3306.0
2,1244,0.59166721954587,0.5018020259423555,5,false,true,false,true,lzf,30,59,org.apache.spark.serializer.KryoSerializer,2188.0
2,3508,0.20934591634660313,0.8701920913857536,3,true,false,false,true,lz4,91,61,org.apache.spark.serializer.JavaSerializer,3324.0
1,1744,0.23073043749195696,0.17855975329543866,12,true,true,false,false,lz4,44,62,org.apache.spark.serializer.KryoSerializer,1645.0
3,2359,0.8312127369937358,0.6115890698764709,12,true,false,true,false,lz4,78,52,org.apache.spark.serializer.KryoSerializer,3002.0
4,1098,0.45852858560366305,0.2642502483984359,12,false,false,true,true,snappy,16,30,org.apache.spark.serializer.JavaSerializer,3026.0
4,3039,0.7405769030115028,0.8215034581178673,9,true,false,true,false,lzf,9,28,org.apache.spark.serializer.KryoSerializer,3061.0
2,1246,0.46948028496528893,0.5734986993492999,4,false,true,true,false,lzf,75,23,org.apache.spark.serializer.JavaSerializer,2302.0
1,2838,0.11791284592226009,0.2804242828218271,1,true,false,true,true,lzf,82,27,org.apache.spark.serializer.KryoSerializer,2398.0
3,1788,0.6583962285701508,0.44700074133056245,1,false,true,false,true,snappy,35,35,org.apache.spark.serializer.KryoSerializer,3265.0
3,3506,0.23159631100032937,0.6846356485576637,3,true,true,false,true,snappy,58,10,org.apache.spark.serializer.JavaSerializer,3199.0
4,3880,0.3820909687100288,0.6506763393215531,7,false,false,true,true,lzf,69,12,org.apache.spark.serializer.JavaSerializer,3143.0
1,1332,0.8625745785129393,0.877389294406444,10,false,false,false,false,snappy,14,42,org.apache.spark.serializer.JavaSerializer,1164.0
3,2008,0.19885257653382996,0.5987983250754961,4,false,false,true,false,snappy,66,61,org.apache.spark.serializer.JavaSerializer,3335.0
2,3488,0.45049061163351645,0.41723477607677084,4,true,false,true,true,snappy,66,42,org.apache.spark.serializer.KryoSerializer,3289.0
2,1040,0.3448508711324356,0.25929343814759165,12,false,true,true,true,lzf,47,32,org.apache.spark.serializer.KryoSerializer,2301.0
4,1298,0.7881082353900744,0.7553206992455544,6,true,true,false,false,snappy,86,24,org.apache.spark.serializer.KryoSerializer,3268.0
2,3698,0.3015519981626141,0.4319570421512763,10,false,true,false,false,lzf,43,62,org.apache.spark.serializer.JavaSerializer,2530.0
1,2239,0.7417838289887964,0.3152496474700389,5,false,true,true,true,lzf,44,35,org.apache.spark.serializer.KryoSerializer,1778.0
2,2949,0.25428275639716735,0.43211496115880765,12,false,false,false,true,lz4,30,27,org.apache.spark.serializer.KryoSerializer,2265.0
1,2853,0.4374697607862291,0.148867588023343,11,true,true,true,true,lzf,82,47,org.apache.spark.serializer.JavaSerializer,2430.0
2,2154,0.8847023317229381,0.10907040621460036,1,false,false,true,true,lzf,52,9,org.apache.spark.serializer.KryoSerializer,2500.0
3,1436,0.13339395660242667,0.48441762946387434,10,false,false,false,true,lz4,62,54,org.apache.spark.serializer.KryoSerializer,3212.0
