executorCores,executorMemory,memoryFraction,memoryStorageFraction,defaultParallelism,shuffleCompress,shuffleSpillCompress,broadcastCompress,rddCompress,ioCompressionCodec,reducerMaxSizeInFlight,shuffleFileBuffer,serializer,PERF
3,1187,0.6501834792804859,0.2507481192293733,4,False,False,False,True,snappy,38,43,org.apache.spark.serializer.KryoSerializer,1083
4,1024,0.9,0.1,4,False,False,False,True,snappy,55,60,org.apache.spark.serializer.KryoSerializer,1066
3,1208,0.6099023835787062,0.27399734129023995,4,False,False,False,True,snappy,35,43,org.apache.spark.serializer.KryoSerializer,1020
4,1197,0.7206510956810729,0.1,2,False,False,False,True,lzf,38,42,org.apache.spark.serializer.KryoSerializer,1018
3,1282,0.17803038415733094,0.4999101012242678,2,False,True,True,False,lzf,8,33,org.apache.spark.serializer.KryoSerializer,1017
4,1024,0.9,0.1,3,False,False,False,True,lzf,64,64,org.apache.spark.serializer.KryoSerializer,1013
3,1414,0.1,0.4783675948589837,1,False,True,True,False,lz4,8,20,org.apache.spark.serializer.KryoSerializer,1013
4,1234,0.9,0.1,1,False,False,False,True,snappy,96,64,org.apache.spark.serializer.KryoSerializer,1012
3,1164,0.5476397967779401,0.2896307854526973,4,False,False,False,True,snappy,32,38,org.apache.spark.serializer.KryoSerializer,1010
4,1258,0.8170845493472424,0.18597252760097185,5,False,False,False,True,snappy,48,52,org.apache.spark.serializer.KryoSerializer,1006
