executorCores,executorMemory,memoryFraction,memoryStorageFraction,defaultParallelism,shuffleCompress,shuffleSpillCompress,broadcastCompress,rddCompress,ioCompressionCodec,reducerMaxSizeInFlight,shuffleFileBuffer,serializer,PERF
4,1603,0.1737206408126551,0.5921317204969252,3,false,false,true,false,lz4,69,44,org.apache.spark.serializer.KryoSerializer,3241.0
1,3409,0.38116982741795624,0.22801583309010748,4,true,true,false,false,lzf,61,41,org.apache.spark.serializer.KryoSerializer,2852.0
4,3231,0.12180702088630815,0.15124938527264034,4,true,true,false,true,lz4,60,59,org.apache.spark.serializer.JavaSerializer,3023.0
1,1856,0.8288499657980454,0.8453139722234889,9,true,true,true,false,lzf,89,63,org.apache.spark.serializer.KryoSerializer,1751.0
1,3905,0.12073948019554469,0.8567772082020934,10,false,false,false,true,lz4,61,37,org.apache.spark.serializer.KryoSerializer,3041.0
2,2591,0.613398579439934,0.6003051845623133,2,true,false,false,false,lz4,93,33,org.apache.spark.serializer.KryoSerializer,2245.0
2,1422,0.8481778175845277,0.29949647123455125,11,false,false,false,true,snappy,72,14,org.apache.spark.serializer.KryoSerializer,2040.0
4,1902,0.24711994298655846,0.8483274813422209,11,false,true,false,false,snappy,68,18,org.apache.spark.serializer.KryoSerializer,3050.0
3,3360,0.6204886167524528,0.5643640095717628,4,false,true,true,false,lz4,92,15,org.apache.spark.serializer.JavaSerializer,3081.0
3,2927,0.7655557759650992,0.4153995765436348,9,true,false,true,false,lz4,24,15,org.apache.spark.serializer.JavaSerializer,3285.0
1,3537,0.8869092881022648,0.2600619372310171,8,false,false,true,false,lz4,22,22,org.apache.spark.serializer.JavaSerializer,3133.0
4,1233,0.36520490299894204,0.6802638111361943,4,false,false,false,false,snappy,45,50,org.apache.spark.serializer.JavaSerializer,3166.0
4,3341,0.8480541617231859,0.3654445517391217,5,false,false,true,false,lzf,58,18,org.apache.spark.serializer.KryoSerializer,3208.0
1,1728,0.22899158746140869,0.2283744502616293,4,false,false,true,false,lz4,24,54,org.apache.spark.serializer.JavaSerializer,1689.0
2,2188,0.37627902474613284,0.7581323637708239,9,true,true,false,true,snappy,23,18,org.apache.spark.serializer.KryoSerializer,2420.0
