executorCores,executorMemory,memoryFraction,memoryStorageFraction,defaultParallelism,shuffleCompress,shuffleSpillCompress,broadcastCompress,rddCompress,ioCompressionCodec,reducerMaxSizeInFlight,shuffleFileBuffer,serializer,PERF
4.0,3936.0,0.14524109418144696,0.1678975961271373,10.0,False,False,False,False,lzf,59.0,17.0,org.apache.spark.serializer.KryoSerializer,3317.260009765625
2.0,3245.0,0.8958556503597942,0.8595163784745948,7.0,True,True,False,True,lzf,36.0,29.0,org.apache.spark.serializer.JavaSerializer,-1.0
3.0,2746.0,0.28889872569204966,0.11908646331262576,5.0,True,False,True,False,snappy,87.0,53.0,org.apache.spark.serializer.JavaSerializer,-1.0
4.0,3368.0,0.7317981099694106,0.3830295822732829,12.0,False,True,True,False,lzf,55.0,35.0,org.apache.spark.serializer.JavaSerializer,-1.0
3.0,3578.0,0.3831393638949727,0.8062807348650025,11.0,True,False,True,False,lzf,28.0,26.0,org.apache.spark.serializer.JavaSerializer,-1.0
1.0,3813.0,0.3145100103198531,0.8291022686944375,4.0,False,False,True,False,lzf,60.0,25.0,org.apache.spark.serializer.KryoSerializer,2923.8017578125
3.0,3894.0,0.5986120693806979,0.16030029525923634,10.0,False,False,False,False,snappy,65.0,23.0,org.apache.spark.serializer.KryoSerializer,3278.7431640625
4.0,1350.0,0.517890132287144,0.7831544057478976,4.0,True,False,False,False,snappy,40.0,18.0,org.apache.spark.serializer.JavaSerializer,-1.0
1.0,3956.0,0.12027577186152083,0.6835388059534433,1.0,True,False,False,True,lzf,42.0,10.0,org.apache.spark.serializer.JavaSerializer,-1.0
1.0,1135.0,0.37536080442943576,0.592191586659886,9.0,True,True,False,True,lz4,73.0,59.0,org.apache.spark.serializer.JavaSerializer,-1.0
4.0,3191.0,0.4782236096786502,0.2804220562783101,8.0,True,True,False,False,snappy,59.0,30.0,org.apache.spark.serializer.JavaSerializer,-1.0
1.0,3972.0,0.3072771386017644,0.5848623512428022,6.0,True,False,False,True,snappy,22.0,13.0,org.apache.spark.serializer.JavaSerializer,-1.0
3.0,4045.0,0.8473042549574454,0.8956201866076026,4.0,True,True,True,False,lz4,70.0,22.0,org.apache.spark.serializer.KryoSerializer,3018.09619140625
3.0,1039.0,0.12839952936621168,0.4269811341776595,2.0,False,True,False,True,snappy,27.0,37.0,org.apache.spark.serializer.KryoSerializer,-1.0
2.0,2995.0,0.2699597935955918,0.825250141385346,12.0,False,True,True,False,snappy,45.0,37.0,org.apache.spark.serializer.KryoSerializer,-1.0
1.0,3490.0,0.3929471732347184,0.5153677520791885,11.0,False,True,True,True,snappy,68.0,14.0,org.apache.spark.serializer.KryoSerializer,1894.351318359375
4.0,3090.0,0.11257765777147055,0.4611387673615859,6.0,True,True,True,True,lzf,41.0,60.0,org.apache.spark.serializer.KryoSerializer,-1.0
3.0,1615.0,0.5572421930634647,0.4134247762913982,6.0,False,True,False,True,snappy,83.0,44.0,org.apache.spark.serializer.JavaSerializer,-1.0
3.0,1100.0,0.6273277310751347,0.7217695477198389,9.0,True,True,False,False,lzf,54.0,35.0,org.apache.spark.serializer.JavaSerializer,-1.0
3.0,3887.0,0.7688044588579153,0.3374109351317395,4.0,True,True,False,False,lz4,60.0,54.0,org.apache.spark.serializer.KryoSerializer,-1.0
2.0,4089.0,0.21720083836498516,0.43341443477991104,2.0,True,False,True,False,snappy,34.0,21.0,org.apache.spark.serializer.JavaSerializer,-1.0
3.0,2372.0,0.5191958146511813,0.1896562108756193,7.0,False,False,False,False,lzf,31.0,58.0,org.apache.spark.serializer.KryoSerializer,-1.0
3.0,2266.0,0.8961064300450874,0.7262525902052981,7.0,True,True,False,False,lz4,24.0,37.0,org.apache.spark.serializer.KryoSerializer,-1.0
