executorCores,executorMemory,memoryFraction,memoryStorageFraction,defaultParallelism,shuffleCompress,shuffleSpillCompress,broadcastCompress,rddCompress,ioCompressionCodec,reducerMaxSizeInFlight,shuffleFileBuffer,serializer,PERF
1,1121,0.48532456076478336,0.6994595786347638,11,false,true,false,false,snappy,40,47,org.apache.spark.serializer.JavaSerializer,381.0
4,3150,0.46308858956690924,0.1071788046030826,7,false,true,true,false,lz4,45,27,org.apache.spark.serializer.JavaSerializer,1012.0
3,2930,0.7579130162267586,0.673387857318464,6,false,true,true,true,snappy,52,48,org.apache.spark.serializer.JavaSerializer,1008.0
2,3987,0.6019492735211329,0.8882708837011021,9,true,false,true,true,lz4,33,11,org.apache.spark.serializer.KryoSerializer,967.0
2,2501,0.29320724678286714,0.8808406286631147,4,false,true,true,false,lz4,66,61,org.apache.spark.serializer.KryoSerializer,724.0
4,3954,0.31147487173107646,0.6598337569877434,8,false,true,false,false,lz4,89,55,org.apache.spark.serializer.KryoSerializer,976.0
2,1333,0.18298686480076737,0.4120212609271233,6,false,true,true,false,snappy,89,56,org.apache.spark.serializer.JavaSerializer,628.0
1,1444,0.8190242045809182,0.8759199752206579,10,false,false,true,true,lz4,42,52,org.apache.spark.serializer.KryoSerializer,356.0
1,2233,0.4189873109605555,0.7429354619106697,5,false,false,false,false,lzf,74,27,org.apache.spark.serializer.JavaSerializer,495.0
1,2719,0.5683416457201076,0.23952997427669429,5,false,false,false,true,lz4,74,15,org.apache.spark.serializer.KryoSerializer,756.0
1,3351,0.4894044246545455,0.5727676424170622,8,true,true,true,false,snappy,56,18,org.apache.spark.serializer.JavaSerializer,677.0
2,1139,0.32727844265316475,0.706355480591294,4,false,false,false,false,lzf,61,64,org.apache.spark.serializer.KryoSerializer,638.0
1,1390,0.2771427272443294,0.7607131539338022,2,true,false,true,true,lz4,17,49,org.apache.spark.serializer.KryoSerializer,397.0
3,2499,0.5799828929160781,0.8756376991216548,8,true,false,false,false,lz4,13,47,org.apache.spark.serializer.JavaSerializer,1002.0
3,3334,0.6952332492397993,0.3820994211748018,3,false,true,false,true,lz4,35,39,org.apache.spark.serializer.KryoSerializer,1006.0
