executorCores,executorMemory,memoryFraction,memoryStorageFraction,defaultParallelism,shuffleCompress,shuffleSpillCompress,broadcastCompress,rddCompress,ioCompressionCodec,reducerMaxSizeInFlight,shuffleFileBuffer,serializer,PERF
1,2886,0.5220538827918871,0.5961113759213641,8,true,false,false,false,snappy,54,15,org.apache.spark.serializer.KryoSerializer,2280.0
1,2496,0.4656598895366296,0.7687176039320235,4,true,false,true,false,snappy,65,41,org.apache.spark.serializer.JavaSerializer,2370.0
1,3622,0.2910349743344492,0.5949998931704467,5,true,true,true,false,lzf,48,13,org.apache.spark.serializer.KryoSerializer,3129.0
4,2778,0.12453930827405896,0.5414203436849799,3,true,false,false,true,lzf,87,11,org.apache.spark.serializer.JavaSerializer,3021.0
3,1890,0.22991263212730548,0.7379979381985334,1,false,true,false,true,lzf,15,55,org.apache.spark.serializer.JavaSerializer,3064.0
3,2856,0.5487006141287941,0.449173836227022,11,false,true,false,false,snappy,77,47,org.apache.spark.serializer.KryoSerializer,2913.0
3,3169,0.49092819298651125,0.4487837186608432,12,true,false,false,true,snappy,53,20,org.apache.spark.serializer.JavaSerializer,2973.0
1,2528,0.6179124153836023,0.2936515426749796,8,true,true,false,false,snappy,76,56,org.apache.spark.serializer.KryoSerializer,2385.0
4,2955,0.7553449170481582,0.22631685582203076,2,false,true,true,true,snappy,33,44,org.apache.spark.serializer.JavaSerializer,3268.0
4,2836,0.17133152881884028,0.855634768439891,4,false,true,false,true,lz4,12,18,org.apache.spark.serializer.JavaSerializer,3053.0
3,2187,0.7823999309614668,0.8207909917649762,5,true,true,false,false,lz4,88,21,org.apache.spark.serializer.JavaSerializer,3308.0
2,2378,0.47029443664619075,0.10826603432600611,2,true,true,false,true,snappy,9,23,org.apache.spark.serializer.KryoSerializer,2324.0
1,1814,0.15493662353233129,0.7607303061377085,5,true,true,true,false,lz4,15,50,org.apache.spark.serializer.KryoSerializer,1655.0
4,4036,0.26093103254211414,0.7877359615069747,7,false,true,true,true,snappy,53,26,org.apache.spark.serializer.JavaSerializer,3189.0
2,1899,0.3340437735745992,0.21466700962418486,7,true,true,false,false,lzf,88,18,org.apache.spark.serializer.JavaSerializer,2296.0
4,3793,0.2772939668756176,0.3286790888156216,7,true,false,false,false,lz4,20,46,org.apache.spark.serializer.JavaSerializer,3256.0
1,1435,0.3976812847839538,0.6258753096214676,6,false,false,false,false,snappy,29,9,org.apache.spark.serializer.KryoSerializer,1544.0
3,1829,0.2950392977459969,0.4068794465719012,3,true,false,true,false,lzf,47,38,org.apache.spark.serializer.KryoSerializer,3235.0
4,1744,0.24483621502100394,0.4600010009592721,8,false,false,true,true,snappy,12,14,org.apache.spark.serializer.KryoSerializer,3174.0
4,3802,0.2229138132671122,0.25429117703124493,2,true,true,true,true,lzf,31,63,org.apache.spark.serializer.JavaSerializer,3163.0
2,2182,0.8479625796066413,0.660656009946099,1,false,true,false,true,lzf,48,52,org.apache.spark.serializer.KryoSerializer,2490.0
3,3810,0.7839557014237702,0.5111661965530634,6,false,true,false,true,lz4,73,53,org.apache.spark.serializer.KryoSerializer,3300.0
2,1977,0.3557551838727556,0.7559380440581901,7,false,true,false,false,snappy,75,9,org.apache.spark.serializer.KryoSerializer,2140.0
3,3400,0.43035596046120383,0.10742021806152335,1,true,false,false,true,lzf,94,21,org.apache.spark.serializer.KryoSerializer,3135.0
2,2130,0.6878352776464273,0.25475198470405724,12,true,true,true,true,snappy,23,37,org.apache.spark.serializer.KryoSerializer,2281.0
3,2410,0.47762334348191915,0.2866026031501061,2,false,true,true,true,lzf,41,51,org.apache.spark.serializer.KryoSerializer,3108.0
4,2430,0.6853639768578927,0.8232157907582042,4,false,false,true,false,lzf,84,30,org.apache.spark.serializer.KryoSerializer,2823.0
4,1522,0.4709660410475077,0.6871286253806923,5,false,true,true,false,snappy,45,52,org.apache.spark.serializer.JavaSerializer,3125.0
2,1967,0.41499602098047417,0.10041821559235703,4,false,false,true,false,lz4,8,13,org.apache.spark.serializer.JavaSerializer,2144.0
3,2078,0.7417275896458448,0.8532451430259048,6,true,true,true,true,lzf,45,8,org.apache.spark.serializer.JavaSerializer,3296.0
4,2950,0.664658130871106,0.7406847351250755,1,true,false,false,true,lz4,91,55,org.apache.spark.serializer.KryoSerializer,2730.0
3,3949,0.6734686223618526,0.5322031478534037,1,false,false,false,true,lzf,65,48,org.apache.spark.serializer.KryoSerializer,3149.0
2,2281,0.10891852248167543,0.2924834519854443,2,false,false,false,false,snappy,67,32,org.apache.spark.serializer.JavaSerializer,2297.0
4,2120,0.6143725463950239,0.510152320319717,12,true,true,true,false,lzf,94,41,org.apache.spark.serializer.JavaSerializer,3074.0
1,1503,0.5465230607229512,0.6320995825324034,5,true,false,true,false,lzf,77,59,org.apache.spark.serializer.JavaSerializer,1514.0
3,3506,0.31087917350209604,0.7414006300262929,10,true,false,true,false,snappy,45,50,org.apache.spark.serializer.KryoSerializer,3095.0
1,1926,0.24961507703066027,0.20993745886491758,1,true,false,true,false,lzf,84,59,org.apache.spark.serializer.JavaSerializer,1841.0
3,1100,0.6805243697618198,0.2541843776665348,12,false,true,false,true,lzf,57,8,org.apache.spark.serializer.JavaSerializer,3200.0
2,2381,0.29616654072316867,0.6021343463813496,11,true,false,false,true,lzf,91,48,org.apache.spark.serializer.KryoSerializer,2063.0
4,1613,0.19393379728796553,0.6493898494812902,10,false,false,true,true,lz4,24,34,org.apache.spark.serializer.JavaSerializer,2926.0
3,3676,0.8553094629553191,0.5350302160942219,10,true,false,true,false,snappy,33,62,org.apache.spark.serializer.KryoSerializer,3232.0
4,3838,0.2562545937419164,0.6434351803319748,6,true,true,true,false,lzf,21,20,org.apache.spark.serializer.JavaSerializer,3111.0
1,2391,0.36842055536265395,0.6231944552333949,2,false,false,false,true,lz4,59,51,org.apache.spark.serializer.KryoSerializer,2387.0
3,3989,0.15259973815955805,0.26597889482304204,11,true,true,true,false,lz4,45,17,org.apache.spark.serializer.KryoSerializer,3095.0
2,1546,0.535608628878519,0.44902498654828615,12,false,true,true,false,lzf,28,12,org.apache.spark.serializer.JavaSerializer,2035.0
3,2081,0.18180493329559833,0.49789599163381626,6,true,true,true,false,lzf,95,51,org.apache.spark.serializer.JavaSerializer,2973.0
2,1172,0.8769793310492653,0.47864899810016603,1,true,false,true,true,lz4,10,55,org.apache.spark.serializer.JavaSerializer,2228.0
2,1370,0.16331045888272816,0.10135523342060555,1,true,true,true,false,lzf,64,9,org.apache.spark.serializer.JavaSerializer,2314.0
4,4051,0.3177387868613216,0.35114386655302954,6,true,false,false,false,snappy,86,27,org.apache.spark.serializer.JavaSerializer,3352.0
2,3760,0.5446465379682729,0.39860426953521333,3,true,true,false,true,lz4,43,21,org.apache.spark.serializer.KryoSerializer,2984.0
2,2303,0.861535295200365,0.31296302932497017,11,false,true,false,false,lzf,64,50,org.apache.spark.serializer.KryoSerializer,2369.0
3,1852,0.35733495953484107,0.5609794108915976,2,true,false,true,false,snappy,60,45,org.apache.spark.serializer.KryoSerializer,3252.0
2,2658,0.6194712220866139,0.6605256680943575,12,true,false,false,false,lz4,42,43,org.apache.spark.serializer.KryoSerializer,2301.0
1,2521,0.4058565249269751,0.6792906818357063,6,true,false,true,true,snappy,71,30,org.apache.spark.serializer.JavaSerializer,2368.0
