executorCores,executorMemory,memoryFraction,memoryStorageFraction,defaultParallelism,shuffleCompress,shuffleSpillCompress,broadcastCompress,rddCompress,ioCompressionCodec,reducerMaxSizeInFlight,shuffleFileBuffer,serializer,PERF
2,4001,0.4735882087686193,0.16427538763915478,5,true,true,false,true,snappy,60,47,org.apache.spark.serializer.KryoSerializer,3143.0
3,2649,0.8000783073046124,0.47175521177152213,6,false,false,false,true,lzf,42,12,org.apache.spark.serializer.JavaSerializer,2998.0
3,3530,0.5131172302037817,0.14916026194545778,11,false,false,true,true,lz4,94,8,org.apache.spark.serializer.JavaSerializer,3209.0
3,2418,0.722145083053381,0.30089940363471035,8,false,false,true,true,lzf,51,38,org.apache.spark.serializer.JavaSerializer,3093.0
1,2733,0.8358841608892035,0.8720331308127927,6,false,true,true,false,snappy,96,64,org.apache.spark.serializer.JavaSerializer,2321.0
1,3653,0.11100537928635745,0.7268562892677465,1,true,false,true,true,lzf,69,60,org.apache.spark.serializer.KryoSerializer,3190.0
3,2023,0.11536194912715159,0.17934692860019413,12,false,false,true,true,lzf,61,9,org.apache.spark.serializer.KryoSerializer,2910.0
1,3897,0.5893832214506814,0.7690353312599402,12,true,true,false,true,snappy,40,41,org.apache.spark.serializer.JavaSerializer,3324.0
4,3111,0.7317727420963028,0.7785084088504517,11,false,false,false,true,lzf,64,21,org.apache.spark.serializer.JavaSerializer,3208.0
1,1616,0.2199125245086987,0.7127523221670081,7,false,false,false,true,snappy,12,8,org.apache.spark.serializer.KryoSerializer,1446.0
1,2050,0.7471242876633524,0.491030043664927,2,false,true,false,false,lz4,29,12,org.apache.spark.serializer.JavaSerializer,1869.0
3,1203,0.14500152695373603,0.7078183634465168,10,false,false,true,false,lz4,70,64,org.apache.spark.serializer.KryoSerializer,3041.0
1,1921,0.43994751573765434,0.3324466526462342,2,false,true,false,false,lzf,87,41,org.apache.spark.serializer.KryoSerializer,1537.0
2,1206,0.6088032384122812,0.49132164585019156,11,true,true,true,true,lz4,72,37,org.apache.spark.serializer.KryoSerializer,2389.0
2,1205,0.5078187104026631,0.31311448674788017,10,false,false,true,true,snappy,93,63,org.apache.spark.serializer.JavaSerializer,2350.0
3,3605,0.5645091265781711,0.2044955257896156,6,false,false,false,true,snappy,57,45,org.apache.spark.serializer.KryoSerializer,3121.0
3,2072,0.8250454434769278,0.36332677261880064,3,true,false,false,true,snappy,84,48,org.apache.spark.serializer.JavaSerializer,2616.0
3,2479,0.30035737845242744,0.20483843160827142,5,false,false,true,false,snappy,54,19,org.apache.spark.serializer.KryoSerializer,3033.0
4,1111,0.26374012741065833,0.8663005016157372,8,false,true,false,false,snappy,63,10,org.apache.spark.serializer.KryoSerializer,3192.0
4,1172,0.6586034751442614,0.37568222537476104,9,true,true,true,true,lz4,21,25,org.apache.spark.serializer.JavaSerializer,3120.0
3,2303,0.3342539923445714,0.7835672419356245,2,false,true,false,true,snappy,41,58,org.apache.spark.serializer.JavaSerializer,3051.0
3,2893,0.48315102606560434,0.31507558485519005,5,true,true,false,false,snappy,14,11,org.apache.spark.serializer.KryoSerializer,3092.0
1,2208,0.8798715193369723,0.2575301769829106,5,true,true,true,true,snappy,83,32,org.apache.spark.serializer.KryoSerializer,1558.0
1,3352,0.7840827883382262,0.23644491516420613,11,false,false,true,true,lz4,39,10,org.apache.spark.serializer.JavaSerializer,2389.0
2,2692,0.876202951886953,0.27906202477938113,8,false,true,false,false,snappy,96,20,org.apache.spark.serializer.JavaSerializer,2443.0
2,1065,0.5326727516382247,0.7231879831102712,2,true,false,false,false,lz4,92,64,org.apache.spark.serializer.KryoSerializer,2026.0
2,2683,0.2508984895640004,0.47468160373183965,12,false,false,false,true,lzf,46,49,org.apache.spark.serializer.KryoSerializer,2360.0
3,2354,0.5794798398327482,0.10710084058096819,3,true,true,false,false,lz4,31,8,org.apache.spark.serializer.KryoSerializer,3189.0
2,1204,0.6845588399361976,0.15860865602009513,3,true,true,false,true,lz4,50,38,org.apache.spark.serializer.JavaSerializer,2184.0
1,4044,0.5189700412464875,0.46056000889722504,8,true,false,false,false,snappy,16,36,org.apache.spark.serializer.KryoSerializer,3255.0
4,1070,0.8224700265995225,0.33341893215672125,2,true,false,true,false,lzf,75,53,org.apache.spark.serializer.KryoSerializer,2465.0
1,1408,0.3216090475958594,0.771966411888644,10,true,false,true,false,snappy,93,32,org.apache.spark.serializer.JavaSerializer,1374.0
4,2470,0.5202490424666671,0.5281594732846584,10,true,false,true,false,lz4,37,36,org.apache.spark.serializer.JavaSerializer,3333.0
3,2059,0.7536539470260439,0.6518826951675051,8,false,true,false,true,lz4,91,38,org.apache.spark.serializer.KryoSerializer,3107.0
1,2774,0.4276221480141079,0.48125347331961266,8,true,false,false,true,lz4,34,47,org.apache.spark.serializer.KryoSerializer,2262.0
1,1822,0.4513369140960979,0.5772993584012898,3,true,false,false,false,lzf,70,63,org.apache.spark.serializer.JavaSerializer,1642.0
2,3254,0.8156459740865617,0.2232320069320718,5,true,true,false,true,lz4,92,44,org.apache.spark.serializer.JavaSerializer,2268.0
1,2202,0.4966781901213566,0.8910440170977935,1,false,false,false,true,lz4,36,56,org.apache.spark.serializer.JavaSerializer,1803.0
2,1545,0.39995894324226267,0.18774181860112327,2,true,false,true,true,snappy,70,46,org.apache.spark.serializer.KryoSerializer,2299.0
3,1443,0.5468191501589261,0.8349503222336158,11,true,true,true,true,snappy,89,43,org.apache.spark.serializer.JavaSerializer,3129.0
1,1586,0.8126161420280824,0.1381913755346112,9,true,false,true,true,lz4,49,40,org.apache.spark.serializer.JavaSerializer,1534.0
4,2433,0.5488567759776807,0.1930328701897165,10,false,true,false,true,lz4,70,58,org.apache.spark.serializer.JavaSerializer,3089.0
4,1386,0.6116713537811423,0.6118717525028197,8,false,true,true,false,snappy,89,28,org.apache.spark.serializer.JavaSerializer,3020.0
2,3741,0.8854172392066229,0.3641261932451453,9,false,true,false,false,lz4,47,36,org.apache.spark.serializer.JavaSerializer,2911.0
