executorCores,executorMemory,memoryFraction,memoryStorageFraction,defaultParallelism,shuffleCompress,shuffleSpillCompress,broadcastCompress,rddCompress,ioCompressionCodec,reducerMaxSizeInFlight,shuffleFileBuffer,serializer,PERF
1,2276,0.1289743875538986,0.40314354865219515,4,false,true,true,true,snappy,17,9,org.apache.spark.serializer.KryoSerializer,723.0
4,3875,0.8624149036161071,0.4275737871790882,2,false,false,false,false,lzf,62,15,org.apache.spark.serializer.KryoSerializer,1013.0
2,1639,0.4617092053851486,0.21392561017608813,11,false,false,true,true,lz4,22,25,org.apache.spark.serializer.JavaSerializer,623.0
3,1768,0.13758733481381907,0.3574586486317858,9,true,true,true,true,snappy,8,62,org.apache.spark.serializer.KryoSerializer,990.0
3,2169,0.3099784502857269,0.5997239305897161,5,false,true,false,true,lz4,16,47,org.apache.spark.serializer.KryoSerializer,894.0
2,2689,0.4116942773837604,0.6890636937689841,3,true,false,true,true,lzf,27,12,org.apache.spark.serializer.KryoSerializer,698.0
2,3732,0.2771541898726677,0.4623166659821317,9,false,true,true,false,snappy,28,58,org.apache.spark.serializer.KryoSerializer,888.0
1,2635,0.4478805747355956,0.5383857738488572,12,true,true,true,false,snappy,66,64,org.apache.spark.serializer.JavaSerializer,647.0
2,1994,0.12455336607581487,0.7421682736692313,9,true,true,false,true,lzf,66,20,org.apache.spark.serializer.JavaSerializer,708.0
2,1555,0.18708187128979248,0.3009983033755269,7,true,false,true,false,lzf,10,22,org.apache.spark.serializer.KryoSerializer,489.0
2,1955,0.6386378051189978,0.3608407902946714,11,false,true,false,false,snappy,60,41,org.apache.spark.serializer.KryoSerializer,630.0
2,2852,0.14681561210026972,0.8309930680653578,10,false,false,false,true,lz4,57,21,org.apache.spark.serializer.JavaSerializer,698.0
1,3630,0.7227933030454164,0.17436383589642157,1,false,false,true,true,lz4,51,36,org.apache.spark.serializer.KryoSerializer,1039.0
1,3941,0.3230628513984011,0.6994414771701228,5,false,false,true,true,lzf,24,34,org.apache.spark.serializer.KryoSerializer,1006.0
2,2535,0.2792405027595891,0.5218921185117271,9,false,true,false,false,snappy,94,41,org.apache.spark.serializer.JavaSerializer,692.0
1,2111,0.5758613653417546,0.48973291465548596,11,false,true,false,true,lzf,19,51,org.apache.spark.serializer.KryoSerializer,475.0
1,1265,0.1523918712012079,0.23363890722803538,9,false,false,false,true,snappy,27,40,org.apache.spark.serializer.JavaSerializer,432.0
1,1318,0.7490070741286534,0.41270652416745734,4,true,true,true,false,snappy,25,58,org.apache.spark.serializer.KryoSerializer,507.0
3,1953,0.4273144282004767,0.47894465296935207,2,false,false,false,false,lzf,87,52,org.apache.spark.serializer.JavaSerializer,1037.0
4,2099,0.16260037060390625,0.6567779287399327,3,false,false,false,false,lzf,74,58,org.apache.spark.serializer.KryoSerializer,822.0
1,1398,0.7893478083590958,0.3219966126596461,12,false,true,true,true,lz4,10,61,org.apache.spark.serializer.KryoSerializer,398.0
3,3563,0.7746106461747592,0.47871793164153154,8,false,true,false,false,lz4,42,64,org.apache.spark.serializer.KryoSerializer,990.0
4,3353,0.1141525037157706,0.5905695693296628,5,false,false,true,false,lz4,63,36,org.apache.spark.serializer.KryoSerializer,1012.0
1,1128,0.3367365971356583,0.37695965617991767,7,false,true,true,true,snappy,29,54,org.apache.spark.serializer.KryoSerializer,361.0
2,1960,0.13925651651546211,0.12891406997423316,6,true,false,false,true,lz4,32,50,org.apache.spark.serializer.KryoSerializer,603.0
2,2298,0.43602142556771406,0.5160044231381969,5,true,false,false,true,lz4,56,27,org.apache.spark.serializer.JavaSerializer,352.0
1,1879,0.8327050877325796,0.7244005854010006,8,true,true,false,false,lzf,30,61,org.apache.spark.serializer.KryoSerializer,459.0
1,2184,0.5841084566202029,0.7119279151284559,4,false,true,true,false,snappy,33,29,org.apache.spark.serializer.KryoSerializer,463.0
1,3533,0.7471276064541184,0.561157462202416,11,true,false,true,true,lz4,11,17,org.apache.spark.serializer.KryoSerializer,847.0
1,2844,0.23381839280270464,0.7666784951716142,8,false,true,true,false,snappy,32,55,org.apache.spark.serializer.JavaSerializer,697.0
2,1126,0.14028333097029302,0.31138747427210217,5,false,true,false,false,lzf,72,14,org.apache.spark.serializer.JavaSerializer,711.0
1,2468,0.7044658743647786,0.3132844692332076,5,true,false,false,true,lzf,88,46,org.apache.spark.serializer.KryoSerializer,657.0
2,1105,0.7854556291282881,0.5350869591798769,4,true,false,true,true,lzf,91,54,org.apache.spark.serializer.KryoSerializer,721.0
4,3360,0.24135557863402157,0.2571327372394408,3,false,false,false,true,lzf,51,8,org.apache.spark.serializer.KryoSerializer,967.0
2,2710,0.5563601789164293,0.7526833556696242,4,false,true,false,false,lz4,60,31,org.apache.spark.serializer.KryoSerializer,645.0
1,2065,0.32351377999063,0.41526336876293934,10,true,true,true,false,lzf,11,32,org.apache.spark.serializer.KryoSerializer,472.0
4,3927,0.8353321170398302,0.13123749080817976,11,false,false,true,false,lz4,42,18,org.apache.spark.serializer.JavaSerializer,963.0
3,1659,0.6843453462655025,0.6074864937196143,6,true,false,true,false,lzf,27,57,org.apache.spark.serializer.JavaSerializer,992.0
2,1206,0.644136771124724,0.38647935295145064,1,true,true,true,false,lzf,87,20,org.apache.spark.serializer.KryoSerializer,708.0
4,2981,0.3646616679489413,0.3209222454284849,12,false,false,true,true,lzf,35,9,org.apache.spark.serializer.KryoSerializer,912.0
1,3876,0.3267597405122367,0.13933252493561712,5,false,true,false,true,lz4,40,53,org.apache.spark.serializer.KryoSerializer,755.0
3,1300,0.6490475501753898,0.8591260572346191,10,false,true,false,true,snappy,66,63,org.apache.spark.serializer.KryoSerializer,983.0
2,1228,0.4157196783721352,0.6939163797521644,6,false,true,true,true,lz4,12,47,org.apache.spark.serializer.JavaSerializer,676.0
1,1984,0.5540227702147922,0.10520366645199841,3,false,true,true,true,lz4,95,26,org.apache.spark.serializer.KryoSerializer,491.0
3,1989,0.4512842554400647,0.8166779934179189,12,true,true,true,true,snappy,70,64,org.apache.spark.serializer.JavaSerializer,1002.0
3,3146,0.4755921134089428,0.30969889280495744,5,false,true,true,false,lzf,27,15,org.apache.spark.serializer.KryoSerializer,968.0
4,1663,0.7119845096955427,0.8233635869396244,9,true,true,false,false,lzf,96,55,org.apache.spark.serializer.JavaSerializer,966.0
1,2393,0.18128411612148182,0.19274730496926493,4,false,true,true,false,snappy,17,14,org.apache.spark.serializer.JavaSerializer,701.0
4,3767,0.7851764758578046,0.7465960408362523,5,false,true,false,true,lzf,32,11,org.apache.spark.serializer.JavaSerializer,1008.0
1,3836,0.1589895699926853,0.8824488348321062,7,false,false,false,false,lzf,87,60,org.apache.spark.serializer.JavaSerializer,779.0
1,2055,0.28177668361532204,0.19873679437284464,12,true,false,true,false,lz4,39,64,org.apache.spark.serializer.KryoSerializer,513.0
2,2856,0.5278824574098195,0.2582000744540267,6,false,false,true,false,lzf,87,15,org.apache.spark.serializer.JavaSerializer,698.0
2,1142,0.6544440558161816,0.7539241071599508,3,true,true,true,false,snappy,79,19,org.apache.spark.serializer.KryoSerializer,726.0
4,3263,0.5026676380550396,0.6844192824872517,10,true,true,false,true,snappy,53,37,org.apache.spark.serializer.JavaSerializer,933.0
3,2767,0.8680987714388454,0.40401693186781173,11,false,false,true,true,snappy,41,21,org.apache.spark.serializer.JavaSerializer,768.0
4,3561,0.10614467896839948,0.47298959319414013,9,false,false,false,false,lz4,28,13,org.apache.spark.serializer.KryoSerializer,949.0
4,1850,0.6864072049952575,0.3406150160913275,11,false,false,true,true,lz4,40,48,org.apache.spark.serializer.JavaSerializer,927.0
4,4087,0.5184859451310736,0.10762170618826135,12,false,true,true,false,snappy,34,27,org.apache.spark.serializer.KryoSerializer,977.0
2,1342,0.2728559704878981,0.8740339239895215,4,false,true,false,false,lz4,44,42,org.apache.spark.serializer.JavaSerializer,691.0
1,2926,0.6559793381128991,0.3376040354445784,2,true,false,false,true,snappy,52,37,org.apache.spark.serializer.KryoSerializer,737.0
3,2247,0.1863639772134592,0.6121027402990855,1,true,true,true,false,snappy,77,32,org.apache.spark.serializer.JavaSerializer,1001.0
2,3856,0.2352331548410912,0.5819996133831007,7,true,true,false,true,lzf,28,30,org.apache.spark.serializer.KryoSerializer,746.0
3,3884,0.3088813305786003,0.8015046281244403,2,true,true,true,false,lz4,35,16,org.apache.spark.serializer.JavaSerializer,893.0
1,1975,0.2859227816219039,0.774024817460797,9,false,false,false,true,snappy,51,59,org.apache.spark.serializer.KryoSerializer,510.0
1,2138,0.5709006182845692,0.5802771253303736,4,true,false,false,true,lzf,54,36,org.apache.spark.serializer.KryoSerializer,521.0
2,1103,0.2093945922967164,0.2615867144500116,8,true,true,false,true,lzf,74,43,org.apache.spark.serializer.JavaSerializer,636.0
2,3874,0.6334816298399207,0.6013242408334953,6,false,true,false,false,snappy,64,31,org.apache.spark.serializer.JavaSerializer,997.0
4,1085,0.3736419184573301,0.4113618356625721,9,false,false,false,false,lzf,79,54,org.apache.spark.serializer.JavaSerializer,958.0
