executorCores,executorMemory,memoryFraction,memoryStorageFraction,defaultParallelism,shuffleCompress,shuffleSpillCompress,broadcastCompress,rddCompress,ioCompressionCodec,reducerMaxSizeInFlight,shuffleFileBuffer,serializer,PERF
1.0,3627.0,0.7110196951812913,0.30405522059153733,6.0,True,False,True,True,snappy,82.0,32.0,org.apache.spark.serializer.JavaSerializer,-1.0
1.0,2392.0,0.6772320258726261,0.2830097770163621,11.0,False,True,False,False,lzf,42.0,20.0,org.apache.spark.serializer.KryoSerializer,2026.0616455078125
1.0,1705.0,0.4503100749204577,0.4966497931054805,4.0,True,True,False,True,snappy,82.0,39.0,org.apache.spark.serializer.JavaSerializer,-1.0
2.0,4073.0,0.787957223036232,0.19671196784464515,5.0,False,False,True,True,lzf,67.0,25.0,org.apache.spark.serializer.JavaSerializer,-1.0
4.0,3624.0,0.5042270564636804,0.5712018063860413,1.0,True,False,False,True,lz4,70.0,46.0,org.apache.spark.serializer.KryoSerializer,-1.0
2.0,2586.0,0.7227540920001166,0.5167507340905162,5.0,True,True,False,False,lzf,60.0,30.0,org.apache.spark.serializer.KryoSerializer,2923.684814453125
3.0,4041.0,0.7164185118646405,0.5316939587598231,10.0,True,False,True,False,lz4,32.0,39.0,org.apache.spark.serializer.JavaSerializer,-1.0
1.0,3431.0,0.7563887295403856,0.8089436646608066,9.0,False,False,True,True,snappy,85.0,40.0,org.apache.spark.serializer.KryoSerializer,2436.6572265625
3.0,2514.0,0.38543197163596454,0.37686233521452395,7.0,False,False,False,True,snappy,24.0,41.0,org.apache.spark.serializer.JavaSerializer,-1.0
3.0,3473.0,0.7531498964485527,0.30423523206984476,10.0,False,True,False,True,lzf,30.0,14.0,org.apache.spark.serializer.JavaSerializer,-1.0
2.0,1238.0,0.22770041975507802,0.5219043192384103,3.0,True,False,False,True,lz4,10.0,30.0,org.apache.spark.serializer.KryoSerializer,-1.0
2.0,1358.0,0.8198548002848162,0.5080927847429412,3.0,False,False,False,True,snappy,71.0,17.0,org.apache.spark.serializer.JavaSerializer,-1.0
3.0,2697.0,0.2764797984181413,0.8804756142543068,10.0,False,True,True,True,lz4,36.0,43.0,org.apache.spark.serializer.KryoSerializer,-1.0
